Time,daily mail
2023-12-22,74
2023-12-23,70
2023-12-24,69
2023-12-25,74
2023-12-26,76
2023-12-27,76
2023-12-28,72
2023-12-29,72
2023-12-30,70
2023-12-31,73
2024-01-01,79
2024-01-02,75
2024-01-03,80
2024-01-04,97
2024-01-05,70
2024-01-06,67
2024-01-07,75
2024-01-08,74
2024-01-09,71
2024-01-10,74
2024-01-11,71
2024-01-12,70
2024-01-13,65
2024-01-14,84
2024-01-15,74
2024-01-16,72
2024-01-17,80
2024-01-18,71
2024-01-19,71
2024-01-20,73
2024-01-21,76
2024-01-22,71
2024-01-23,80
2024-01-24,82
2024-01-25,76
2024-01-26,67
2024-01-27,64
2024-01-28,62
2024-01-29,79
2024-01-30,68
2024-01-31,70
2024-02-01,64
2024-02-02,63
2024-02-03,56
2024-02-04,59
2024-02-05,67
2024-02-06,72
2024-02-07,79
2024-02-08,70
2024-02-09,70
2024-02-10,66
2024-02-11,66
2024-02-12,66
2024-02-13,67
2024-02-14,68
2024-02-15,77
2024-02-16,71
2024-02-17,63
2024-02-18,62
2024-02-19,65
2024-02-20,65
2024-02-21,67
2024-02-22,72
2024-02-23,65
2024-02-24,62
2024-02-25,60
2024-02-26,64
2024-02-27,71
2024-02-28,62
2024-02-29,69
2024-03-01,61
2024-03-02,60
2024-03-03,62
2024-03-04,67
2024-03-05,68
2024-03-06,64
2024-03-07,68
2024-03-08,63
2024-03-09,60
2024-03-10,59
2024-03-11,70
2024-03-12,68
2024-03-13,72
2024-03-14,64
2024-03-15,70
2024-03-16,63
2024-03-17,64
2024-03-18,67
2024-03-19,67
2024-03-20,64
2024-03-21,62
2024-03-22,73
2024-03-23,75
2024-03-24,65
2024-03-25,65
2024-03-26,78
2024-03-27,72
2024-03-28,69
2024-03-29,67
2024-03-30,61
2024-03-31,63
2024-04-01,69
2024-04-02,67
2024-04-03,64
2024-04-04,64
2024-04-05,65
2024-04-06,54
2024-04-07,59
2024-04-08,65
2024-04-09,71
2024-04-10,66
2024-04-11,65
2024-04-12,65
2024-04-13,61
2024-04-14,65
2024-04-15,64
2024-04-16,65
2024-04-17,63
2024-04-18,70
2024-04-19,63
2024-04-20,62
2024-04-21,59
2024-04-22,63
2024-04-23,65
2024-04-24,60
2024-04-25,62
2024-04-26,64
2024-04-27,54
2024-04-28,58
2024-04-29,64
2024-04-30,62
2024-05-01,63
2024-05-02,61
2024-05-03,63
2024-05-04,52
2024-05-05,54
2024-05-06,65
2024-05-07,62
2024-05-08,60
2024-05-09,62
2024-05-10,60
2024-05-11,55
2024-05-12,58
2024-05-13,72
2024-05-14,62
2024-05-15,60
2024-05-16,64
2024-05-17,65
2024-05-18,58
2024-05-19,60
2024-05-20,70
2024-05-21,68
2024-05-22,63
2024-05-23,69
2024-05-24,64
2024-05-25,60
2024-05-26,60
2024-05-27,62
2024-05-28,63
2024-05-29,67
2024-05-30,68
2024-05-31,73
2024-06-01,59
2024-06-02,62
2024-06-03,65
2024-06-04,65
2024-06-05,75
2024-06-06,64
2024-06-07,65
2024-06-08,56
2024-06-09,54
2024-06-10,66
2024-06-11,72
2024-06-12,67
2024-06-13,69
2024-06-14,64
2024-06-15,60
2024-06-16,59
2024-06-17,69
2024-06-18,66
2024-06-19,68
2024-06-20,64
2024-06-21,64
2024-06-22,56
2024-06-23,57
2024-06-24,64
2024-06-25,71
2024-06-26,67
2024-06-27,64
2024-06-28,71
2024-06-29,57
2024-06-30,62
2024-07-01,69
2024-07-02,68
2024-07-03,64
2024-07-04,67
2024-07-05,68
2024-07-06,62
2024-07-07,61
2024-07-08,64
2024-07-09,67
2024-07-10,66
2024-07-11,66
2024-07-12,67
2024-07-13,67
2024-07-14,100
2024-07-15,77
2024-07-16,75
2024-07-17,71
2024-07-18,76
2024-07-19,72
2024-07-20,64
2024-07-21,78
2024-07-22,72
2024-07-23,70
2024-07-24,72
2024-07-25,72
2024-07-26,66
2024-07-27,61
2024-07-28,60
2024-07-29,67
2024-07-30,68
2024-07-31,68
2024-08-01,69
2024-08-02,68
2024-08-03,62
2024-08-04,63
2024-08-05,72
2024-08-06,64
2024-08-07,69
2024-08-08,68
2024-08-09,69
2024-08-10,59
2024-08-11,58
2024-08-12,70
2024-08-13,68
2024-08-14,67
2024-08-15,69
2024-08-16,64
2024-08-17,54
2024-08-18,57
2024-08-19,75
2024-08-20,68
2024-08-21,64
2024-08-22,62
2024-08-23,69
2024-08-24,61
2024-08-25,63
2024-08-26,65
2024-08-27,62
2024-08-28,64
2024-08-29,59
2024-08-30,61
2024-08-31,55
2024-09-01,57
2024-09-02,57
2024-09-03,61
2024-09-04,75
2024-09-05,67
2024-09-06,62
2024-09-07,53
2024-09-08,57
2024-09-09,60
2024-09-10,62
2024-09-11,73
2024-09-12,62
2024-09-13,63
2024-09-14,54
2024-09-15,59
2024-09-16,64
