Time,dallas mavericks
2023-04-26,11
2023-04-27,11
2023-04-28,9
2023-04-29,12
2023-04-30,10
2023-05-01,10
2023-05-02,10
2023-05-03,9
2023-05-04,8
2023-05-05,8
2023-05-06,10
2023-05-07,10
2023-05-08,10
2023-05-09,9
2023-05-10,9
2023-05-11,8
2023-05-12,13
2023-05-13,13
2023-05-14,11
2023-05-15,10
2023-05-16,13
2023-05-17,23
2023-05-18,12
2023-05-19,11
2023-05-20,12
2023-05-21,14
2023-05-22,11
2023-05-23,13
2023-05-24,11
2023-05-25,9
2023-05-26,9
2023-05-27,8
2023-05-28,11
2023-05-29,25
2023-05-30,17
2023-05-31,10
2023-06-01,8
2023-06-02,10
2023-06-03,9
2023-06-04,11
2023-06-05,16
2023-06-06,17
2023-06-07,11
2023-06-08,16
2023-06-09,10
2023-06-10,12
2023-06-11,10
2023-06-12,10
2023-06-13,16
2023-06-14,11
2023-06-15,11
2023-06-16,10
2023-06-17,11
2023-06-18,11
2023-06-19,17
2023-06-20,17
2023-06-21,20
2023-06-22,33
2023-06-23,80
2023-06-24,27
2023-06-25,22
2023-06-26,23
2023-06-27,21
2023-06-28,22
2023-06-29,25
2023-06-30,36
2023-07-01,59
2023-07-02,43
2023-07-03,29
2023-07-04,28
2023-07-05,34
2023-07-06,48
2023-07-07,33
2023-07-08,32
2023-07-09,29
2023-07-10,26
2023-07-11,26
2023-07-12,22
2023-07-13,24
2023-07-14,24
2023-07-15,24
2023-07-16,21
2023-07-17,25
2023-07-18,20
2023-07-19,19
2023-07-20,18
2023-07-21,19
2023-07-22,18
2023-07-23,18
2023-07-24,17
2023-07-25,18
2023-07-26,15
2023-07-27,16
2023-07-28,15
2023-07-29,12
2023-07-30,14
2023-07-31,15
2023-08-01,16
2023-08-02,13
2023-08-03,13
2023-08-04,12
2023-08-05,12
2023-08-06,14
2023-08-07,12
2023-08-08,14
2023-08-09,12
2023-08-10,15
2023-08-11,13
2023-08-12,13
2023-08-13,15
2023-08-14,11
2023-08-15,13
2023-08-16,11
2023-08-17,16
2023-08-18,12
2023-08-19,15
2023-08-20,11
2023-08-21,15
2023-08-22,14
2023-08-23,13
2023-08-24,10
2023-08-25,10
2023-08-26,9
2023-08-27,10
2023-08-28,8
2023-08-29,8
2023-08-30,9
2023-08-31,11
2023-09-01,10
2023-09-02,8
2023-09-03,9
2023-09-04,8
2023-09-05,11
2023-09-06,11
2023-09-07,7
2023-09-08,8
2023-09-09,7
2023-09-10,8
2023-09-11,7
2023-09-12,10
2023-09-13,9
2023-09-14,9
2023-09-15,8
2023-09-16,9
2023-09-17,9
2023-09-18,8
2023-09-19,9
2023-09-20,9
2023-09-21,9
2023-09-22,9
2023-09-23,8
2023-09-24,9
2023-09-25,8
2023-09-26,8
2023-09-27,12
2023-09-28,13
2023-09-29,14
2023-09-30,12
2023-10-01,12
2023-10-02,12
2023-10-03,14
2023-10-04,11
2023-10-05,28
2023-10-06,15
2023-10-07,19
2023-10-08,13
2023-10-09,12
2023-10-10,32
2023-10-11,20
2023-10-12,14
2023-10-13,12
2023-10-14,14
2023-10-15,11
2023-10-16,12
2023-10-17,11
2023-10-18,11
2023-10-19,12
2023-10-20,15
2023-10-21,22
2023-10-22,13
2023-10-23,14
2023-10-24,18
2023-10-25,34
2023-10-26,100
2023-10-27,32
2023-10-28,69
2023-10-29,26
2023-10-30,35
2023-10-31,59
2023-11-01,31
2023-11-02,64
2023-11-03,39
2023-11-04,85
2023-11-05,33
2023-11-06,63
2023-11-07,52
2023-11-08,30
2023-11-09,52
2023-11-10,27
2023-11-11,68
2023-11-12,32
2023-11-13,50
2023-11-14,30
2023-11-15,59
2023-11-16,48
2023-11-17,22
2023-11-18,31
2023-11-19,58
2023-11-20,35
2023-11-21,22
2023-11-22,25
2023-11-23,65
2023-11-24,27
2023-11-25,27
2023-11-26,57
2023-11-27,19
2023-11-28,25
2023-11-29,89
2023-11-30,29
2023-12-01,48
2023-12-02,50
2023-12-03,54
2023-12-04,20
2023-12-05,19
2023-12-06,23
2023-12-07,46
2023-12-08,22
2023-12-09,47
2023-12-10,22
2023-12-11,23
2023-12-12,47
2023-12-13,65
2023-12-14,26
2023-12-15,44
2023-12-16,23
2023-12-17,39
2023-12-18,23
2023-12-19,36
2023-12-20,25
2023-12-21,41
2023-12-22,29
2023-12-23,40
2023-12-24,38
2023-12-25,32
2023-12-26,75
2023-12-27,32
2023-12-28,61
2023-12-29,42
2023-12-30,28
2023-12-31,41
2024-01-01,26
2024-01-02,39
2024-01-03,25
2024-01-04,40
2024-01-05,33
2024-01-06,50
2024-01-07,32
2024-01-08,41
2024-01-09,29
2024-01-10,49
2024-01-11,28
2024-01-12,46
2024-01-13,27
2024-01-14,34
2024-01-15,42
2024-01-16,25
2024-01-17,29
2024-01-18,48
2024-01-19,23
2024-01-20,25
