date,vix,vix_change,vix_pct_change,vix_log_change,vix_change_z,vix_shock_pos_1sd,vix_shock_pos_2sd,vix_shock_neg_1sd,vix_shock_abs_2sd
2022-04-05,21.030000686645508,2.460000991821289,0.13247178418139316,0.12440266343456097,1.2267795108592248,1,0,0,0
2022-04-11,24.3700008392334,3.210000991821289,0.15170137121782057,0.1412403022953157,1.6130408213302465,1,0,0,0
2022-04-13,21.81999969482422,-2.4400005340576207,-0.10057710268084696,-0.10600194653157269,-1.304146764542847,0,0,1,0
2022-04-21,22.68000030517578,2.3600006103515625,0.1161417640647251,0.10987788462348558,1.2018854273721713,1,0,0,0
2022-04-22,28.209999084472656,5.529998779296875,0.2438271033900683,0.21819300024463084,2.827280133000662,1,1,0,1
2022-04-26,33.52000045776367,6.5,0.2405625421864992,0.2155649397966033,3.172215593260531,1,1,0,1
2022-04-27,31.600000381469727,-1.9200000762939453,-0.05727923777069188,-0.05898515660562342,-1.0081806266387305,0,0,1,0
2022-04-29,33.400001525878906,3.410001754760742,0.11370462756871169,0.1076919605386717,1.5326022865693412,1,0,0,0
2022-05-03,29.25,-3.0900001525878906,-0.09554731410044925,-0.10042528518933569,-1.5447718910465607,0,0,1,0
2022-05-04,25.420000076293945,-3.8299999237060547,-0.13094016833183098,-0.14034330491522207,-1.8591419194224095,0,0,1,0
2022-05-05,31.200000762939453,5.780000686645508,0.2273800420652159,0.20488185050598062,2.6115831064928634,1,1,0,1
2022-05-09,34.75,4.559999465942383,0.15104337148978209,0.14066881060216918,1.9683193385666538,1,0,0,0
2022-05-13,28.8700008392334,-2.8999996185302734,-0.09128106946002879,-0.09571943994586452,-1.3655314464904966,0,0,1,0
2022-05-18,30.959999084472656,4.85999870300293,0.18620684413680677,0.17076069020588358,2.1202845676152897,1,1,0,1
2022-06-13,34.02000045776367,6.270000457763672,0.2259459624419342,0.2037127602309945,2.862634836849163,1,1,0,1
2022-06-15,29.6200008392334,-3.069997787475586,-0.09391244773461938,-0.09861934155361629,-1.4489309693914803,0,0,1,0
2022-06-16,32.95000076293945,3.3299999237060547,0.11242403205118334,0.10654144692998813,1.4424925693342079,1,0,0,0
2022-07-15,24.229999542236328,-2.170000076293949,-0.08219697377460633,-0.08577247976665925,-1.0561591302856976,0,0,1,0
2022-08-10,19.739999771118164,-2.030000686645508,-0.09324761800459969,-0.09788587386321534,-1.017558827108983,0,0,1,0
2022-08-22,23.799999237060547,3.1999988555908203,0.1553397473948257,0.14439445430766584,1.5979898710500293,1,0,0,0
2022-08-26,25.559999465942383,3.779998779296875,0.17355365748976292,0.1600364595838233,1.890709034212322,1,0,0,0
2022-09-07,24.63999938964844,-2.2700004577636683,-0.08435527575753476,-0.08812684517395253,-1.1857777907176472,0,0,1,0
2022-09-13,27.270000457763672,3.3999996185302734,0.14243818596528657,0.13316473813460528,1.7173681893857262,1,0,0,0
2022-09-23,29.920000076293945,2.5699996948242188,0.09396708076704297,0.08981061284051295,1.2979970923531128,1,0,0,0
