Time,president
2023-12-22,15
2023-12-23,12
2023-12-24,10
2023-12-25,11
2023-12-26,9
2023-12-27,11
2023-12-28,11
2023-12-29,13
2023-12-30,12
2023-12-31,11
2024-01-01,12
2024-01-02,17
2024-01-03,22
2024-01-04,19
2024-01-05,19
2024-01-06,13
2024-01-07,13
2024-01-08,18
2024-01-09,19
2024-01-10,20
2024-01-11,22
2024-01-12,20
2024-01-13,14
2024-01-14,14
2024-01-15,16
2024-01-16,24
2024-01-17,22
2024-01-18,21
2024-01-19,21
2024-01-20,15
2024-01-21,16
2024-01-22,25
2024-01-23,25
2024-01-24,29
2024-01-25,23
2024-01-26,21
2024-01-27,17
2024-01-28,16
2024-01-29,20
2024-01-30,23
2024-01-31,22
2024-02-01,22
2024-02-02,19
2024-02-03,14
2024-02-04,15
2024-02-05,23
2024-02-06,23
2024-02-07,25
2024-02-08,26
2024-02-09,30
2024-02-10,18
2024-02-11,20
2024-02-12,31
2024-02-13,24
2024-02-14,21
2024-02-15,24
2024-02-16,25
2024-02-17,16
2024-02-18,19
2024-02-19,33
2024-02-20,28
2024-02-21,26
2024-02-22,26
2024-02-23,23
2024-02-24,15
2024-02-25,18
2024-02-26,25
2024-02-27,24
2024-02-28,24
2024-02-29,25
2024-03-01,22
2024-03-02,14
2024-03-03,15
2024-03-04,25
2024-03-05,27
2024-03-06,31
2024-03-07,26
2024-03-08,34
2024-03-09,16
2024-03-10,15
2024-03-11,21
2024-03-12,20
2024-03-13,23
2024-03-14,22
2024-03-15,18
2024-03-16,13
2024-03-17,14
2024-03-18,21
2024-03-19,21
2024-03-20,22
2024-03-21,21
2024-03-22,19
2024-03-23,13
2024-03-24,14
2024-03-25,19
2024-03-26,21
2024-03-27,22
2024-03-28,21
2024-03-29,16
2024-03-30,13
2024-03-31,17
2024-04-01,18
2024-04-02,19
2024-04-03,19
2024-04-04,19
2024-04-05,18
2024-04-06,12
2024-04-07,14
2024-04-08,17
2024-04-09,19
2024-04-10,19
2024-04-11,20
2024-04-12,21
2024-04-13,12
2024-04-14,14
2024-04-15,22
2024-04-16,21
2024-04-17,22
2024-04-18,23
2024-04-19,21
2024-04-20,12
2024-04-21,14
2024-04-22,22
2024-04-23,22
2024-04-24,22
2024-04-25,24
2024-04-26,20
2024-04-27,13
2024-04-28,14
2024-04-29,22
2024-04-30,22
2024-05-01,23
2024-05-02,22
2024-05-03,20
2024-05-04,12
2024-05-05,14
2024-05-06,22
2024-05-07,21
2024-05-08,21
2024-05-09,22
2024-05-10,21
2024-05-11,13
2024-05-12,12
2024-05-13,20
2024-05-14,19
2024-05-15,21
2024-05-16,21
2024-05-17,18
2024-05-18,11
2024-05-19,50
2024-05-20,74
2024-05-21,29
2024-05-22,22
2024-05-23,19
2024-05-24,17
2024-05-25,12
2024-05-26,12
2024-05-27,16
2024-05-28,16
2024-05-29,18
2024-05-30,58
2024-05-31,52
2024-06-01,22
2024-06-02,22
2024-06-03,36
2024-06-04,24
2024-06-05,22
2024-06-06,20
2024-06-07,18
2024-06-08,15
2024-06-09,15
2024-06-10,16
2024-06-11,17
2024-06-12,17
2024-06-13,15
2024-06-14,15
2024-06-15,13
2024-06-16,14
2024-06-17,14
2024-06-18,15
2024-06-19,12
2024-06-20,16
2024-06-21,14
2024-06-22,13
2024-06-23,14
2024-06-24,14
2024-06-25,14
2024-06-26,15
2024-06-27,20
2024-06-28,91
2024-06-29,31
2024-06-30,25
2024-07-01,24
2024-07-02,24
2024-07-03,24
2024-07-04,25
2024-07-05,25
2024-07-06,25
2024-07-07,22
2024-07-08,20
2024-07-09,19
2024-07-10,20
2024-07-11,28
2024-07-12,34
2024-07-13,49
2024-07-14,81
2024-07-15,53
2024-07-16,41
2024-07-17,34
2024-07-18,40
2024-07-19,43
2024-07-20,26
2024-07-21,100
2024-07-22,84
2024-07-23,58
2024-07-24,45
2024-07-25,43
2024-07-26,33
2024-07-27,27
2024-07-28,25
2024-07-29,42
2024-07-30,32
2024-07-31,27
2024-08-01,26
2024-08-02,23
2024-08-03,21
2024-08-04,20
2024-08-05,22
2024-08-06,35
2024-08-07,23
2024-08-08,20
2024-08-09,16
2024-08-10,17
2024-08-11,18
2024-08-12,16
2024-08-13,17
2024-08-14,18
2024-08-15,19
2024-08-16,18
2024-08-17,15
2024-08-18,16
2024-08-19,18
2024-08-20,23
2024-08-21,26
2024-08-22,27
2024-08-23,28
2024-08-24,19
2024-08-25,17
2024-08-26,19
2024-08-27,19
2024-08-28,19
2024-08-29,19
2024-08-30,18
2024-08-31,15
2024-09-01,15
2024-09-02,16
2024-09-03,17
2024-09-04,18
2024-09-05,19
2024-09-06,18
2024-09-07,15
2024-09-08,15
2024-09-09,20
2024-09-10,24
2024-09-11,52
2024-09-12,29
2024-09-13,25
2024-09-14,19
2024-09-15,23
2024-09-16,26
