Time,president
2023-04-26,99
2023-04-27,95
2023-04-28,86
2023-04-29,56
2023-04-30,56
2023-05-01,78
2023-05-02,73
2023-05-03,72
2023-05-04,76
2023-05-05,74
2023-05-06,46
2023-05-07,46
2023-05-08,73
2023-05-09,75
2023-05-10,79
2023-05-11,78
2023-05-12,71
2023-05-13,45
2023-05-14,46
2023-05-15,76
2023-05-16,75
2023-05-17,70
2023-05-18,70
2023-05-19,70
2023-05-20,43
2023-05-21,48
2023-05-22,68
2023-05-23,69
2023-05-24,68
2023-05-25,72
2023-05-26,54
2023-05-27,43
2023-05-28,49
2023-05-29,57
2023-05-30,59
2023-05-31,56
2023-06-01,64
2023-06-02,68
2023-06-03,56
2023-06-04,56
2023-06-05,61
2023-06-06,59
2023-06-07,65
2023-06-08,61
2023-06-09,71
2023-06-10,50
2023-06-11,51
2023-06-12,53
2023-06-13,62
2023-06-14,60
2023-06-15,53
2023-06-16,50
2023-06-17,44
2023-06-18,50
2023-06-19,56
2023-06-20,54
2023-06-21,46
2023-06-22,44
2023-06-23,47
2023-06-24,52
2023-06-25,45
2023-06-26,52
2023-06-27,57
2023-06-28,47
2023-06-29,46
2023-06-30,46
2023-07-01,43
2023-07-02,48
2023-07-03,43
2023-07-04,50
2023-07-05,47
2023-07-06,42
2023-07-07,42
2023-07-08,46
2023-07-09,51
2023-07-10,45
2023-07-11,41
2023-07-12,45
2023-07-13,45
2023-07-14,45
2023-07-15,39
2023-07-16,39
2023-07-17,41
2023-07-18,40
2023-07-19,49
2023-07-20,49
2023-07-21,49
2023-07-22,41
2023-07-23,43
2023-07-24,42
2023-07-25,41
2023-07-26,49
2023-07-27,44
2023-07-28,43
2023-07-29,40
2023-07-30,43
2023-07-31,45
2023-08-01,45
2023-08-02,49
2023-08-03,55
2023-08-04,53
2023-08-05,42
2023-08-06,41
2023-08-07,42
2023-08-08,43
2023-08-09,44
2023-08-10,49
2023-08-11,46
2023-08-12,39
2023-08-13,41
2023-08-14,45
2023-08-15,58
2023-08-16,53
2023-08-17,50
2023-08-18,48
2023-08-19,40
2023-08-20,43
2023-08-21,57
2023-08-22,61
2023-08-23,61
2023-08-24,84
2023-08-25,75
2023-08-26,50
2023-08-27,49
2023-08-28,57
2023-08-29,56
2023-08-30,55
2023-08-31,55
2023-09-01,51
2023-09-02,41
2023-09-03,44
2023-09-04,45
2023-09-05,54
2023-09-06,58
2023-09-07,61
2023-09-08,58
2023-09-09,41
2023-09-10,46
2023-09-11,66
2023-09-12,65
2023-09-13,66
2023-09-14,66
2023-09-15,62
2023-09-16,42
2023-09-17,44
2023-09-18,67
2023-09-19,73
2023-09-20,75
2023-09-21,73
2023-09-22,62
2023-09-23,39
2023-09-24,44
2023-09-25,59
2023-09-26,68
2023-09-27,67
2023-09-28,77
2023-09-29,67
2023-09-30,48
2023-10-01,51
2023-10-02,66
2023-10-03,66
2023-10-04,69
2023-10-05,64
2023-10-06,59
2023-10-07,47
2023-10-08,43
2023-10-09,59
2023-10-10,70
2023-10-11,66
2023-10-12,71
2023-10-13,65
2023-10-14,43
2023-10-15,46
2023-10-16,65
2023-10-17,69
2023-10-18,72
2023-10-19,79
2023-10-20,76
2023-10-21,46
2023-10-22,51
2023-10-23,71
2023-10-24,71
2023-10-25,68
2023-10-26,70
2023-10-27,65
2023-10-28,46
2023-10-29,47
2023-10-30,71
2023-10-31,69
2023-11-01,68
2023-11-02,71
2023-11-03,67
2023-11-04,41
2023-11-05,47
2023-11-06,81
2023-11-07,85
2023-11-08,83
2023-11-09,87
2023-11-10,66
2023-11-11,48
2023-11-12,51
2023-11-13,85
2023-11-14,76
2023-11-15,82
2023-11-16,85
2023-11-17,76
2023-11-18,53
2023-11-19,66
2023-11-20,100
2023-11-21,75
2023-11-22,60
2023-11-23,57
2023-11-24,44
2023-11-25,48
2023-11-26,50
2023-11-27,69
2023-11-28,85
2023-11-29,95
2023-11-30,82
2023-12-01,72
2023-12-02,44
2023-12-03,44
2023-12-04,68
2023-12-05,78
2023-12-06,78
2023-12-07,93
2023-12-08,98
2023-12-09,68
2023-12-10,74
2023-12-11,95
2023-12-12,92
2023-12-13,84
2023-12-14,82
2023-12-15,71
2023-12-16,47
2023-12-17,44
2023-12-18,61
2023-12-19,63
2023-12-20,73
2023-12-21,65
2023-12-22,53
2023-12-23,43
2023-12-24,37
2023-12-25,39
2023-12-26,32
2023-12-27,39
2023-12-28,39
2023-12-29,45
2023-12-30,42
2023-12-31,41
2024-01-01,44
2024-01-02,63
2024-01-03,78
2024-01-04,69
2024-01-05,70
2024-01-06,48
2024-01-07,46
2024-01-08,63
2024-01-09,68
2024-01-10,71
2024-01-11,78
2024-01-12,73
2024-01-13,49
2024-01-14,49
2024-01-15,56
2024-01-16,87
2024-01-17,79
2024-01-18,77
2024-01-19,74
2024-01-20,55
