Time,clever
2023-12-22,19
2023-12-23,9
2023-12-24,7
2023-12-25,7
2023-12-26,7
2023-12-27,7
2023-12-28,7
2023-12-29,7
2023-12-30,7
2023-12-31,7
2024-01-01,7
2024-01-02,22
2024-01-03,35
2024-01-04,42
2024-01-05,41
2024-01-06,11
2024-01-07,11
2024-01-08,64
2024-01-09,67
2024-01-10,79
2024-01-11,86
2024-01-12,73
2024-01-13,14
2024-01-14,10
2024-01-15,15
2024-01-16,51
2024-01-17,64
2024-01-18,75
2024-01-19,65
2024-01-20,14
2024-01-21,13
2024-01-22,69
2024-01-23,77
2024-01-24,88
2024-01-25,85
2024-01-26,79
2024-01-27,14
2024-01-28,13
2024-01-29,76
2024-01-30,79
2024-01-31,81
2024-02-01,80
2024-02-02,77
2024-02-03,14
2024-02-04,14
2024-02-05,71
2024-02-06,75
2024-02-07,78
2024-02-08,79
2024-02-09,72
2024-02-10,14
2024-02-11,12
2024-02-12,62
2024-02-13,71
2024-02-14,67
2024-02-15,77
2024-02-16,61
2024-02-17,13
2024-02-18,11
2024-02-19,24
2024-02-20,66
2024-02-21,71
2024-02-22,69
2024-02-23,67
2024-02-24,14
2024-02-25,12
2024-02-26,71
2024-02-27,69
2024-02-28,76
2024-02-29,75
2024-03-01,73
2024-03-02,14
2024-03-03,13
2024-03-04,69
2024-03-05,72
2024-03-06,75
2024-03-07,76
2024-03-08,68
2024-03-09,14
2024-03-10,12
2024-03-11,52
2024-03-12,56
2024-03-13,57
2024-03-14,53
2024-03-15,46
2024-03-16,11
2024-03-17,12
2024-03-18,66
2024-03-19,70
2024-03-20,70
2024-03-21,65
2024-03-22,60
2024-03-23,12
2024-03-24,10
2024-03-25,51
2024-03-26,52
2024-03-27,52
2024-03-28,45
2024-03-29,20
2024-03-30,9
2024-03-31,8
2024-04-01,33
2024-04-02,48
2024-04-03,52
2024-04-04,54
2024-04-05,50
2024-04-06,11
2024-04-07,11
2024-04-08,43
2024-04-09,65
2024-04-10,54
2024-04-11,65
2024-04-12,64
2024-04-13,11
2024-04-14,12
2024-04-15,63
2024-04-16,58
2024-04-17,60
2024-04-18,63
2024-04-19,61
2024-04-20,11
2024-04-21,11
2024-04-22,66
2024-04-23,60
2024-04-24,60
2024-04-25,63
2024-04-26,56
2024-04-27,12
2024-04-28,11
2024-04-29,61
2024-04-30,62
2024-05-01,55
2024-05-02,63
2024-05-03,58
2024-05-04,12
2024-05-05,11
2024-05-06,64
2024-05-07,61
2024-05-08,62
2024-05-09,64
2024-05-10,51
2024-05-11,11
2024-05-12,11
2024-05-13,58
2024-05-14,58
2024-05-15,55
2024-05-16,55
2024-05-17,46
2024-05-18,11
2024-05-19,11
2024-05-20,48
2024-05-21,44
2024-05-22,36
2024-05-23,35
2024-05-24,31
2024-05-25,9
2024-05-26,8
2024-05-27,8
2024-05-28,30
2024-05-29,30
2024-05-30,30
2024-05-31,26
2024-06-01,8
2024-06-02,8
2024-06-03,25
2024-06-04,26
2024-06-05,24
2024-06-06,22
2024-06-07,16
2024-06-08,7
2024-06-09,7
2024-06-10,19
2024-06-11,17
2024-06-12,16
2024-06-13,15
2024-06-14,11
2024-06-15,6
2024-06-16,6
2024-06-17,11
2024-06-18,11
2024-06-19,8
2024-06-20,10
2024-06-21,8
2024-06-22,6
2024-06-23,5
2024-06-24,9
2024-06-25,10
2024-06-26,9
2024-06-27,8
2024-06-28,7
2024-06-29,5
2024-06-30,5
2024-07-01,8
2024-07-02,9
2024-07-03,8
2024-07-04,6
2024-07-05,6
2024-07-06,6
2024-07-07,6
2024-07-08,9
2024-07-09,9
2024-07-10,7
2024-07-11,8
2024-07-12,8
2024-07-13,6
2024-07-14,5
2024-07-15,8
2024-07-16,9
2024-07-17,10
2024-07-18,11
2024-07-19,10
2024-07-20,7
2024-07-21,7
2024-07-22,10
2024-07-23,11
2024-07-24,15
2024-07-25,12
2024-07-26,11
2024-07-27,11
2024-07-28,9
2024-07-29,13
2024-07-30,16
2024-07-31,16
2024-08-01,21
2024-08-02,21
2024-08-03,12
2024-08-04,10
2024-08-05,21
2024-08-06,29
2024-08-07,28
2024-08-08,29
2024-08-09,30
2024-08-10,11
2024-08-11,13
2024-08-12,40
2024-08-13,40
2024-08-14,48
2024-08-15,58
2024-08-16,56
2024-08-17,12
2024-08-18,12
2024-08-19,64
2024-08-20,75
2024-08-21,78
2024-08-22,84
2024-08-23,81
2024-08-24,15
2024-08-25,15
2024-08-26,89
2024-08-27,90
2024-08-28,92
2024-08-29,88
2024-08-30,76
2024-08-31,13
2024-09-01,11
2024-09-02,15
2024-09-03,87
2024-09-04,95
2024-09-05,95
2024-09-06,94
2024-09-07,15
2024-09-08,15
2024-09-09,90
2024-09-10,92
2024-09-11,88
2024-09-12,100
2024-09-13,90
2024-09-14,16
2024-09-15,15
2024-09-16,84
