Time,home depot
2023-04-26,55
2023-04-27,56
2023-04-28,56
2023-04-29,74
2023-04-30,71
2023-05-01,61
2023-05-02,59
2023-05-03,56
2023-05-04,56
2023-05-05,58
2023-05-06,75
2023-05-07,77
2023-05-08,63
2023-05-09,60
2023-05-10,61
2023-05-11,58
2023-05-12,60
2023-05-13,75
2023-05-14,70
2023-05-15,63
2023-05-16,66
2023-05-17,63
2023-05-18,61
2023-05-19,64
2023-05-20,80
2023-05-21,81
2023-05-22,64
2023-05-23,62
2023-05-24,62
2023-05-25,64
2023-05-26,71
2023-05-27,86
2023-05-28,88
2023-05-29,99
2023-05-30,66
2023-05-31,62
2023-06-01,65
2023-06-02,65
2023-06-03,85
2023-06-04,79
2023-06-05,64
2023-06-06,61
2023-06-07,61
2023-06-08,58
2023-06-09,58
2023-06-10,74
2023-06-11,73
2023-06-12,64
2023-06-13,60
2023-06-14,60
2023-06-15,63
2023-06-16,64
2023-06-17,74
2023-06-18,70
2023-06-19,70
2023-06-20,64
2023-06-21,60
2023-06-22,59
2023-06-23,60
2023-06-24,73
2023-06-25,72
2023-06-26,63
2023-06-27,61
2023-06-28,60
2023-06-29,62
2023-06-30,63
2023-07-01,76
2023-07-02,76
2023-07-03,71
2023-07-04,87
2023-07-05,61
2023-07-06,61
2023-07-07,62
2023-07-08,72
2023-07-09,67
2023-07-10,61
2023-07-11,59
2023-07-12,60
2023-07-13,60
2023-07-14,59
2023-07-15,68
2023-07-16,67
2023-07-17,60
2023-07-18,58
2023-07-19,54
2023-07-20,52
2023-07-21,54
2023-07-22,63
2023-07-23,63
2023-07-24,58
2023-07-25,57
2023-07-26,52
2023-07-27,55
2023-07-28,56
2023-07-29,66
2023-07-30,64
2023-07-31,56
2023-08-01,58
2023-08-02,55
2023-08-03,54
2023-08-04,56
2023-08-05,64
2023-08-06,62
2023-08-07,54
2023-08-08,54
2023-08-09,52
2023-08-10,51
2023-08-11,55
2023-08-12,61
2023-08-13,64
2023-08-14,54
2023-08-15,53
2023-08-16,53
2023-08-17,54
2023-08-18,53
2023-08-19,64
2023-08-20,61
2023-08-21,54
2023-08-22,53
2023-08-23,51
2023-08-24,49
2023-08-25,51
2023-08-26,59
2023-08-27,65
2023-08-28,52
2023-08-29,51
2023-08-30,50
2023-08-31,50
2023-09-01,55
2023-09-02,64
2023-09-03,67
2023-09-04,79
2023-09-05,50
2023-09-06,47
2023-09-07,47
2023-09-08,47
2023-09-09,56
2023-09-10,53
2023-09-11,48
2023-09-12,46
2023-09-13,48
2023-09-14,47
2023-09-15,46
2023-09-16,55
2023-09-17,55
2023-09-18,48
2023-09-19,46
2023-09-20,46
2023-09-21,46
2023-09-22,45
2023-09-23,55
2023-09-24,56
2023-09-25,47
2023-09-26,44
2023-09-27,45
2023-09-28,45
2023-09-29,46
2023-09-30,56
2023-10-01,57
2023-10-02,49
2023-10-03,45
2023-10-04,47
2023-10-05,46
2023-10-06,49
2023-10-07,57
2023-10-08,59
2023-10-09,55
2023-10-10,48
2023-10-11,47
2023-10-12,45
2023-10-13,48
2023-10-14,56
2023-10-15,55
2023-10-16,47
2023-10-17,46
2023-10-18,44
2023-10-19,45
2023-10-20,44
2023-10-21,55
2023-10-22,53
2023-10-23,47
2023-10-24,46
2023-10-25,46
2023-10-26,45
2023-10-27,46
2023-10-28,52
2023-10-29,51
2023-10-30,47
2023-10-31,48
2023-11-01,51
2023-11-02,53
2023-11-03,54
2023-11-04,68
2023-11-05,61
2023-11-06,51
2023-11-07,53
2023-11-08,49
2023-11-09,50
2023-11-10,55
2023-11-11,64
2023-11-12,62
2023-11-13,53
2023-11-14,51
2023-11-15,50
2023-11-16,52
2023-11-17,53
2023-11-18,65
2023-11-19,68
2023-11-20,57
2023-11-21,55
2023-11-22,62
2023-11-23,79
2023-11-24,100
2023-11-25,79
2023-11-26,72
2023-11-27,62
2023-11-28,54
2023-11-29,52
2023-11-30,49
2023-12-01,48
2023-12-02,61
2023-12-03,59
2023-12-04,48
2023-12-05,48
2023-12-06,46
2023-12-07,45
2023-12-08,47
2023-12-09,53
2023-12-10,53
2023-12-11,49
2023-12-12,44
2023-12-13,46
2023-12-14,43
2023-12-15,45
2023-12-16,52
2023-12-17,49
2023-12-18,45
2023-12-19,45
2023-12-20,46
2023-12-21,45
2023-12-22,47
2023-12-23,52
2023-12-24,48
2023-12-25,38
2023-12-26,55
2023-12-27,55
2023-12-28,51
2023-12-29,51
2023-12-30,52
2023-12-31,54
2024-01-01,57
2024-01-02,45
2024-01-03,47
2024-01-04,45
2024-01-05,45
2024-01-06,56
2024-01-07,48
2024-01-08,41
2024-01-09,40
2024-01-10,43
2024-01-11,45
2024-01-12,46
2024-01-13,56
2024-01-14,51
2024-01-15,51
2024-01-16,43
2024-01-17,42
2024-01-18,40
2024-01-19,42
2024-01-20,52
