Time,home depot
2025-12-11,55
2025-12-12,52
2025-12-13,67
2025-12-14,63
2025-12-15,55
2025-12-16,52
2025-12-17,52
2025-12-18,51
2025-12-19,53
2025-12-20,62
2025-12-21,59
2025-12-22,57
2025-12-23,60
2025-12-24,65
2025-12-25,44
2025-12-26,67
2025-12-27,64
2025-12-28,64
2025-12-29,60
2025-12-30,58
2025-12-31,60
2026-01-01,70
2026-01-02,61
2026-01-03,67
2026-01-04,60
2026-01-05,50
2026-01-06,48
2026-01-07,48
2026-01-08,47
2026-01-09,49
2026-01-10,57
2026-01-11,57
2026-01-12,48
2026-01-13,46
2026-01-14,43
2026-01-15,46
2026-01-16,51
2026-01-17,56
2026-01-18,55
2026-01-19,56
2026-01-20,50
2026-01-21,62
2026-01-22,64
2026-01-23,69
2026-01-24,73
2026-01-25,50
2026-01-26,55
2026-01-27,54
2026-01-28,54
2026-01-29,55
2026-01-30,53
2026-01-31,60
2026-02-01,60
2026-02-02,52
2026-02-03,48
2026-02-04,47
2026-02-05,46
2026-02-06,49
2026-02-07,59
2026-02-08,48
2026-02-09,40
2026-02-10,44
2026-02-11,47
2026-02-12,44
2026-02-13,47
2026-02-14,54
2026-02-15,54
2026-02-16,57
2026-02-17,47
2026-02-18,48
2026-02-19,49
2026-02-20,48
2026-02-21,63
2026-02-22,60
2026-02-23,52
2026-02-24,52
2026-02-25,51
2026-02-26,53
2026-02-27,54
2026-02-28,65
2026-03-01,70
2026-03-02,57
2026-03-03,53
2026-03-04,54
2026-03-05,54
2026-03-06,59
2026-03-07,76
2026-03-08,68
2026-03-09,62
2026-03-10,61
2026-03-11,59
2026-03-12,59
2026-03-13,59
2026-03-14,74
2026-03-15,72
2026-03-16,58
2026-03-17,60
2026-03-18,59
2026-03-19,62
2026-03-20,61
2026-03-21,79
2026-03-22,76
2026-03-23,64
2026-03-24,64
2026-03-25,64
2026-03-26,62
2026-03-27,61
2026-03-28,77
2026-03-29,79
2026-03-30,67
2026-03-31,66
2026-04-01,62
2026-04-02,60
2026-04-03,67
2026-04-04,78
2026-04-05,89
2026-04-06,72
2026-04-07,60
2026-04-08,64
2026-04-09,69
2026-04-10,69
2026-04-11,86
2026-04-12,94
2026-04-13,69
2026-04-14,67
2026-04-15,65
2026-04-16,68
2026-04-17,69
2026-04-18,86
2026-04-19,83
2026-04-20,69
2026-04-21,66
2026-04-22,67
2026-04-23,65
2026-04-24,68
2026-04-25,78
2026-04-26,78
2026-04-27,68
2026-04-28,66
2026-04-29,59
2026-04-30,62
2026-05-01,62
2026-05-02,80
2026-05-03,81
2026-05-04,83
2026-05-05,66
2026-05-06,64
2026-05-07,61
2026-05-08,64
2026-05-09,78
2026-05-10,70
2026-05-11,64
2026-05-12,65
2026-05-13,65
2026-05-14,63
2026-05-15,66
2026-05-16,86
2026-05-17,88
2026-05-18,72
2026-05-19,69
2026-05-20,70
2026-05-21,69
2026-05-22,74
2026-05-23,87
2026-05-24,88
2026-05-25,100
2026-05-26,73
2026-05-27,69
2026-05-28,69
2026-05-29,72
2026-05-30,82
2026-05-31,83
