Time,home depot
2023-12-22,53
2023-12-23,59
2023-12-24,55
2023-12-25,43
2023-12-26,62
2023-12-27,62
2023-12-28,58
2023-12-29,57
2023-12-30,59
2023-12-31,61
2024-01-01,65
2024-01-02,51
2024-01-03,53
2024-01-04,51
2024-01-05,51
2024-01-06,64
2024-01-07,54
2024-01-08,47
2024-01-09,46
2024-01-10,49
2024-01-11,51
2024-01-12,52
2024-01-13,63
2024-01-14,57
2024-01-15,58
2024-01-16,48
2024-01-17,47
2024-01-18,45
2024-01-19,47
2024-01-20,58
2024-01-21,54
2024-01-22,44
2024-01-23,43
2024-01-24,45
2024-01-25,45
2024-01-26,46
2024-01-27,55
2024-01-28,53
2024-01-29,47
2024-01-30,48
2024-01-31,45
2024-02-01,46
2024-02-02,48
2024-02-03,61
2024-02-04,57
2024-02-05,46
2024-02-06,45
2024-02-07,43
2024-02-08,45
2024-02-09,47
2024-02-10,55
2024-02-11,49
2024-02-12,41
2024-02-13,42
2024-02-14,45
2024-02-15,46
2024-02-16,47
2024-02-17,56
2024-02-18,58
2024-02-19,58
2024-02-20,50
2024-02-21,47
2024-02-22,46
2024-02-23,49
2024-02-24,64
2024-02-25,62
2024-02-26,52
2024-02-27,49
2024-02-28,47
2024-02-29,49
2024-03-01,51
2024-03-02,67
2024-03-03,66
2024-03-04,54
2024-03-05,49
2024-03-06,49
2024-03-07,49
2024-03-08,50
2024-03-09,63
2024-03-10,62
2024-03-11,55
2024-03-12,54
2024-03-13,51
2024-03-14,54
2024-03-15,54
2024-03-16,70
2024-03-17,69
2024-03-18,55
2024-03-19,52
2024-03-20,53
2024-03-21,52
2024-03-22,50
2024-03-23,63
2024-03-24,67
2024-03-25,53
2024-03-26,50
2024-03-27,50
2024-03-28,54
2024-03-29,57
2024-03-30,70
2024-03-31,82
2024-04-01,58
2024-04-02,56
2024-04-03,52
2024-04-04,56
2024-04-05,60
2024-04-06,73
2024-04-07,73
2024-04-08,59
2024-04-09,53
2024-04-10,56
2024-04-11,54
2024-04-12,60
2024-04-13,74
2024-04-14,75
2024-04-15,63
2024-04-16,61
2024-04-17,58
2024-04-18,58
2024-04-19,61
2024-04-20,76
2024-04-21,77
2024-04-22,65
2024-04-23,59
2024-04-24,59
2024-04-25,60
2024-04-26,60
2024-04-27,74
2024-04-28,80
2024-04-29,68
2024-04-30,63
2024-05-01,59
2024-05-02,60
2024-05-03,63
2024-05-04,75
2024-05-05,73
2024-05-06,58
2024-05-07,59
2024-05-08,57
2024-05-09,59
2024-05-10,61
2024-05-11,74
2024-05-12,69
2024-05-13,61
2024-05-14,57
2024-05-15,57
2024-05-16,56
2024-05-17,59
2024-05-18,78
2024-05-19,83
2024-05-20,65
2024-05-21,62
2024-05-22,64
2024-05-23,65
2024-05-24,69
2024-05-25,81
2024-05-26,89
2024-05-27,100
2024-05-28,62
2024-05-29,64
2024-05-30,59
2024-05-31,64
2024-06-01,80
2024-06-02,76
2024-06-03,64
2024-06-04,61
2024-06-05,60
2024-06-06,61
2024-06-07,63
2024-06-08,76
2024-06-09,77
2024-06-10,62
2024-06-11,60
2024-06-12,62
2024-06-13,62
2024-06-14,64
2024-06-15,72
2024-06-16,75
2024-06-17,62
2024-06-18,61
2024-06-19,67
2024-06-20,60
2024-06-21,64
2024-06-22,74
2024-06-23,70
2024-06-24,63
2024-06-25,60
2024-06-26,58
2024-06-27,55
2024-06-28,58
2024-06-29,72
2024-06-30,69
2024-07-01,66
2024-07-02,62
2024-07-03,66
2024-07-04,90
2024-07-05,64
2024-07-06,72
2024-07-07,68
2024-07-08,60
2024-07-09,60
2024-07-10,60
2024-07-11,57
2024-07-12,58
2024-07-13,64
2024-07-14,56
2024-07-15,54
2024-07-16,56
2024-07-17,57
2024-07-18,60
2024-07-19,55
2024-07-20,62
2024-07-21,62
2024-07-22,56
2024-07-23,52
2024-07-24,52
2024-07-25,53
2024-07-26,53
2024-07-27,54
2024-07-28,58
2024-07-29,54
2024-07-30,57
2024-07-31,51
2024-08-01,52
2024-08-02,55
2024-08-03,63
2024-08-04,61
2024-08-05,54
2024-08-06,50
2024-08-07,55
2024-08-08,49
2024-08-09,52
2024-08-10,59
2024-08-11,59
2024-08-12,54
2024-08-13,53
2024-08-14,53
2024-08-15,52
2024-08-16,51
2024-08-17,60
2024-08-18,59
2024-08-19,54
2024-08-20,51
2024-08-21,50
2024-08-22,50
2024-08-23,51
2024-08-24,60
2024-08-25,63
2024-08-26,53
2024-08-27,50
2024-08-28,53
2024-08-29,51
2024-08-30,52
2024-08-31,64
2024-09-01,69
2024-09-02,77
2024-09-03,51
2024-09-04,49
2024-09-05,46
2024-09-06,46
2024-09-07,59
2024-09-08,56
2024-09-09,50
2024-09-10,48
2024-09-11,46
2024-09-12,47
2024-09-13,48
2024-09-14,57
2024-09-15,50
2024-09-16,49
