Time,nhl scores
2022-08-29,0
2022-08-30,0
2022-08-31,0
2022-09-01,0
2022-09-02,0
2022-09-03,0
2022-09-04,0
2022-09-05,0
2022-09-06,0
2022-09-07,0
2022-09-08,0
2022-09-09,1
2022-09-10,0
2022-09-11,3
2022-09-12,1
2022-09-13,1
2022-09-14,0
2022-09-15,0
2022-09-16,1
2022-09-17,0
2022-09-18,2
2022-09-19,1
2022-09-20,1
2022-09-21,0
2022-09-22,0
2022-09-23,1
2022-09-24,1
2022-09-25,3
2022-09-26,2
2022-09-27,3
2022-09-28,4
2022-09-29,3
2022-09-30,3
2022-10-01,4
2022-10-02,4
2022-10-03,2
2022-10-04,3
2022-10-05,4
2022-10-06,5
2022-10-07,6
2022-10-08,7
2022-10-09,6
2022-10-10,2
2022-10-11,4
2022-10-12,15
2022-10-13,22
2022-10-14,24
2022-10-15,23
2022-10-16,22
2022-10-17,9
2022-10-18,21
2022-10-19,19
2022-10-20,18
2022-10-21,22
2022-10-22,24
2022-10-23,27
2022-10-24,11
2022-10-25,18
2022-10-26,25
2022-10-27,17
2022-10-28,22
2022-10-29,23
2022-10-30,25
2022-10-31,14
2022-11-01,13
2022-11-02,22
2022-11-03,15
2022-11-04,26
2022-11-05,19
2022-11-06,23
2022-11-07,12
2022-11-08,14
2022-11-09,20
2022-11-10,15
2022-11-11,22
2022-11-12,21
2022-11-13,28
2022-11-14,14
2022-11-15,14
2022-11-16,18
2022-11-17,13
2022-11-18,23
2022-11-19,16
2022-11-20,26
2022-11-21,11
2022-11-22,19
2022-11-23,15
2022-11-24,28
2022-11-25,15
2022-11-26,23
2022-11-27,20
2022-11-28,11
2022-11-29,15
2022-11-30,18
2022-12-01,15
2022-12-02,19
2022-12-03,17
2022-12-04,27
2022-12-05,11
2022-12-06,16
2022-12-07,17
2022-12-08,21
2022-12-09,15
2022-12-10,30
2022-12-11,23
2022-12-12,14
2022-12-13,14
2022-12-14,20
2022-12-15,14
2022-12-16,23
2022-12-17,21
2022-12-18,26
2022-12-19,13
2022-12-20,19
2022-12-21,19
2022-12-22,19
2022-12-23,23
2022-12-24,23
2022-12-25,7
2022-12-26,6
2022-12-27,7
2022-12-28,23
2022-12-29,19
2022-12-30,23
2022-12-31,23
2023-01-01,23
2023-01-02,20
2023-01-03,11
2023-01-04,19
2023-01-05,14
2023-01-06,21
2023-01-07,22
2023-01-08,26
2023-01-09,14
2023-01-10,15
2023-01-11,20
2023-01-12,14
2023-01-13,21
2023-01-14,21
2023-01-15,29
2023-01-16,19
2023-01-17,16
2023-01-18,17
2023-01-19,18
2023-01-20,23
2023-01-21,21
2023-01-22,27
2023-01-23,14
2023-01-24,16
2023-01-25,22
2023-01-26,17
2023-01-27,22
2023-01-28,25
2023-01-29,28
2023-01-30,9
2023-01-31,10
2023-02-01,10
2023-02-02,12
2023-02-03,4
2023-02-04,6
2023-02-05,5
2023-02-06,4
2023-02-07,14
2023-02-08,14
2023-02-09,13
2023-02-10,16
2023-02-11,28
2023-02-12,27
2023-02-13,7
2023-02-14,14
2023-02-15,21
2023-02-16,18
2023-02-17,21
2023-02-18,30
2023-02-19,35
2023-02-20,24
2023-02-21,15
2023-02-22,21
2023-02-23,17
2023-02-24,24
2023-02-25,28
2023-02-26,34
2023-02-27,15
2023-02-28,20
2023-03-01,23
2023-03-02,22
2023-03-03,25
2023-03-04,31
2023-03-05,28
2023-03-06,16
2023-03-07,19
2023-03-08,23
2023-03-09,16
2023-03-10,27
2023-03-11,25
2023-03-12,37
2023-03-13,15
2023-03-14,18
2023-03-15,25
2023-03-16,20
2023-03-17,24
2023-03-18,27
2023-03-19,34
2023-03-20,16
2023-03-21,21
2023-03-22,25
2023-03-23,19
2023-03-24,27
2023-03-25,31
2023-03-26,33
2023-03-27,16
2023-03-28,22
2023-03-29,25
2023-03-30,22
2023-03-31,26
2023-04-01,31
2023-04-02,40
2023-04-03,17
2023-04-04,18
2023-04-05,25
2023-04-06,22
2023-04-07,32
2023-04-08,30
2023-04-09,45
2023-04-10,22
2023-04-11,33
2023-04-12,33
2023-04-13,26
2023-04-14,31
2023-04-15,18
2023-04-16,8
2023-04-17,11
2023-04-18,48
2023-04-19,59
2023-04-20,57
2023-04-21,53
2023-04-22,80
2023-04-23,100
2023-04-24,40
2023-04-25,58
2023-04-26,50
2023-04-27,56
2023-04-28,56
2023-04-29,87
2023-04-30,93
2023-05-01,68
2023-05-02,40
2023-05-03,45
2023-05-04,41
2023-05-05,47
2023-05-06,48
2023-05-07,55
2023-05-08,41
2023-05-09,35
2023-05-10,41
2023-05-11,47
2023-05-12,53
2023-05-13,74
2023-05-14,43
2023-05-15,35
2023-05-16,34
2023-05-17,13
2023-05-18,16
2023-05-19,48
2023-05-20,42
2023-05-21,60
2023-05-22,19
2023-05-23,31
2023-05-24,32
2023-05-25,37
