Time,ford
2022-08-29,87
2022-08-30,85
2022-08-31,89
2022-09-01,87
2022-09-02,86
2022-09-03,87
2022-09-04,79
2022-09-05,84
2022-09-06,82
2022-09-07,79
2022-09-08,80
2022-09-09,85
2022-09-10,87
2022-09-11,77
2022-09-12,87
2022-09-13,79
2022-09-14,85
2022-09-15,91
2022-09-16,88
2022-09-17,89
2022-09-18,74
2022-09-19,86
2022-09-20,89
2022-09-21,86
2022-09-22,83
2022-09-23,80
2022-09-24,86
2022-09-25,77
2022-09-26,83
2022-09-27,84
2022-09-28,81
2022-09-29,79
2022-09-30,82
2022-10-01,87
2022-10-02,77
2022-10-03,75
2022-10-04,81
2022-10-05,84
2022-10-06,84
2022-10-07,80
2022-10-08,86
2022-10-09,78
2022-10-10,85
2022-10-11,82
2022-10-12,81
2022-10-13,83
2022-10-14,81
2022-10-15,84
2022-10-16,74
2022-10-17,79
2022-10-18,81
2022-10-19,82
2022-10-20,82
2022-10-21,80
2022-10-22,81
2022-10-23,72
2022-10-24,80
2022-10-25,80
2022-10-26,85
2022-10-27,82
2022-10-28,83
2022-10-29,80
2022-10-30,71
2022-10-31,83
2022-11-01,74
2022-11-02,78
2022-11-03,77
2022-11-04,79
2022-11-05,82
2022-11-06,65
2022-11-07,78
2022-11-08,72
2022-11-09,66
2022-11-10,73
2022-11-11,78
2022-11-12,79
2022-11-13,70
2022-11-14,77
2022-11-15,77
2022-11-16,78
2022-11-17,82
2022-11-18,84
2022-11-19,83
2022-11-20,73
2022-11-21,78
2022-11-22,79
2022-11-23,77
2022-11-24,66
2022-11-25,78
2022-11-26,74
2022-11-27,71
2022-11-28,75
2022-11-29,75
2022-11-30,74
2022-12-01,68
2022-12-02,75
2022-12-03,76
2022-12-04,67
2022-12-05,73
2022-12-06,71
2022-12-07,76
2022-12-08,74
2022-12-09,72
2022-12-10,74
2022-12-11,71
2022-12-12,78
2022-12-13,75
2022-12-14,75
2022-12-15,74
2022-12-16,77
2022-12-17,81
2022-12-18,71
2022-12-19,85
2022-12-20,84
2022-12-21,84
2022-12-22,81
2022-12-23,78
2022-12-24,71
2022-12-25,65
2022-12-26,86
2022-12-27,93
2022-12-28,93
2022-12-29,93
2022-12-30,89
2022-12-31,83
2023-01-01,67
2023-01-02,85
2023-01-03,78
2023-01-04,85
2023-01-05,79
2023-01-06,82
2023-01-07,85
2023-01-08,79
2023-01-09,81
2023-01-10,79
2023-01-11,79
2023-01-12,78
2023-01-13,77
2023-01-14,85
2023-01-15,74
2023-01-16,82
2023-01-17,80
2023-01-18,81
2023-01-19,82
2023-01-20,80
2023-01-21,86
2023-01-22,78
2023-01-23,81
2023-01-24,83
2023-01-25,76
2023-01-26,78
2023-01-27,81
2023-01-28,87
2023-01-29,78
2023-01-30,84
2023-01-31,83
2023-02-01,77
2023-02-02,83
2023-02-03,92
2023-02-04,88
2023-02-05,88
2023-02-06,83
2023-02-07,87
2023-02-08,81
2023-02-09,80
2023-02-10,84
2023-02-11,92
2023-02-12,80
2023-02-13,81
2023-02-14,77
2023-02-15,82
2023-02-16,81
2023-02-17,89
2023-02-18,92
2023-02-19,85
2023-02-20,96
2023-02-21,83
2023-02-22,84
2023-02-23,82
2023-02-24,86
2023-02-25,92
2023-02-26,86
2023-02-27,82
2023-02-28,84
2023-03-01,81
2023-03-02,82
2023-03-03,83
2023-03-04,88
2023-03-05,85
2023-03-06,86
2023-03-07,82
2023-03-08,83
2023-03-09,82
2023-03-10,87
2023-03-11,89
2023-03-12,83
2023-03-13,95
2023-03-14,85
2023-03-15,81
2023-03-16,85
2023-03-17,84
2023-03-18,93
2023-03-19,81
2023-03-20,87
2023-03-21,82
2023-03-22,85
2023-03-23,87
2023-03-24,94
2023-03-25,87
2023-03-26,81
2023-03-27,86
2023-03-28,82
2023-03-29,84
2023-03-30,80
2023-03-31,84
2023-04-01,83
2023-04-02,75
2023-04-03,80
2023-04-04,80
2023-04-05,79
2023-04-06,82
2023-04-07,85
2023-04-08,86
2023-04-09,73
2023-04-10,83
2023-04-11,82
2023-04-12,84
2023-04-13,83
2023-04-14,91
2023-04-15,91
2023-04-16,80
2023-04-17,83
2023-04-18,80
2023-04-19,81
2023-04-20,84
2023-04-21,81
2023-04-22,92
2023-04-23,79
2023-04-24,81
2023-04-25,82
2023-04-26,83
2023-04-27,79
2023-04-28,82
2023-04-29,87
2023-04-30,79
2023-05-01,85
2023-05-02,80
2023-05-03,81
2023-05-04,86
2023-05-05,77
2023-05-06,86
2023-05-07,76
2023-05-08,85
2023-05-09,83
2023-05-10,86
2023-05-11,82
2023-05-12,83
2023-05-13,84
2023-05-14,78
2023-05-15,85
2023-05-16,83
2023-05-17,85
2023-05-18,87
2023-05-19,95
2023-05-20,100
2023-05-21,88
2023-05-22,94
2023-05-23,88
2023-05-24,85
2023-05-25,88
