Time,ford
2023-04-26,80
2023-04-27,77
2023-04-28,79
2023-04-29,84
2023-04-30,76
2023-05-01,82
2023-05-02,77
2023-05-03,79
2023-05-04,83
2023-05-05,75
2023-05-06,83
2023-05-07,73
2023-05-08,82
2023-05-09,80
2023-05-10,83
2023-05-11,79
2023-05-12,80
2023-05-13,82
2023-05-14,75
2023-05-15,82
2023-05-16,80
2023-05-17,83
2023-05-18,84
2023-05-19,92
2023-05-20,97
2023-05-21,85
2023-05-22,91
2023-05-23,85
2023-05-24,82
2023-05-25,85
2023-05-26,85
2023-05-27,88
2023-05-28,80
2023-05-29,80
2023-05-30,83
2023-05-31,90
2023-06-01,88
2023-06-02,94
2023-06-03,87
2023-06-04,83
2023-06-05,88
2023-06-06,86
2023-06-07,82
2023-06-08,87
2023-06-09,84
2023-06-10,87
2023-06-11,81
2023-06-12,83
2023-06-13,85
2023-06-14,88
2023-06-15,88
2023-06-16,88
2023-06-17,87
2023-06-18,81
2023-06-19,90
2023-06-20,85
2023-06-21,82
2023-06-22,83
2023-06-23,83
2023-06-24,89
2023-06-25,79
2023-06-26,89
2023-06-27,90
2023-06-28,95
2023-06-29,100
2023-06-30,100
2023-07-01,90
2023-07-02,88
2023-07-03,92
2023-07-04,88
2023-07-05,94
2023-07-06,89
2023-07-07,88
2023-07-08,86
2023-07-09,82
2023-07-10,87
2023-07-11,88
2023-07-12,86
2023-07-13,86
2023-07-14,84
2023-07-15,91
2023-07-16,82
2023-07-17,94
2023-07-18,84
2023-07-19,91
2023-07-20,83
2023-07-21,83
2023-07-22,89
2023-07-23,81
2023-07-24,88
2023-07-25,94
2023-07-26,86
2023-07-27,83
2023-07-28,88
2023-07-29,91
2023-07-30,80
2023-07-31,88
2023-08-01,86
2023-08-02,81
2023-08-03,82
2023-08-04,83
2023-08-05,86
2023-08-06,80
2023-08-07,85
2023-08-08,78
2023-08-09,82
2023-08-10,81
2023-08-11,88
2023-08-12,88
2023-08-13,79
2023-08-14,83
2023-08-15,87
2023-08-16,83
2023-08-17,83
2023-08-18,89
2023-08-19,90
2023-08-20,79
2023-08-21,83
2023-08-22,84
2023-08-23,78
2023-08-24,80
2023-08-25,83
2023-08-26,84
2023-08-27,76
2023-08-28,82
2023-08-29,80
2023-08-30,80
2023-08-31,80
2023-09-01,81
2023-09-02,83
2023-09-03,78
2023-09-04,78
2023-09-05,80
2023-09-06,78
2023-09-07,79
2023-09-08,77
2023-09-09,78
2023-09-10,73
2023-09-11,78
2023-09-12,76
2023-09-13,79
2023-09-14,84
2023-09-15,83
2023-09-16,81
2023-09-17,75
2023-09-18,77
2023-09-19,85
2023-09-20,81
2023-09-21,79
2023-09-22,78
2023-09-23,81
2023-09-24,79
2023-09-25,81
2023-09-26,80
2023-09-27,77
2023-09-28,75
2023-09-29,79
2023-09-30,79
2023-10-01,74
2023-10-02,79
2023-10-03,76
2023-10-04,72
2023-10-05,75
2023-10-06,76
2023-10-07,77
2023-10-08,71
2023-10-09,82
2023-10-10,76
2023-10-11,71
2023-10-12,80
2023-10-13,76
2023-10-14,77
2023-10-15,73
2023-10-16,80
2023-10-17,73
2023-10-18,76
2023-10-19,77
2023-10-20,77
2023-10-21,78
2023-10-22,74
2023-10-23,76
2023-10-24,73
2023-10-25,74
2023-10-26,78
2023-10-27,76
2023-10-28,76
2023-10-29,69
2023-10-30,74
2023-10-31,76
2023-11-01,74
2023-11-02,76
2023-11-03,76
2023-11-04,78
2023-11-05,70
2023-11-06,76
2023-11-07,77
2023-11-08,70
2023-11-09,73
2023-11-10,78
2023-11-11,75
2023-11-12,69
2023-11-13,74
2023-11-14,73
2023-11-15,74
2023-11-16,75
2023-11-17,73
2023-11-18,76
2023-11-19,67
2023-11-20,81
2023-11-21,73
2023-11-22,73
2023-11-23,65
2023-11-24,75
2023-11-25,73
2023-11-26,69
2023-11-27,77
2023-11-28,74
2023-11-29,74
2023-11-30,75
2023-12-01,74
2023-12-02,74
2023-12-03,66
2023-12-04,73
2023-12-05,75
2023-12-06,73
2023-12-07,70
2023-12-08,75
2023-12-09,79
2023-12-10,73
2023-12-11,75
2023-12-12,74
2023-12-13,73
2023-12-14,76
2023-12-15,76
2023-12-16,79
2023-12-17,71
2023-12-18,71
2023-12-19,71
2023-12-20,76
2023-12-21,78
2023-12-22,75
2023-12-23,78
2023-12-24,66
2023-12-25,58
2023-12-26,81
2023-12-27,90
2023-12-28,83
2023-12-29,82
2023-12-30,81
2023-12-31,66
2024-01-01,65
2024-01-02,78
2024-01-03,82
2024-01-04,77
2024-01-05,78
2024-01-06,82
2024-01-07,71
2024-01-08,72
2024-01-09,70
2024-01-10,73
2024-01-11,73
2024-01-12,72
2024-01-13,80
2024-01-14,69
2024-01-15,86
2024-01-16,74
2024-01-17,78
2024-01-18,80
2024-01-19,75
2024-01-20,77
