Time,yahoo
2025-12-11,83
2025-12-12,79
2025-12-13,58
2025-12-14,57
2025-12-15,85
2025-12-16,81
2025-12-17,82
2025-12-18,80
2025-12-19,82
2025-12-20,62
2025-12-21,56
2025-12-22,83
2025-12-23,80
2025-12-24,64
2025-12-25,49
2025-12-26,66
2025-12-27,55
2025-12-28,54
2025-12-29,75
2025-12-30,79
2025-12-31,66
2026-01-01,53
2026-01-02,70
2026-01-03,59
2026-01-04,56
2026-01-05,77
2026-01-06,80
2026-01-07,79
2026-01-08,76
2026-01-09,77
2026-01-10,56
2026-01-11,52
2026-01-12,78
2026-01-13,80
2026-01-14,80
2026-01-15,78
2026-01-16,72
2026-01-17,55
2026-01-18,53
2026-01-19,65
2026-01-20,81
2026-01-21,100
2026-01-22,78
2026-01-23,72
2026-01-24,55
2026-01-25,52
2026-01-26,75
2026-01-27,76
2026-01-28,81
2026-01-29,79
2026-01-30,79
2026-01-31,56
2026-02-01,54
2026-02-02,79
2026-02-03,82
2026-02-04,76
2026-02-05,79
2026-02-06,80
2026-02-07,59
2026-02-08,50
2026-02-09,70
2026-02-10,78
2026-02-11,80
2026-02-12,76
2026-02-13,74
2026-02-14,53
2026-02-15,50
2026-02-16,66
2026-02-17,73
2026-02-18,75
2026-02-19,74
2026-02-20,74
2026-02-21,55
2026-02-22,48
2026-02-23,78
2026-02-24,76
2026-02-25,76
2026-02-26,75
2026-02-27,71
2026-02-28,56
2026-03-01,55
2026-03-02,80
2026-03-03,84
2026-03-04,80
2026-03-05,81
2026-03-06,77
2026-03-07,58
2026-03-08,58
2026-03-09,84
2026-03-10,83
2026-03-11,82
2026-03-12,81
2026-03-13,75
2026-03-14,59
2026-03-15,56
2026-03-16,80
2026-03-17,79
2026-03-18,83
2026-03-19,82
2026-03-20,77
2026-03-21,59
2026-03-22,58
2026-03-23,85
2026-03-24,82
2026-03-25,83
2026-03-26,80
2026-03-27,77
2026-03-28,55
2026-03-29,56
2026-03-30,78
2026-03-31,80
2026-04-01,80
2026-04-02,79
2026-04-03,67
2026-04-04,55
2026-04-05,50
2026-04-06,77
2026-04-07,80
2026-04-08,84
2026-04-09,79
2026-04-10,76
2026-04-11,54
2026-04-12,55
2026-04-13,82
2026-04-14,77
2026-04-15,88
2026-04-16,79
2026-04-17,75
2026-04-18,54
2026-04-19,52
2026-04-20,80
2026-04-21,79
2026-04-22,80
2026-04-23,78
2026-04-24,72
2026-04-25,51
2026-04-26,53
2026-04-27,76
2026-04-28,71
2026-04-29,74
2026-04-30,77
2026-05-01,75
2026-05-02,52
2026-05-03,53
2026-05-04,76
2026-05-05,80
2026-05-06,76
2026-05-07,77
2026-05-08,76
2026-05-09,53
2026-05-10,48
2026-05-11,80
2026-05-12,80
2026-05-13,75
2026-05-14,77
2026-05-15,74
2026-05-16,53
2026-05-17,51
2026-05-18,74
2026-05-19,76
2026-05-20,75
2026-05-21,77
2026-05-22,75
2026-05-23,52
2026-05-24,52
2026-05-25,56
2026-05-26,82
2026-05-27,78
2026-05-28,79
2026-05-29,78
2026-05-30,51
2026-05-31,51
