Time,yahoo
2024-08-18,64
2024-08-19,89
2024-08-20,95
2024-08-21,92
2024-08-22,86
2024-08-23,90
2024-08-24,70
2024-08-25,71
2024-08-26,96
2024-08-27,95
2024-08-28,97
2024-08-29,95
2024-08-30,91
2024-08-31,67
2024-09-01,68
2024-09-02,75
2024-09-03,100
2024-09-04,100
2024-09-05,95
2024-09-06,89
2024-09-07,64
2024-09-08,66
2024-09-09,90
2024-09-10,87
2024-09-11,88
2024-09-12,89
2024-09-13,84
2024-09-14,59
2024-09-15,64
2024-09-16,88
2024-09-17,89
2024-09-18,95
2024-09-19,94
2024-09-20,78
2024-09-21,61
2024-09-22,60
2024-09-23,85
2024-09-24,93
2024-09-25,82
2024-09-26,81
2024-09-27,83
2024-09-28,59
2024-09-29,60
2024-09-30,83
2024-10-01,87
2024-10-02,83
2024-10-03,86
2024-10-04,82
2024-10-05,58
2024-10-06,58
2024-10-07,84
2024-10-08,84
2024-10-09,82
2024-10-10,84
2024-10-11,79
2024-10-12,59
2024-10-13,62
2024-10-14,82
2024-10-15,85
2024-10-16,81
2024-10-17,82
2024-10-18,77
2024-10-19,55
2024-10-20,59
2024-10-21,79
2024-10-22,80
2024-10-23,82
2024-10-24,82
2024-10-25,78
2024-10-26,56
2024-10-27,57
2024-10-28,78
2024-10-29,81
2024-10-30,81
2024-10-31,83
2024-11-01,81
2024-11-02,57
2024-11-03,58
2024-11-04,81
2024-11-05,84
2024-11-06,82
2024-11-07,84
2024-11-08,80
2024-11-09,55
2024-11-10,55
2024-11-11,75
2024-11-12,78
2024-11-13,84
2024-11-14,83
2024-11-15,75
2024-11-16,54
2024-11-17,56
2024-11-18,75
2024-11-19,80
2024-11-20,81
2024-11-21,81
2024-11-22,76
2024-11-23,53
2024-11-24,52
2024-11-25,75
2024-11-26,79
2024-11-27,71
2024-11-28,50
2024-11-29,59
2024-11-30,52
2024-12-01,55
2024-12-02,78
2024-12-03,79
2024-12-04,81
2024-12-05,79
2024-12-06,73
2024-12-07,57
2024-12-08,58
2024-12-09,78
2024-12-10,80
2024-12-11,84
2024-12-12,82
2024-12-13,75
2024-12-14,58
2024-12-15,56
2024-12-16,81
2024-12-17,82
2024-12-18,84
2024-12-19,83
2024-12-20,82
2024-12-21,56
2024-12-22,56
2024-12-23,76
2024-12-24,66
2024-12-25,55
2024-12-26,73
2024-12-27,74
2024-12-28,56
2024-12-29,56
2024-12-30,83
2024-12-31,74
2025-01-01,55
2025-01-02,78
2025-01-03,76
2025-01-04,57
2025-01-05,55
2025-01-06,79
2025-01-07,79
2025-01-08,77
2025-01-09,74
2025-01-10,79
2025-01-11,54
2025-01-12,52
2025-01-13,76
2025-01-14,78
2025-01-15,77
2025-01-16,78
2025-01-17,76
2025-01-18,52
2025-01-19,47
2025-01-20,67
2025-01-21,78
2025-01-22,80
2025-01-23,74
2025-01-24,77
2025-01-25,54
2025-01-26,50
2025-01-27,77
2025-01-28,81
2025-01-29,84
2025-01-30,79
2025-01-31,79
2025-02-01,57
2025-02-02,52
2025-02-03,80
2025-02-04,83
2025-02-05,81
2025-02-06,76
2025-02-07,77
2025-02-08,54
2025-02-09,49
2025-02-10,75
2025-02-11,77
2025-02-12,76
2025-02-13,77
2025-02-14,77
2025-02-15,53
2025-02-16,55
2025-02-17,68
2025-02-18,79
2025-02-19,80
2025-02-20,79
2025-02-21,77
2025-02-22,53
2025-02-23,52
2025-02-24,77
2025-02-25,75
2025-02-26,82
2025-02-27,81
2025-02-28,77
2025-03-01,57
2025-03-02,54
2025-03-03,78
2025-03-04,78
2025-03-05,80
2025-03-06,82
2025-03-07,76
2025-03-08,55
2025-03-09,52
2025-03-10,81
2025-03-11,84
2025-03-12,80
2025-03-13,85
2025-03-14,79
2025-03-15,56
2025-03-16,51
2025-03-17,77
2025-03-18,80
2025-03-19,81
2025-03-20,78
2025-03-21,71
2025-03-22,54
2025-03-23,51
2025-03-24,75
2025-03-25,74
2025-03-26,76
2025-03-27,74
2025-03-28,75
2025-03-29,52
2025-03-30,51
2025-03-31,76
2025-04-01,76
2025-04-02,76
2025-04-03,83
2025-04-04,82
2025-04-05,52
2025-04-06,55
2025-04-07,88
2025-04-08,83
2025-04-09,88
2025-04-10,81
2025-04-11,80
2025-04-12,52
2025-04-13,50
2025-04-14,79
2025-04-15,82
2025-04-16,79
2025-04-17,75
2025-04-18,68
2025-04-19,48
2025-04-20,47
2025-04-21,76
2025-04-22,81
2025-04-23,78
2025-04-24,76
2025-04-25,70
2025-04-26,50
2025-04-27,46
2025-04-28,76
2025-04-29,72
2025-04-30,67
2025-05-01,79
2025-05-02,71
2025-05-03,50
2025-05-04,50
2025-05-05,73
2025-05-06,72
2025-05-07,72
2025-05-08,77
2025-05-09,71
2025-05-10,49
2025-05-11,46
2025-05-12,77
2025-05-13,75
2025-05-14,74
