Time,yahoo
2023-04-26,91
2023-04-27,89
2023-04-28,85
2023-04-29,67
2023-04-30,66
2023-05-01,91
2023-05-02,92
2023-05-03,92
2023-05-04,92
2023-05-05,89
2023-05-06,68
2023-05-07,66
2023-05-08,90
2023-05-09,93
2023-05-10,96
2023-05-11,89
2023-05-12,88
2023-05-13,68
2023-05-14,62
2023-05-15,94
2023-05-16,96
2023-05-17,90
2023-05-18,92
2023-05-19,91
2023-05-20,66
2023-05-21,65
2023-05-22,90
2023-05-23,91
2023-05-24,92
2023-05-25,87
2023-05-26,90
2023-05-27,67
2023-05-28,64
2023-05-29,67
2023-05-30,100
2023-05-31,93
2023-06-01,94
2023-06-02,93
2023-06-03,70
2023-06-04,67
2023-06-05,90
2023-06-06,90
2023-06-07,92
2023-06-08,88
2023-06-09,92
2023-06-10,66
2023-06-11,64
2023-06-12,91
2023-06-13,89
2023-06-14,89
2023-06-15,90
2023-06-16,88
2023-06-17,63
2023-06-18,62
2023-06-19,84
2023-06-20,95
2023-06-21,99
2023-06-22,94
2023-06-23,86
2023-06-24,68
2023-06-25,66
2023-06-26,90
2023-06-27,93
2023-06-28,89
2023-06-29,89
2023-06-30,88
2023-07-01,67
2023-07-02,65
2023-07-03,86
2023-07-04,69
2023-07-05,90
2023-07-06,96
2023-07-07,91
2023-07-08,69
2023-07-09,65
2023-07-10,92
2023-07-11,90
2023-07-12,92
2023-07-13,94
2023-07-14,89
2023-07-15,67
2023-07-16,64
2023-07-17,93
2023-07-18,98
2023-07-19,92
2023-07-20,89
2023-07-21,89
2023-07-22,67
2023-07-23,62
2023-07-24,97
2023-07-25,89
2023-07-26,90
2023-07-27,91
2023-07-28,90
2023-07-29,67
2023-07-30,64
2023-07-31,87
2023-08-01,93
2023-08-02,94
2023-08-03,95
2023-08-04,91
2023-08-05,75
2023-08-06,73
2023-08-07,92
2023-08-08,95
2023-08-09,93
2023-08-10,92
2023-08-11,91
2023-08-12,64
2023-08-13,63
2023-08-14,90
2023-08-15,98
2023-08-16,96
2023-08-17,92
2023-08-18,92
2023-08-19,67
2023-08-20,65
2023-08-21,93
2023-08-22,95
2023-08-23,95
2023-08-24,95
2023-08-25,90
2023-08-26,73
2023-08-27,69
2023-08-28,96
2023-08-29,90
2023-08-30,93
2023-08-31,93
2023-09-01,89
2023-09-02,68
2023-09-03,69
2023-09-04,74
2023-09-05,96
2023-09-06,95
2023-09-07,94
2023-09-08,85
2023-09-09,67
2023-09-10,68
2023-09-11,91
2023-09-12,89
2023-09-13,90
2023-09-14,89
2023-09-15,83
2023-09-16,65
2023-09-17,68
2023-09-18,85
2023-09-19,90
2023-09-20,93
2023-09-21,88
2023-09-22,85
2023-09-23,64
2023-09-24,69
2023-09-25,88
2023-09-26,85
2023-09-27,87
2023-09-28,94
2023-09-29,83
2023-09-30,66
2023-10-01,66
2023-10-02,86
2023-10-03,88
2023-10-04,89
2023-10-05,88
2023-10-06,85
2023-10-07,64
2023-10-08,67
2023-10-09,87
2023-10-10,91
2023-10-11,90
2023-10-12,88
2023-10-13,84
2023-10-14,67
2023-10-15,69
2023-10-16,84
2023-10-17,85
2023-10-18,89
2023-10-19,91
2023-10-20,90
2023-10-21,65
2023-10-22,67
2023-10-23,89
2023-10-24,93
2023-10-25,88
2023-10-26,92
2023-10-27,83
2023-10-28,65
2023-10-29,66
2023-10-30,87
2023-10-31,90
2023-11-01,91
2023-11-02,88
2023-11-03,79
2023-11-04,64
2023-11-05,66
2023-11-06,86
2023-11-07,86
2023-11-08,87
2023-11-09,83
2023-11-10,81
2023-11-11,62
2023-11-12,63
2023-11-13,83
2023-11-14,87
2023-11-15,88
2023-11-16,88
2023-11-17,81
2023-11-18,66
2023-11-19,63
2023-11-20,81
2023-11-21,85
2023-11-22,79
2023-11-23,62
2023-11-24,68
2023-11-25,61
2023-11-26,63
2023-11-27,87
2023-11-28,87
2023-11-29,84
2023-11-30,85
2023-12-01,81
2023-12-02,63
2023-12-03,63
2023-12-04,85
2023-12-05,88
2023-12-06,86
2023-12-07,83
2023-12-08,81
2023-12-09,62
2023-12-10,65
2023-12-11,85
2023-12-12,83
2023-12-13,86
2023-12-14,89
2023-12-15,83
2023-12-16,69
2023-12-17,63
2023-12-18,86
2023-12-19,87
2023-12-20,88
2023-12-21,86
2023-12-22,83
2023-12-23,65
2023-12-24,61
2023-12-25,64
2023-12-26,80
2023-12-27,82
2023-12-28,81
2023-12-29,80
2023-12-30,63
2023-12-31,61
2024-01-01,64
2024-01-02,87
2024-01-03,88
2024-01-04,83
2024-01-05,83
2024-01-06,64
2024-01-07,57
2024-01-08,80
2024-01-09,85
2024-01-10,87
2024-01-11,84
2024-01-12,82
2024-01-13,62
2024-01-14,59
2024-01-15,73
2024-01-16,76
2024-01-17,82
2024-01-18,80
2024-01-19,81
2024-01-20,63
