Time,atlanta braves
2023-04-26,28
2023-04-27,42
2023-04-28,20
2023-04-29,44
2023-04-30,29
2023-05-01,35
2023-05-02,23
2023-05-03,30
2023-05-04,32
2023-05-05,25
2023-05-06,36
2023-05-07,54
2023-05-08,20
2023-05-09,21
2023-05-10,31
2023-05-11,26
2023-05-12,21
2023-05-13,38
2023-05-14,35
2023-05-15,18
2023-05-16,27
2023-05-17,29
2023-05-18,30
2023-05-19,25
2023-05-20,42
2023-05-21,42
2023-05-22,23
2023-05-23,34
2023-05-24,29
2023-05-25,32
2023-05-26,32
2023-05-27,42
2023-05-28,32
2023-05-29,40
2023-05-30,30
2023-05-31,36
2023-06-01,19
2023-06-02,19
2023-06-03,34
2023-06-04,47
2023-06-05,22
2023-06-06,22
2023-06-07,36
2023-06-08,34
2023-06-09,45
2023-06-10,48
2023-06-11,42
2023-06-12,23
2023-06-13,30
2023-06-14,54
2023-06-15,33
2023-06-16,34
2023-06-17,47
2023-06-18,42
2023-06-19,23
2023-06-20,25
2023-06-21,34
2023-06-22,43
2023-06-23,29
2023-06-24,48
2023-06-25,47
2023-06-26,28
2023-06-27,39
2023-06-28,43
2023-06-29,25
2023-06-30,27
2023-07-01,58
2023-07-02,54
2023-07-03,35
2023-07-04,47
2023-07-05,40
2023-07-06,37
2023-07-07,39
2023-07-08,49
2023-07-09,73
2023-07-10,19
2023-07-11,16
2023-07-12,18
2023-07-13,16
2023-07-14,26
2023-07-15,46
2023-07-16,62
2023-07-17,23
2023-07-18,25
2023-07-19,45
2023-07-20,44
2023-07-21,27
2023-07-22,48
2023-07-23,55
2023-07-24,28
2023-07-25,28
2023-07-26,40
2023-07-27,34
2023-07-28,31
2023-07-29,49
2023-07-30,54
2023-07-31,36
2023-08-01,40
2023-08-02,43
2023-08-03,27
2023-08-04,35
2023-08-05,42
2023-08-06,45
2023-08-07,24
2023-08-08,44
2023-08-09,39
2023-08-10,43
2023-08-11,25
2023-08-12,58
2023-08-13,55
2023-08-14,38
2023-08-15,43
2023-08-16,39
2023-08-17,37
2023-08-18,27
2023-08-19,47
2023-08-20,62
2023-08-21,25
2023-08-22,32
2023-08-23,37
2023-08-24,34
2023-08-25,22
2023-08-26,49
2023-08-27,39
2023-08-28,35
2023-08-29,42
2023-08-30,41
2023-08-31,38
2023-09-01,39
2023-09-02,47
2023-09-03,67
2023-09-04,25
2023-09-05,22
2023-09-06,30
2023-09-07,33
2023-09-08,34
2023-09-09,42
2023-09-10,51
2023-09-11,39
2023-09-12,41
2023-09-13,41
2023-09-14,36
2023-09-15,25
2023-09-16,48
2023-09-17,37
2023-09-18,21
2023-09-19,31
2023-09-20,38
2023-09-21,24
2023-09-22,34
2023-09-23,40
2023-09-24,44
2023-09-25,30
2023-09-26,25
2023-09-27,38
2023-09-28,45
2023-09-29,40
2023-09-30,44
2023-10-01,53
2023-10-02,18
2023-10-03,15
2023-10-04,16
2023-10-05,25
2023-10-06,18
2023-10-07,48
2023-10-08,59
2023-10-09,41
2023-10-10,73
2023-10-11,67
2023-10-12,77
2023-10-13,100
2023-10-14,15
2023-10-15,10
2023-10-16,8
2023-10-17,10
2023-10-18,6
2023-10-19,6
2023-10-20,5
2023-10-21,6
2023-10-22,6
2023-10-23,5
2023-10-24,6
2023-10-25,8
2023-10-26,10
2023-10-27,6
2023-10-28,5
2023-10-29,5
2023-10-30,4
2023-10-31,4
2023-11-01,8
2023-11-02,9
2023-11-03,5
2023-11-04,4
2023-11-05,5
2023-11-06,6
2023-11-07,7
2023-11-08,7
2023-11-09,7
2023-11-10,9
2023-11-11,8
2023-11-12,6
2023-11-13,5
2023-11-14,6
2023-11-15,7
2023-11-16,6
2023-11-17,9
2023-11-18,11
2023-11-19,8
2023-11-20,8
2023-11-21,11
2023-11-22,9
2023-11-23,8
2023-11-24,7
2023-11-25,7
2023-11-26,7
2023-11-27,7
2023-11-28,8
2023-11-29,8
2023-11-30,8
2023-12-01,8
2023-12-02,9
2023-12-03,7
2023-12-04,10
2023-12-05,9
2023-12-06,10
2023-12-07,9
2023-12-08,10
2023-12-09,10
2023-12-10,9
2023-12-11,7
2023-12-12,7
2023-12-13,7
2023-12-14,7
2023-12-15,7
2023-12-16,7
2023-12-17,7
2023-12-18,6
2023-12-19,6
2023-12-20,7
2023-12-21,7
2023-12-22,7
2023-12-23,6
2023-12-24,6
2023-12-25,7
2023-12-26,6
2023-12-27,6
2023-12-28,6
2023-12-29,5
2023-12-30,8
2023-12-31,7
2024-01-01,7
2024-01-02,6
2024-01-03,6
2024-01-04,6
2024-01-05,5
2024-01-06,5
2024-01-07,6
2024-01-08,5
2024-01-09,5
2024-01-10,6
2024-01-11,5
2024-01-12,5
2024-01-13,5
2024-01-14,5
2024-01-15,5
2024-01-16,5
2024-01-17,5
2024-01-18,5
2024-01-19,5
2024-01-20,5
