Time,atlanta braves
2023-12-22,13
2023-12-23,11
2023-12-24,11
2023-12-25,13
2023-12-26,12
2023-12-27,12
2023-12-28,11
2023-12-29,11
2023-12-30,16
2023-12-31,14
2024-01-01,13
2024-01-02,11
2024-01-03,11
2024-01-04,11
2024-01-05,10
2024-01-06,10
2024-01-07,11
2024-01-08,9
2024-01-09,9
2024-01-10,11
2024-01-11,10
2024-01-12,11
2024-01-13,10
2024-01-14,9
2024-01-15,10
2024-01-16,9
2024-01-17,10
2024-01-18,10
2024-01-19,10
2024-01-20,11
2024-01-21,10
2024-01-22,9
2024-01-23,9
2024-01-24,10
2024-01-25,9
2024-01-26,10
2024-01-27,12
2024-01-28,11
2024-01-29,8
2024-01-30,9
2024-01-31,9
2024-02-01,9
2024-02-02,10
2024-02-03,10
2024-02-04,9
2024-02-05,9
2024-02-06,9
2024-02-07,9
2024-02-08,8
2024-02-09,8
2024-02-10,9
2024-02-11,9
2024-02-12,9
2024-02-13,11
2024-02-14,10
2024-02-15,11
2024-02-16,10
2024-02-17,12
2024-02-18,12
2024-02-19,12
2024-02-20,12
2024-02-21,12
2024-02-22,12
2024-02-23,13
2024-02-24,20
2024-02-25,22
2024-02-26,16
2024-02-27,16
2024-02-28,16
2024-02-29,14
2024-03-01,15
2024-03-02,18
2024-03-03,18
2024-03-04,14
2024-03-05,16
2024-03-06,13
2024-03-07,16
2024-03-08,15
2024-03-09,17
2024-03-10,17
2024-03-11,14
2024-03-12,14
2024-03-13,14
2024-03-14,17
2024-03-15,15
2024-03-16,17
2024-03-17,19
2024-03-18,17
2024-03-19,16
2024-03-20,17
2024-03-21,15
2024-03-22,15
2024-03-23,18
2024-03-24,21
2024-03-25,18
2024-03-26,18
2024-03-27,19
2024-03-28,32
2024-03-29,68
2024-03-30,77
2024-03-31,86
2024-04-01,61
2024-04-02,48
2024-04-03,61
2024-04-04,37
2024-04-05,43
2024-04-06,89
2024-04-07,100
2024-04-08,41
2024-04-09,65
2024-04-10,59
2024-04-11,61
2024-04-12,35
2024-04-13,71
2024-04-14,58
2024-04-15,33
2024-04-16,56
2024-04-17,68
2024-04-18,38
2024-04-19,46
2024-04-20,88
2024-04-21,83
2024-04-22,59
2024-04-23,53
2024-04-24,53
2024-04-25,53
2024-04-26,35
2024-04-27,65
2024-04-28,96
2024-04-29,35
2024-04-30,53
2024-05-01,65
2024-05-02,34
2024-05-03,33
2024-05-04,72
2024-05-05,91
2024-05-06,31
2024-05-07,34
2024-05-08,50
2024-05-09,45
2024-05-10,37
2024-05-11,77
2024-05-12,56
2024-05-13,56
2024-05-14,58
2024-05-15,49
2024-05-16,44
2024-05-17,37
2024-05-18,74
2024-05-19,94
2024-05-20,72
2024-05-21,47
2024-05-22,53
2024-05-23,58
2024-05-24,40
2024-05-25,73
2024-05-26,65
2024-05-27,67
2024-05-28,37
2024-05-29,49
2024-05-30,53
2024-05-31,51
2024-06-01,72
2024-06-02,58
2024-06-03,29
2024-06-04,33
2024-06-05,55
2024-06-06,37
2024-06-07,46
2024-06-08,58
2024-06-09,56
2024-06-10,28
2024-06-11,35
2024-06-12,46
2024-06-13,54
2024-06-14,38
2024-06-15,69
2024-06-16,65
2024-06-17,37
2024-06-18,46
2024-06-19,60
2024-06-20,32
2024-06-21,42
2024-06-22,78
2024-06-23,74
2024-06-24,37
2024-06-25,48
2024-06-26,74
2024-06-27,56
2024-06-28,38
2024-06-29,77
2024-06-30,72
2024-07-01,30
2024-07-02,35
2024-07-03,51
2024-07-04,66
2024-07-05,66
2024-07-06,79
2024-07-07,93
2024-07-08,37
2024-07-09,56
2024-07-10,58
2024-07-11,57
2024-07-12,56
2024-07-13,66
2024-07-14,71
2024-07-15,31
2024-07-16,21
2024-07-17,24
2024-07-18,24
2024-07-19,34
2024-07-20,86
2024-07-21,73
2024-07-22,36
2024-07-23,49
2024-07-24,72
2024-07-25,46
2024-07-26,56
2024-07-27,72
2024-07-28,66
2024-07-29,46
2024-07-30,67
2024-07-31,69
2024-08-01,42
2024-08-02,54
2024-08-03,67
2024-08-04,78
2024-08-05,28
2024-08-06,35
2024-08-07,47
2024-08-08,62
2024-08-09,34
2024-08-10,53
2024-08-11,80
2024-08-12,32
2024-08-13,48
2024-08-14,52
2024-08-15,70
2024-08-16,34
2024-08-17,62
2024-08-18,78
2024-08-19,36
2024-08-20,35
2024-08-21,56
2024-08-22,56
2024-08-23,60
2024-08-24,74
2024-08-25,98
2024-08-26,33
2024-08-27,68
2024-08-28,63
2024-08-29,65
2024-08-30,55
2024-08-31,68
2024-09-01,75
2024-09-02,79
2024-09-03,33
2024-09-04,52
2024-09-05,51
2024-09-06,49
2024-09-07,64
2024-09-08,81
2024-09-09,37
2024-09-10,47
2024-09-11,52
2024-09-12,45
2024-09-13,38
2024-09-14,83
2024-09-15,82
2024-09-16,59
