Time,airbnb
2025-04-15,75
2025-04-16,75
2025-04-17,69
2025-04-18,64
2025-04-19,63
2025-04-20,69
2025-04-21,77
2025-04-22,74
2025-04-23,73
2025-04-24,70
2025-04-25,65
2025-04-26,62
2025-04-27,77
2025-04-28,78
2025-04-29,74
2025-04-30,74
2025-05-01,73
2025-05-02,67
2025-05-03,68
2025-05-04,78
2025-05-05,76
2025-05-06,74
2025-05-07,75
2025-05-08,68
2025-05-09,67
2025-05-10,64
2025-05-11,66
2025-05-12,83
2025-05-13,85
2025-05-14,96
2025-05-15,82
2025-05-16,74
2025-05-17,74
2025-05-18,85
2025-05-19,93
2025-05-20,83
2025-05-21,84
2025-05-22,75
2025-05-23,76
2025-05-24,81
2025-05-25,79
2025-05-26,87
2025-05-27,89
2025-05-28,83
2025-05-29,83
2025-05-30,79
2025-05-31,75
2025-06-01,87
2025-06-02,87
2025-06-03,88
2025-06-04,84
2025-06-05,83
2025-06-06,79
2025-06-07,79
2025-06-08,89
2025-06-09,90
2025-06-10,88
2025-06-11,87
2025-06-12,84
2025-06-13,76
2025-06-14,74
2025-06-15,86
2025-06-16,91
2025-06-17,90
2025-06-18,82
2025-06-19,88
2025-06-20,87
2025-06-21,82
2025-06-22,83
2025-06-23,91
2025-06-24,93
2025-06-25,85
2025-06-26,83
2025-06-27,86
2025-06-28,85
2025-06-29,98
2025-06-30,96
2025-07-01,93
2025-07-02,90
2025-07-03,89
2025-07-04,85
2025-07-05,80
2025-07-06,100
2025-07-07,98
2025-07-08,93
2025-07-09,91
2025-07-10,86
2025-07-11,83
2025-07-12,81
2025-07-13,89
2025-07-14,96
2025-07-15,96
2025-07-16,87
2025-07-17,93
2025-07-18,85
2025-07-19,85
2025-07-20,95
2025-07-21,100
2025-07-22,92
2025-07-23,94
2025-07-24,88
2025-07-25,81
2025-07-26,81
2025-07-27,88
2025-07-28,89
2025-07-29,92
2025-07-30,91
2025-07-31,89
2025-08-01,80
2025-08-02,76
2025-08-03,85
2025-08-04,85
2025-08-05,83
2025-08-06,80
2025-08-07,82
2025-08-08,75
2025-08-09,76
2025-08-10,86
2025-08-11,84
2025-08-12,76
2025-08-13,71
2025-08-14,75
2025-08-15,72
2025-08-16,69
2025-08-17,79
2025-08-18,78
2025-08-19,74
2025-08-20,68
2025-08-21,70
2025-08-22,65
2025-08-23,64
2025-08-24,73
2025-08-25,78
2025-08-26,68
2025-08-27,66
2025-08-28,71
2025-08-29,64
2025-08-30,62
2025-08-31,66
2025-09-01,75
2025-09-02,68
2025-09-03,66
2025-09-04,62
2025-09-05,58
2025-09-06,59
2025-09-07,63
2025-09-08,67
2025-09-09,65
2025-09-10,58
2025-09-11,54
2025-09-12,53
2025-09-13,52
2025-09-14,59
2025-09-15,63
2025-09-16,63
2025-09-17,61
2025-09-18,60
2025-09-19,60
2025-09-20,60
2025-09-21,60
2025-09-22,66
2025-09-23,64
2025-09-24,64
2025-09-25,59
2025-09-26,62
2025-09-27,56
2025-09-28,67
2025-09-29,66
2025-09-30,65
2025-10-01,65
2025-10-02,62
2025-10-03,59
2025-10-04,47
2025-10-05,60
2025-10-06,64
2025-10-07,70
2025-10-08,63
2025-10-09,62
2025-10-10,58
2025-10-11,51
2025-10-12,57
2025-10-13,67
2025-10-14,65
2025-10-15,59
2025-10-16,62
2025-10-17,55
2025-10-18,56
2025-10-19,60
2025-10-20,60
2025-10-21,61
2025-10-22,58
2025-10-23,55
2025-10-24,52
2025-10-25,48
2025-10-26,60
2025-10-27,61
2025-10-28,60
2025-10-29,56
2025-10-30,55
2025-10-31,47
2025-11-01,49
2025-11-02,64
2025-11-03,67
2025-11-04,62
2025-11-05,62
2025-11-06,63
2025-11-07,63
2025-11-08,59
2025-11-09,60
2025-11-10,62
2025-11-11,64
2025-11-12,62
2025-11-13,60
2025-11-14,58
2025-11-15,54
2025-11-16,65
2025-11-17,62
2025-11-18,61
2025-11-19,59
2025-11-20,57
2025-11-21,49
2025-11-22,46
2025-11-23,55
2025-11-24,59
2025-11-25,59
2025-11-26,51
2025-11-27,47
2025-11-28,49
2025-11-29,50
2025-11-30,66
2025-12-01,65
2025-12-02,63
2025-12-03,61
2025-12-04,59
2025-12-05,52
2025-12-06,52
2025-12-07,59
2025-12-08,62
2025-12-09,60
2025-12-10,58
2025-12-11,57
2025-12-12,54
2025-12-13,54
2025-12-14,59
2025-12-15,62
2025-12-16,58
2025-12-17,59
2025-12-18,56
2025-12-19,52
2025-12-20,53
2025-12-21,59
2025-12-22,61
2025-12-23,62
2025-12-24,53
2025-12-25,50
2025-12-26,70
2025-12-27,76
2025-12-28,79
2025-12-29,79
2025-12-30,75
2025-12-31,69
2026-01-01,68
2026-01-02,76
2026-01-03,78
2026-01-04,81
2026-01-05,79
2026-01-06,81
2026-01-07,76
2026-01-08,74
2026-01-09,72
