Time,hurricane
2025-12-11,55
2025-12-12,54
2025-12-13,51
2025-12-14,44
2025-12-15,53
2025-12-16,53
2025-12-17,54
2025-12-18,56
2025-12-19,53
2025-12-20,56
2025-12-21,45
2025-12-22,42
2025-12-23,42
2025-12-24,43
2025-12-25,41
2025-12-26,45
2025-12-27,49
2025-12-28,50
2025-12-29,50
2025-12-30,48
2025-12-31,51
2026-01-01,64
2026-01-02,48
2026-01-03,50
2026-01-04,47
2026-01-05,44
2026-01-06,53
2026-01-07,56
2026-01-08,63
2026-01-09,74
2026-01-10,57
2026-01-11,51
2026-01-12,58
2026-01-13,56
2026-01-14,60
2026-01-15,58
2026-01-16,57
2026-01-17,53
2026-01-18,58
2026-01-19,61
2026-01-20,77
2026-01-21,68
2026-01-22,68
2026-01-23,64
2026-01-24,73
2026-01-25,65
2026-01-26,61
2026-01-27,56
2026-01-28,58
2026-01-29,65
2026-01-30,63
2026-01-31,68
2026-02-01,72
2026-02-02,61
2026-02-03,63
2026-02-04,66
2026-02-05,71
2026-02-06,67
2026-02-07,67
2026-02-08,66
2026-02-09,66
2026-02-10,65
2026-02-11,63
2026-02-12,58
2026-02-13,63
2026-02-14,60
2026-02-15,68
2026-02-16,79
2026-02-17,71
2026-02-18,64
2026-02-19,66
2026-02-20,69
2026-02-21,63
2026-02-22,69
2026-02-23,71
2026-02-24,67
2026-02-25,77
2026-02-26,89
2026-02-27,88
2026-02-28,74
2026-03-01,73
2026-03-02,78
2026-03-03,78
2026-03-04,69
2026-03-05,73
2026-03-06,68
2026-03-07,67
2026-03-08,68
2026-03-09,67
2026-03-10,66
2026-03-11,67
2026-03-12,75
2026-03-13,67
2026-03-14,67
2026-03-15,73
2026-03-16,76
2026-03-17,66
2026-03-18,63
2026-03-19,63
2026-03-20,73
2026-03-21,72
2026-03-22,64
2026-03-23,71
2026-03-24,67
2026-03-25,82
2026-03-26,72
2026-03-27,66
2026-03-28,69
2026-03-29,70
2026-03-30,64
2026-03-31,71
2026-04-01,73
2026-04-02,72
2026-04-03,91
2026-04-04,76
2026-04-05,70
2026-04-06,76
2026-04-07,70
2026-04-08,74
2026-04-09,71
2026-04-10,76
2026-04-11,100
2026-04-12,83
2026-04-13,84
2026-04-14,79
2026-04-15,83
2026-04-16,79
2026-04-17,78
2026-04-18,76
2026-04-19,73
2026-04-20,78
2026-04-21,78
2026-04-22,72
2026-04-23,73
2026-04-24,75
2026-04-25,76
2026-04-26,79
2026-04-27,78
2026-04-28,72
2026-04-29,69
2026-04-30,71
2026-05-01,70
2026-05-02,76
2026-05-03,73
2026-05-04,75
2026-05-05,71
2026-05-06,75
2026-05-07,77
2026-05-08,72
2026-05-09,70
2026-05-10,71
2026-05-11,75
2026-05-12,75
2026-05-13,80
2026-05-14,78
2026-05-15,74
2026-05-16,80
2026-05-17,78
2026-05-18,82
2026-05-19,72
2026-05-20,83
2026-05-21,81
2026-05-22,86
2026-05-23,81
2026-05-24,89
2026-05-25,93
2026-05-26,75
2026-05-27,76
2026-05-28,90
2026-05-29,84
2026-05-30,95
2026-05-31,96
