Time,krill
2023-12-22,42
2023-12-23,41
2023-12-24,39
2023-12-25,35
2023-12-26,43
2023-12-27,43
2023-12-28,42
2023-12-29,42
2023-12-30,52
2023-12-31,48
2024-01-01,40
2024-01-02,46
2024-01-03,45
2024-01-04,50
2024-01-05,55
2024-01-06,53
2024-01-07,47
2024-01-08,55
2024-01-09,46
2024-01-10,45
2024-01-11,69
2024-01-12,49
2024-01-13,47
2024-01-14,41
2024-01-15,39
2024-01-16,45
2024-01-17,58
2024-01-18,57
2024-01-19,50
2024-01-20,41
2024-01-21,45
2024-01-22,54
2024-01-23,57
2024-01-24,66
2024-01-25,66
2024-01-26,53
2024-01-27,51
2024-01-28,45
2024-01-29,58
2024-01-30,55
2024-01-31,56
2024-02-01,62
2024-02-02,61
2024-02-03,56
2024-02-04,52
2024-02-05,57
2024-02-06,70
2024-02-07,59
2024-02-08,59
2024-02-09,50
2024-02-10,52
2024-02-11,57
2024-02-12,44
2024-02-13,58
2024-02-14,66
2024-02-15,54
2024-02-16,52
2024-02-17,55
2024-02-18,51
2024-02-19,52
2024-02-20,57
2024-02-21,60
2024-02-22,61
2024-02-23,57
2024-02-24,51
2024-02-25,59
2024-02-26,60
2024-02-27,57
2024-02-28,62
2024-02-29,65
2024-03-01,61
2024-03-02,47
2024-03-03,54
2024-03-04,57
2024-03-05,54
2024-03-06,64
2024-03-07,63
2024-03-08,58
2024-03-09,53
2024-03-10,59
2024-03-11,61
2024-03-12,60
2024-03-13,63
2024-03-14,60
2024-03-15,62
2024-03-16,53
2024-03-17,53
2024-03-18,64
2024-03-19,67
2024-03-20,69
2024-03-21,61
2024-03-22,63
2024-03-23,54
2024-03-24,47
2024-03-25,56
2024-03-26,63
2024-03-27,63
2024-03-28,60
2024-03-29,44
2024-03-30,42
2024-03-31,45
2024-04-01,50
2024-04-02,59
2024-04-03,58
2024-04-04,62
2024-04-05,54
2024-04-06,49
2024-04-07,56
2024-04-08,57
2024-04-09,100
2024-04-10,76
2024-04-11,64
2024-04-12,67
2024-04-13,54
2024-04-14,56
2024-04-15,59
2024-04-16,53
2024-04-17,64
2024-04-18,61
2024-04-19,54
2024-04-20,51
2024-04-21,50
2024-04-22,65
2024-04-23,62
2024-04-24,65
2024-04-25,60
2024-04-26,53
2024-04-27,54
2024-04-28,55
2024-04-29,62
2024-04-30,64
2024-05-01,55
2024-05-02,67
2024-05-03,59
2024-05-04,52
2024-05-05,55
2024-05-06,62
2024-05-07,58
2024-05-08,57
2024-05-09,65
2024-05-10,56
2024-05-11,37
2024-05-12,40
2024-05-13,64
2024-05-14,63
2024-05-15,64
2024-05-16,67
2024-05-17,64
2024-05-18,49
2024-05-19,53
2024-05-20,56
2024-05-21,55
2024-05-22,72
2024-05-23,75
2024-05-24,67
2024-05-25,57
2024-05-26,62
2024-05-27,42
2024-05-28,57
2024-05-29,55
2024-05-30,48
2024-05-31,53
2024-06-01,49
2024-06-02,49
2024-06-03,47
2024-06-04,51
2024-06-05,51
2024-06-06,49
2024-06-07,56
2024-06-08,41
2024-06-09,41
2024-06-10,43
2024-06-11,43
2024-06-12,45
2024-06-13,47
2024-06-14,43
2024-06-15,42
2024-06-16,48
2024-06-17,46
2024-06-18,41
2024-06-19,46
2024-06-20,43
2024-06-21,37
2024-06-22,36
2024-06-23,48
2024-06-24,44
2024-06-25,54
2024-06-26,42
2024-06-27,40
2024-06-28,41
2024-06-29,44
2024-06-30,43
2024-07-01,46
2024-07-02,43
2024-07-03,45
2024-07-04,41
2024-07-05,45
2024-07-06,48
2024-07-07,43
2024-07-08,41
2024-07-09,47
2024-07-10,43
2024-07-11,41
2024-07-12,40
2024-07-13,31
2024-07-14,35
2024-07-15,39
2024-07-16,39
2024-07-17,37
2024-07-18,39
2024-07-19,39
2024-07-20,38
2024-07-21,32
2024-07-22,42
2024-07-23,43
2024-07-24,48
2024-07-25,43
2024-07-26,40
2024-07-27,42
2024-07-28,30
2024-07-29,36
2024-07-30,48
2024-07-31,40
2024-08-01,38
2024-08-02,38
2024-08-03,41
2024-08-04,43
2024-08-05,38
2024-08-06,40
2024-08-07,48
2024-08-08,34
2024-08-09,36
2024-08-10,44
2024-08-11,44
2024-08-12,36
2024-08-13,49
2024-08-14,38
2024-08-15,40
2024-08-16,40
2024-08-17,41
2024-08-18,43
2024-08-19,38
2024-08-20,47
2024-08-21,48
2024-08-22,40
2024-08-23,43
2024-08-24,44
2024-08-25,40
2024-08-26,49
2024-08-27,57
2024-08-28,51
2024-08-29,62
2024-08-30,51
2024-08-31,46
2024-09-01,54
2024-09-02,53
2024-09-03,48
2024-09-04,39
2024-09-05,42
2024-09-06,40
2024-09-07,42
2024-09-08,54
2024-09-09,46
2024-09-10,52
2024-09-11,51
2024-09-12,47
2024-09-13,44
2024-09-14,58
2024-09-15,42
2024-09-16,57
