Time,krill
2023-04-26,93
2023-04-27,87
2023-04-28,79
2023-04-29,72
2023-04-30,74
2023-05-01,95
2023-05-02,81
2023-05-03,82
2023-05-04,85
2023-05-05,84
2023-05-06,66
2023-05-07,72
2023-05-08,85
2023-05-09,88
2023-05-10,94
2023-05-11,89
2023-05-12,84
2023-05-13,83
2023-05-14,67
2023-05-15,88
2023-05-16,87
2023-05-17,90
2023-05-18,84
2023-05-19,81
2023-05-20,76
2023-05-21,62
2023-05-22,90
2023-05-23,84
2023-05-24,86
2023-05-25,72
2023-05-26,77
2023-05-27,83
2023-05-28,87
2023-05-29,67
2023-05-30,84
2023-05-31,76
2023-06-01,69
2023-06-02,64
2023-06-03,71
2023-06-04,77
2023-06-05,85
2023-06-06,79
2023-06-07,73
2023-06-08,78
2023-06-09,73
2023-06-10,72
2023-06-11,65
2023-06-12,75
2023-06-13,79
2023-06-14,70
2023-06-15,78
2023-06-16,70
2023-06-17,75
2023-06-18,67
2023-06-19,85
2023-06-20,69
2023-06-21,79
2023-06-22,77
2023-06-23,77
2023-06-24,87
2023-06-25,89
2023-06-26,72
2023-06-27,93
2023-06-28,69
2023-06-29,65
2023-06-30,72
2023-07-01,87
2023-07-02,88
2023-07-03,68
2023-07-04,90
2023-07-05,65
2023-07-06,92
2023-07-07,81
2023-07-08,100
2023-07-09,80
2023-07-10,63
2023-07-11,70
2023-07-12,92
2023-07-13,71
2023-07-14,83
2023-07-15,71
2023-07-16,66
2023-07-17,74
2023-07-18,73
2023-07-19,70
2023-07-20,57
2023-07-21,71
2023-07-22,57
2023-07-23,85
2023-07-24,78
2023-07-25,58
2023-07-26,64
2023-07-27,62
2023-07-28,72
2023-07-29,75
2023-07-30,73
2023-07-31,62
2023-08-01,61
2023-08-02,58
2023-08-03,71
2023-08-04,68
2023-08-05,86
2023-08-06,74
2023-08-07,67
2023-08-08,71
2023-08-09,70
2023-08-10,68
2023-08-11,82
2023-08-12,76
2023-08-13,79
2023-08-14,61
2023-08-15,67
2023-08-16,60
2023-08-17,63
2023-08-18,72
2023-08-19,79
2023-08-20,66
2023-08-21,61
2023-08-22,70
2023-08-23,72
2023-08-24,64
2023-08-25,62
2023-08-26,79
2023-08-27,67
2023-08-28,63
2023-08-29,70
2023-08-30,61
2023-08-31,67
2023-09-01,62
2023-09-02,69
2023-09-03,65
2023-09-04,61
2023-09-05,71
2023-09-06,80
2023-09-07,63
2023-09-08,75
2023-09-09,82
2023-09-10,61
2023-09-11,64
2023-09-12,71
2023-09-13,73
2023-09-14,76
2023-09-15,64
2023-09-16,76
2023-09-17,72
2023-09-18,64
2023-09-19,74
2023-09-20,73
2023-09-21,65
2023-09-22,66
2023-09-23,72
2023-09-24,58
2023-09-25,68
2023-09-26,79
2023-09-27,72
2023-09-28,63
2023-09-29,70
2023-09-30,67
2023-10-01,66
2023-10-02,75
2023-10-03,75
2023-10-04,79
2023-10-05,76
2023-10-06,72
2023-10-07,69
2023-10-08,55
2023-10-09,62
2023-10-10,66
2023-10-11,80
2023-10-12,71
2023-10-13,71
2023-10-14,74
2023-10-15,71
2023-10-16,79
2023-10-17,75
2023-10-18,63
2023-10-19,81
2023-10-20,63
2023-10-21,66
2023-10-22,59
2023-10-23,71
2023-10-24,71
2023-10-25,73
2023-10-26,70
2023-10-27,64
2023-10-28,51
2023-10-29,49
2023-10-30,59
2023-10-31,75
2023-11-01,82
2023-11-02,82
2023-11-03,62
2023-11-04,63
2023-11-05,59
2023-11-06,70
2023-11-07,72
2023-11-08,75
2023-11-09,61
2023-11-10,65
2023-11-11,58
2023-11-12,66
2023-11-13,84
2023-11-14,85
2023-11-15,83
2023-11-16,72
2023-11-17,67
2023-11-18,66
2023-11-19,62
2023-11-20,68
2023-11-21,64
2023-11-22,55
2023-11-23,61
2023-11-24,66
2023-11-25,66
2023-11-26,64
2023-11-27,78
2023-11-28,89
2023-11-29,79
2023-11-30,66
2023-12-01,72
2023-12-02,65
2023-12-03,63
2023-12-04,77
2023-12-05,74
2023-12-06,70
2023-12-07,83
2023-12-08,74
2023-12-09,52
2023-12-10,63
2023-12-11,75
2023-12-12,79
2023-12-13,72
2023-12-14,73
2023-12-15,57
2023-12-16,61
2023-12-17,60
2023-12-18,65
2023-12-19,63
2023-12-20,62
2023-12-21,55
2023-12-22,56
2023-12-23,55
2023-12-24,53
2023-12-25,47
2023-12-26,58
2023-12-27,58
2023-12-28,56
2023-12-29,56
2023-12-30,70
2023-12-31,65
2024-01-01,54
2024-01-02,62
2024-01-03,60
2024-01-04,67
2024-01-05,74
2024-01-06,72
2024-01-07,63
2024-01-08,74
2024-01-09,62
2024-01-10,61
2024-01-11,93
2024-01-12,66
2024-01-13,63
2024-01-14,56
2024-01-15,52
2024-01-16,61
2024-01-17,79
2024-01-18,76
2024-01-19,67
2024-01-20,56
