Time,arsenal
2023-12-22,12
2023-12-23,70
2023-12-24,17
2023-12-25,11
2023-12-26,14
2023-12-27,13
2023-12-28,49
2023-12-29,19
2023-12-30,13
2023-12-31,39
2024-01-01,12
2024-01-02,10
2024-01-03,10
2024-01-04,10
2024-01-05,11
2024-01-06,14
2024-01-07,67
2024-01-08,13
2024-01-09,9
2024-01-10,9
2024-01-11,10
2024-01-12,9
2024-01-13,12
2024-01-14,12
2024-01-15,8
2024-01-16,8
2024-01-17,9
2024-01-18,9
2024-01-19,9
2024-01-20,34
2024-01-21,12
2024-01-22,8
2024-01-23,9
2024-01-24,10
2024-01-25,8
2024-01-26,9
2024-01-27,11
2024-01-28,12
2024-01-29,9
2024-01-30,32
2024-01-31,13
2024-02-01,10
2024-02-02,10
2024-02-03,13
2024-02-04,78
2024-02-05,15
2024-02-06,9
2024-02-07,9
2024-02-08,8
2024-02-09,9
2024-02-10,13
2024-02-11,48
2024-02-12,11
2024-02-13,10
2024-02-14,11
2024-02-15,10
2024-02-16,11
2024-02-17,40
2024-02-18,14
2024-02-19,10
2024-02-20,13
2024-02-21,51
2024-02-22,19
2024-02-23,13
2024-02-24,52
2024-02-25,21
2024-02-26,14
2024-02-27,11
2024-02-28,10
2024-02-29,10
2024-03-01,9
2024-03-02,13
2024-03-03,14
2024-03-04,53
2024-03-05,19
2024-03-06,12
2024-03-07,11
2024-03-08,11
2024-03-09,52
2024-03-10,24
2024-03-11,15
2024-03-12,89
2024-03-13,24
2024-03-14,12
2024-03-15,21
2024-03-16,18
2024-03-17,14
2024-03-18,11
2024-03-19,9
2024-03-20,9
2024-03-21,9
2024-03-22,8
2024-03-23,9
2024-03-24,11
2024-03-25,9
2024-03-26,9
2024-03-27,9
2024-03-28,10
2024-03-29,12
2024-03-30,17
2024-03-31,92
2024-04-01,17
2024-04-02,12
2024-04-03,38
2024-04-04,15
2024-04-05,12
2024-04-06,52
2024-04-07,22
2024-04-08,14
2024-04-09,100
2024-04-10,21
2024-04-11,13
2024-04-12,12
2024-04-13,17
2024-04-14,74
2024-04-15,16
2024-04-16,17
2024-04-17,100
2024-04-18,19
2024-04-19,11
2024-04-20,50
2024-04-21,18
2024-04-22,13
2024-04-23,78
2024-04-24,22
2024-04-25,14
2024-04-26,12
2024-04-27,17
2024-04-28,67
2024-04-29,15
2024-04-30,11
2024-05-01,10
2024-05-02,10
2024-05-03,11
2024-05-04,38
2024-05-05,15
2024-05-06,10
2024-05-07,9
2024-05-08,9
2024-05-09,9
2024-05-10,11
2024-05-11,19
2024-05-12,81
2024-05-13,17
2024-05-14,19
2024-05-15,14
2024-05-16,12
2024-05-17,12
2024-05-18,18
2024-05-19,86
2024-05-20,15
2024-05-21,9
2024-05-22,9
2024-05-23,8
2024-05-24,9
2024-05-25,10
2024-05-26,10
2024-05-27,9
2024-05-28,8
2024-05-29,8
2024-05-30,8
2024-05-31,8
2024-06-01,8
2024-06-02,9
2024-06-03,8
2024-06-04,8
2024-06-05,8
2024-06-06,8
2024-06-07,7
2024-06-08,7
2024-06-09,7
2024-06-10,8
2024-06-11,8
2024-06-12,6
2024-06-13,8
2024-06-14,7
2024-06-15,7
2024-06-16,8
2024-06-17,7
2024-06-18,9
2024-06-19,8
2024-06-20,8
2024-06-21,8
2024-06-22,7
2024-06-23,8
2024-06-24,8
2024-06-25,8
2024-06-26,7
2024-06-27,7
2024-06-28,8
2024-06-29,7
2024-06-30,7
2024-07-01,8
2024-07-02,8
2024-07-03,8
2024-07-04,9
2024-07-05,9
2024-07-06,9
2024-07-07,9
2024-07-08,9
2024-07-09,8
2024-07-10,9
2024-07-11,8
2024-07-12,9
2024-07-13,8
2024-07-14,9
2024-07-15,9
2024-07-16,9
2024-07-17,9
2024-07-18,10
2024-07-19,10
2024-07-20,10
2024-07-21,11
2024-07-22,10
2024-07-23,11
2024-07-24,15
2024-07-25,31
2024-07-26,12
2024-07-27,26
2024-07-28,51
2024-07-29,13
2024-07-30,13
2024-07-31,27
2024-08-01,34
2024-08-02,11
2024-08-03,11
2024-08-04,10
2024-08-05,9
2024-08-06,10
2024-08-07,32
2024-08-08,12
2024-08-09,10
2024-08-10,12
2024-08-11,25
2024-08-12,12
2024-08-13,11
2024-08-14,11
2024-08-15,11
2024-08-16,14
2024-08-17,48
2024-08-18,17
2024-08-19,11
2024-08-20,11
2024-08-21,11
2024-08-22,11
2024-08-23,12
2024-08-24,57
2024-08-25,19
2024-08-26,12
2024-08-27,12
2024-08-28,13
2024-08-29,14
2024-08-30,18
2024-08-31,53
2024-09-01,13
2024-09-02,9
2024-09-03,8
2024-09-04,9
2024-09-05,7
2024-09-06,8
2024-09-07,10
2024-09-08,8
2024-09-09,8
2024-09-10,8
2024-09-11,8
2024-09-12,9
2024-09-13,9
2024-09-14,15
2024-09-15,60
2024-09-16,12
