Time,stephen curry
2023-04-26,16
2023-04-27,34
2023-04-28,21
2023-04-29,39
2023-04-30,100
2023-05-01,79
2023-05-02,39
2023-05-03,66
2023-05-04,30
2023-05-05,59
2023-05-06,30
2023-05-07,51
2023-05-08,27
2023-05-09,56
2023-05-10,26
2023-05-11,51
2023-05-12,25
2023-05-13,86
2023-05-14,26
2023-05-15,19
2023-05-16,17
2023-05-17,16
2023-05-18,13
2023-05-19,15
2023-05-20,12
2023-05-21,16
2023-05-22,12
2023-05-23,17
2023-05-24,16
2023-05-25,10
2023-05-26,10
2023-05-27,9
2023-05-28,12
2023-05-29,11
2023-05-30,12
2023-05-31,10
2023-06-01,10
2023-06-02,11
2023-06-03,9
2023-06-04,11
2023-06-05,10
2023-06-06,8
2023-06-07,8
2023-06-08,10
2023-06-09,9
2023-06-10,10
2023-06-11,9
2023-06-12,8
2023-06-13,11
2023-06-14,9
2023-06-15,11
2023-06-16,12
2023-06-17,15
2023-06-18,12
2023-06-19,11
2023-06-20,9
2023-06-21,9
2023-06-22,12
2023-06-23,13
2023-06-24,10
2023-06-25,11
2023-06-26,10
2023-06-27,12
2023-06-28,9
2023-06-29,11
2023-06-30,15
2023-07-01,18
2023-07-02,12
2023-07-03,10
2023-07-04,9
2023-07-05,7
2023-07-06,8
2023-07-07,8
2023-07-08,11
2023-07-09,12
2023-07-10,9
2023-07-11,10
2023-07-12,9
2023-07-13,8
2023-07-14,10
2023-07-15,20
2023-07-16,19
2023-07-17,16
2023-07-18,14
2023-07-19,11
2023-07-20,11
2023-07-21,17
2023-07-22,22
2023-07-23,20
2023-07-24,16
2023-07-25,15
2023-07-26,14
2023-07-27,14
2023-07-28,16
2023-07-29,17
2023-07-30,15
2023-07-31,12
2023-08-01,9
2023-08-02,10
2023-08-03,10
2023-08-04,9
2023-08-05,11
2023-08-06,11
2023-08-07,10
2023-08-08,10
2023-08-09,11
2023-08-10,11
2023-08-11,8
2023-08-12,8
2023-08-13,10
2023-08-14,7
2023-08-15,8
2023-08-16,7
2023-08-17,8
2023-08-18,6
2023-08-19,8
2023-08-20,7
2023-08-21,8
2023-08-22,10
2023-08-23,9
2023-08-24,8
2023-08-25,8
2023-08-26,8
2023-08-27,7
2023-08-28,6
2023-08-29,7
2023-08-30,6
2023-08-31,6
2023-09-01,12
2023-09-02,10
2023-09-03,8
2023-09-04,7
2023-09-05,6
2023-09-06,7
2023-09-07,8
2023-09-08,7
2023-09-09,6
2023-09-10,6
2023-09-11,8
2023-09-12,8
2023-09-13,8
2023-09-14,7
2023-09-15,7
2023-09-16,7
2023-09-17,7
2023-09-18,6
2023-09-19,6
2023-09-20,5
2023-09-21,7
2023-09-22,6
2023-09-23,6
2023-09-24,6
2023-09-25,6
2023-09-26,7
2023-09-27,6
2023-09-28,8
2023-09-29,7
2023-09-30,6
2023-10-01,6
2023-10-02,6
2023-10-03,7
2023-10-04,7
2023-10-05,7
2023-10-06,6
2023-10-07,8
2023-10-08,11
2023-10-09,7
2023-10-10,6
2023-10-11,6
2023-10-12,7
2023-10-13,7
2023-10-14,9
2023-10-15,8
2023-10-16,10
2023-10-17,7
2023-10-18,7
2023-10-19,11
2023-10-20,9
2023-10-21,11
2023-10-22,11
2023-10-23,12
2023-10-24,16
2023-10-25,28
2023-10-26,12
2023-10-27,13
2023-10-28,27
2023-10-29,16
2023-10-30,23
2023-10-31,28
2023-11-01,16
2023-11-02,23
2023-11-03,18
2023-11-04,27
2023-11-05,19
2023-11-06,20
2023-11-07,20
2023-11-08,15
2023-11-09,24
2023-11-10,9
2023-11-11,16
2023-11-12,22
2023-11-13,21
2023-11-14,16
2023-11-15,26
2023-11-16,16
2023-11-17,18
2023-11-18,21
2023-11-19,22
2023-11-20,15
2023-11-21,20
2023-11-22,13
2023-11-23,27
2023-11-24,13
2023-11-25,24
2023-11-26,10
2023-11-27,10
2023-11-28,13
2023-11-29,22
2023-11-30,13
2023-12-01,17
2023-12-02,20
2023-12-03,11
2023-12-04,8
2023-12-05,7
2023-12-06,14
2023-12-07,18
2023-12-08,17
2023-12-09,19
2023-12-10,11
2023-12-11,8
2023-12-12,16
2023-12-13,24
2023-12-14,17
2023-12-15,22
2023-12-16,16
2023-12-17,26
2023-12-18,35
2023-12-19,19
2023-12-20,36
2023-12-21,14
2023-12-22,15
2023-12-23,30
2023-12-24,19
2023-12-25,38
2023-12-26,13
2023-12-27,9
2023-12-28,13
2023-12-29,25
2023-12-30,13
2023-12-31,20
2024-01-01,9
2024-01-02,17
2024-01-03,29
2024-01-04,25
2024-01-05,30
2024-01-06,23
2024-01-07,15
2024-01-08,24
2024-01-09,11
2024-01-10,12
2024-01-11,23
2024-01-12,14
2024-01-13,21
2024-01-14,15
2024-01-15,11
2024-01-16,13
2024-01-17,10
2024-01-18,10
2024-01-19,9
2024-01-20,10
