Time,google calendar
2022-08-29,99
2022-08-30,100
2022-08-31,89
2022-09-01,80
2022-09-02,64
2022-09-03,28
2022-09-04,34
2022-09-05,50
2022-09-06,92
2022-09-07,94
2022-09-08,79
2022-09-09,67
2022-09-10,33
2022-09-11,40
2022-09-12,90
2022-09-13,90
2022-09-14,86
2022-09-15,75
2022-09-16,69
2022-09-17,28
2022-09-18,39
2022-09-19,84
2022-09-20,83
2022-09-21,79
2022-09-22,76
2022-09-23,63
2022-09-24,29
2022-09-25,35
2022-09-26,85
2022-09-27,75
2022-09-28,76
2022-09-29,77
2022-09-30,60
2022-10-01,28
2022-10-02,35
2022-10-03,82
2022-10-04,75
2022-10-05,72
2022-10-06,73
2022-10-07,62
2022-10-08,28
2022-10-09,30
2022-10-10,88
2022-10-11,76
2022-10-12,70
2022-10-13,74
2022-10-14,58
2022-10-15,25
2022-10-16,29
2022-10-17,77
2022-10-18,70
2022-10-19,68
2022-10-20,66
2022-10-21,59
2022-10-22,25
2022-10-23,32
2022-10-24,75
2022-10-25,71
2022-10-26,69
2022-10-27,65
2022-10-28,57
2022-10-29,25
2022-10-30,29
2022-10-31,71
2022-11-01,75
2022-11-02,76
2022-11-03,72
2022-11-04,60
2022-11-05,28
2022-11-06,32
2022-11-07,73
2022-11-08,67
2022-11-09,65
2022-11-10,65
2022-11-11,50
2022-11-12,24
2022-11-13,30
2022-11-14,79
2022-11-15,73
2022-11-16,69
2022-11-17,72
2022-11-18,57
2022-11-19,26
2022-11-20,29
2022-11-21,64
2022-11-22,57
2022-11-23,40
2022-11-24,16
2022-11-25,25
2022-11-26,23
2022-11-27,33
2022-11-28,71
2022-11-29,68
2022-11-30,64
2022-12-01,68
2022-12-02,55
2022-12-03,25
2022-12-04,29
2022-12-05,75
2022-12-06,67
2022-12-07,60
2022-12-08,63
2022-12-09,51
2022-12-10,25
2022-12-11,27
2022-12-12,65
2022-12-13,61
2022-12-14,57
2022-12-15,56
2022-12-16,46
2022-12-17,25
2022-12-18,21
2022-12-19,56
2022-12-20,52
2022-12-21,48
2022-12-22,37
2022-12-23,28
2022-12-24,19
2022-12-25,16
2022-12-26,27
2022-12-27,44
2022-12-28,45
2022-12-29,42
2022-12-30,35
2022-12-31,24
2023-01-01,27
2023-01-02,55
2023-01-03,77
2023-01-04,70
2023-01-05,64
2023-01-06,66
2023-01-07,32
2023-01-08,41
2023-01-09,88
2023-01-10,83
2023-01-11,78
2023-01-12,71
2023-01-13,65
2023-01-14,29
2023-01-15,32
2023-01-16,58
2023-01-17,87
2023-01-18,81
2023-01-19,75
2023-01-20,67
2023-01-21,34
2023-01-22,36
2023-01-23,80
2023-01-24,76
2023-01-25,73
2023-01-26,74
2023-01-27,64
2023-01-28,29
2023-01-29,34
2023-01-30,79
2023-01-31,73
2023-02-01,71
2023-02-02,75
2023-02-03,62
2023-02-04,30
2023-02-05,36
2023-02-06,72
2023-02-07,73
2023-02-08,71
2023-02-09,66
2023-02-10,61
2023-02-11,28
2023-02-12,30
2023-02-13,67
2023-02-14,66
2023-02-15,73
2023-02-16,66
2023-02-17,62
2023-02-18,30
2023-02-19,31
2023-02-20,59
2023-02-21,75
2023-02-22,73
2023-02-23,61
2023-02-24,58
2023-02-25,29
2023-02-26,32
2023-02-27,72
2023-02-28,69
2023-03-01,67
2023-03-02,65
2023-03-03,55
2023-03-04,28
2023-03-05,30
2023-03-06,68
2023-03-07,71
2023-03-08,64
2023-03-09,66
2023-03-10,52
2023-03-11,25
2023-03-12,29
2023-03-13,67
2023-03-14,62
2023-03-15,61
2023-03-16,59
2023-03-17,50
2023-03-18,26
2023-03-19,32
2023-03-20,77
2023-03-21,67
2023-03-22,63
2023-03-23,62
2023-03-24,54
2023-03-25,28
2023-03-26,29
2023-03-27,71
2023-03-28,66
2023-03-29,62
2023-03-30,62
2023-03-31,52
2023-04-01,26
2023-04-02,31
2023-04-03,69
2023-04-04,69
2023-04-05,61
2023-04-06,60
2023-04-07,47
2023-04-08,25
2023-04-09,24
2023-04-10,67
2023-04-11,79
2023-04-12,67
2023-04-13,63
2023-04-14,54
2023-04-15,27
2023-04-16,31
2023-04-17,70
2023-04-18,66
2023-04-19,67
2023-04-20,62
2023-04-21,52
2023-04-22,27
2023-04-23,33
2023-04-24,72
2023-04-25,69
2023-04-26,74
2023-04-27,61
2023-04-28,49
2023-04-29,27
2023-04-30,33
2023-05-01,69
2023-05-02,68
2023-05-03,62
2023-05-04,60
2023-05-05,52
2023-05-06,25
2023-05-07,29
2023-05-08,69
2023-05-09,63
2023-05-10,65
2023-05-11,61
2023-05-12,52
2023-05-13,25
2023-05-14,22
2023-05-15,71
2023-05-16,69
2023-05-17,65
2023-05-18,59
2023-05-19,52
2023-05-20,27
2023-05-21,28
2023-05-22,67
2023-05-23,67
2023-05-24,64
2023-05-25,60
