Time,google calendar
2023-04-26,87
2023-04-27,72
2023-04-28,59
2023-04-29,33
2023-04-30,39
2023-05-01,83
2023-05-02,81
2023-05-03,73
2023-05-04,71
2023-05-05,61
2023-05-06,29
2023-05-07,35
2023-05-08,82
2023-05-09,75
2023-05-10,77
2023-05-11,72
2023-05-12,62
2023-05-13,30
2023-05-14,26
2023-05-15,84
2023-05-16,83
2023-05-17,78
2023-05-18,70
2023-05-19,62
2023-05-20,33
2023-05-21,33
2023-05-22,79
2023-05-23,80
2023-05-24,77
2023-05-25,71
2023-05-26,56
2023-05-27,30
2023-05-28,27
2023-05-29,35
2023-05-30,82
2023-05-31,75
2023-06-01,72
2023-06-02,62
2023-06-03,31
2023-06-04,35
2023-06-05,87
2023-06-06,79
2023-06-07,69
2023-06-08,65
2023-06-09,57
2023-06-10,29
2023-06-11,29
2023-06-12,78
2023-06-13,68
2023-06-14,75
2023-06-15,64
2023-06-16,57
2023-06-17,26
2023-06-18,25
2023-06-19,58
2023-06-20,71
2023-06-21,68
2023-06-22,64
2023-06-23,53
2023-06-24,26
2023-06-25,30
2023-06-26,76
2023-06-27,67
2023-06-28,65
2023-06-29,64
2023-06-30,52
2023-07-01,24
2023-07-02,28
2023-07-03,50
2023-07-04,31
2023-07-05,66
2023-07-06,67
2023-07-07,59
2023-07-08,31
2023-07-09,28
2023-07-10,70
2023-07-11,68
2023-07-12,63
2023-07-13,63
2023-07-14,53
2023-07-15,26
2023-07-16,30
2023-07-17,70
2023-07-18,55
2023-07-19,55
2023-07-20,55
2023-07-21,42
2023-07-22,22
2023-07-23,26
2023-07-24,61
2023-07-25,60
2023-07-26,57
2023-07-27,55
2023-07-28,45
2023-07-29,25
2023-07-30,27
2023-07-31,65
2023-08-01,61
2023-08-02,63
2023-08-03,62
2023-08-04,52
2023-08-05,26
2023-08-06,32
2023-08-07,70
2023-08-08,68
2023-08-09,70
2023-08-10,62
2023-08-11,55
2023-08-12,31
2023-08-13,33
2023-08-14,74
2023-08-15,73
2023-08-16,74
2023-08-17,73
2023-08-18,62
2023-08-19,37
2023-08-20,45
2023-08-21,100
2023-08-22,99
2023-08-23,92
2023-08-24,94
2023-08-25,73
2023-08-26,36
2023-08-27,46
2023-08-28,98
2023-08-29,88
2023-08-30,83
2023-08-31,73
2023-09-01,61
2023-09-02,29
2023-09-03,32
2023-09-04,48
2023-09-05,88
2023-09-06,80
2023-09-07,75
2023-09-08,63
2023-09-09,31
2023-09-10,40
2023-09-11,88
2023-09-12,75
2023-09-13,74
2023-09-14,70
2023-09-15,56
2023-09-16,29
2023-09-17,33
2023-09-18,77
2023-09-19,76
2023-09-20,71
2023-09-21,74
2023-09-22,59
2023-09-23,30
2023-09-24,34
2023-09-25,77
2023-09-26,75
2023-09-27,69
2023-09-28,69
2023-09-29,57
2023-09-30,29
2023-10-01,35
2023-10-02,79
2023-10-03,70
2023-10-04,71
2023-10-05,65
2023-10-06,52
2023-10-07,23
2023-10-08,29
2023-10-09,65
2023-10-10,76
2023-10-11,68
2023-10-12,62
2023-10-13,52
2023-10-14,23
2023-10-15,30
2023-10-16,70
2023-10-17,68
2023-10-18,66
2023-10-19,61
2023-10-20,52
2023-10-21,24
2023-10-22,25
2023-10-23,71
2023-10-24,66
2023-10-25,63
2023-10-26,56
2023-10-27,49
2023-10-28,23
2023-10-29,26
2023-10-30,70
2023-10-31,62
2023-11-01,67
2023-11-02,61
2023-11-03,53
2023-11-04,23
2023-11-05,31
2023-11-06,72
2023-11-07,70
2023-11-08,66
2023-11-09,60
2023-11-10,44
2023-11-11,23
2023-11-12,26
2023-11-13,67
2023-11-14,62
2023-11-15,63
2023-11-16,57
2023-11-17,49
2023-11-18,24
2023-11-19,24
2023-11-20,54
2023-11-21,49
2023-11-22,38
2023-11-23,18
2023-11-24,21
2023-11-25,22
2023-11-26,31
2023-11-27,73
2023-11-28,67
2023-11-29,67
2023-11-30,58
2023-12-01,51
2023-12-02,26
2023-12-03,30
2023-12-04,72
2023-12-05,65
2023-12-06,62
2023-12-07,62
2023-12-08,60
2023-12-09,29
2023-12-10,29
2023-12-11,70
2023-12-12,67
2023-12-13,72
2023-12-14,51
2023-12-15,43
2023-12-16,23
2023-12-17,24
2023-12-18,54
2023-12-19,47
2023-12-20,48
2023-12-21,42
2023-12-22,32
2023-12-23,20
2023-12-24,16
2023-12-25,17
2023-12-26,35
2023-12-27,37
2023-12-28,41
2023-12-29,35
2023-12-30,25
2023-12-31,25
2024-01-01,36
2024-01-02,71
2024-01-03,71
2024-01-04,69
2024-01-05,62
2024-01-06,34
2024-01-07,37
2024-01-08,77
2024-01-09,74
2024-01-10,74
2024-01-11,70
2024-01-12,58
2024-01-13,31
2024-01-14,28
2024-01-15,52
2024-01-16,78
2024-01-17,78
2024-01-18,71
2024-01-19,60
2024-01-20,32
