Time,nfl news
2023-12-22,30
2023-12-23,34
2023-12-24,56
2023-12-25,70
2023-12-26,50
2023-12-27,27
2023-12-28,25
2023-12-29,32
2023-12-30,27
2023-12-31,64
2024-01-01,57
2024-01-02,28
2024-01-03,26
2024-01-04,26
2024-01-05,25
2024-01-06,35
2024-01-07,71
2024-01-08,81
2024-01-09,47
2024-01-10,46
2024-01-11,49
2024-01-12,44
2024-01-13,71
2024-01-14,92
2024-01-15,86
2024-01-16,78
2024-01-17,51
2024-01-18,41
2024-01-19,39
2024-01-20,62
2024-01-21,81
2024-01-22,57
2024-01-23,32
2024-01-24,35
2024-01-25,41
2024-01-26,30
2024-01-27,31
2024-01-28,50
2024-01-29,41
2024-01-30,24
2024-01-31,23
2024-02-01,24
2024-02-02,19
2024-02-03,18
2024-02-04,17
2024-02-05,19
2024-02-06,17
2024-02-07,15
2024-02-08,15
2024-02-09,20
2024-02-10,16
2024-02-11,18
2024-02-12,29
2024-02-13,16
2024-02-14,15
2024-02-15,16
2024-02-16,16
2024-02-17,14
2024-02-18,14
2024-02-19,13
2024-02-20,16
2024-02-21,16
2024-02-22,15
2024-02-23,14
2024-02-24,15
2024-02-25,14
2024-02-26,16
2024-02-27,16
2024-02-28,16
2024-02-29,20
2024-03-01,18
2024-03-02,18
2024-03-03,19
2024-03-04,23
2024-03-05,26
2024-03-06,25
2024-03-07,25
2024-03-08,24
2024-03-09,24
2024-03-10,32
2024-03-11,100
2024-03-12,96
2024-03-13,74
2024-03-14,56
2024-03-15,60
2024-03-16,50
2024-03-17,49
2024-03-18,41
2024-03-19,35
2024-03-20,32
2024-03-21,31
2024-03-22,26
2024-03-23,23
2024-03-24,21
2024-03-25,23
2024-03-26,23
2024-03-27,24
2024-03-28,23
2024-03-29,18
2024-03-30,16
2024-03-31,18
2024-04-01,24
2024-04-02,21
2024-04-03,28
2024-04-04,23
2024-04-05,20
2024-04-06,16
2024-04-07,17
2024-04-08,16
2024-04-09,20
2024-04-10,17
2024-04-11,16
2024-04-12,17
2024-04-13,14
2024-04-14,15
2024-04-15,17
2024-04-16,17
2024-04-17,17
2024-04-18,18
2024-04-19,16
2024-04-20,15
2024-04-21,16
2024-04-22,22
2024-04-23,23
2024-04-24,26
2024-04-25,44
2024-04-26,72
2024-04-27,51
2024-04-28,22
2024-04-29,18
2024-04-30,15
2024-05-01,14
2024-05-02,15
2024-05-03,14
2024-05-04,12
2024-05-05,12
2024-05-06,15
2024-05-07,13
2024-05-08,13
2024-05-09,13
2024-05-10,13
2024-05-11,11
2024-05-12,13
2024-05-13,14
2024-05-14,14
2024-05-15,16
2024-05-16,14
2024-05-17,13
2024-05-18,10
2024-05-19,11
2024-05-20,11
2024-05-21,12
2024-05-22,11
2024-05-23,10
2024-05-24,9
2024-05-25,10
2024-05-26,9
2024-05-27,10
2024-05-28,10
2024-05-29,10
2024-05-30,11
2024-05-31,10
2024-06-01,9
2024-06-02,10
2024-06-03,11
2024-06-04,12
2024-06-05,10
2024-06-06,10
2024-06-07,10
2024-06-08,9
2024-06-09,11
2024-06-10,11
2024-06-11,11
2024-06-12,9
2024-06-13,10
2024-06-14,10
2024-06-15,9
2024-06-16,10
2024-06-17,11
2024-06-18,10
2024-06-19,11
2024-06-20,10
2024-06-21,10
2024-06-22,9
2024-06-23,9
2024-06-24,10
2024-06-25,10
2024-06-26,9
2024-06-27,10
2024-06-28,9
2024-06-29,9
2024-06-30,9
2024-07-01,10
2024-07-02,9
2024-07-03,10
2024-07-04,9
2024-07-05,10
2024-07-06,10
2024-07-07,11
2024-07-08,10
2024-07-09,10
2024-07-10,10
2024-07-11,9
2024-07-12,10
2024-07-13,9
2024-07-14,10
2024-07-15,10
2024-07-16,10
2024-07-17,11
2024-07-18,10
2024-07-19,10
2024-07-20,10
2024-07-21,11
2024-07-22,12
2024-07-23,12
2024-07-24,13
2024-07-25,13
2024-07-26,12
2024-07-27,12
2024-07-28,11
2024-07-29,12
2024-07-30,13
2024-07-31,12
2024-08-01,14
2024-08-02,15
2024-08-03,12
2024-08-04,12
2024-08-05,13
2024-08-06,15
2024-08-07,17
2024-08-08,17
2024-08-09,18
2024-08-10,19
2024-08-11,21
2024-08-12,18
2024-08-13,17
2024-08-14,19
2024-08-15,22
2024-08-16,19
2024-08-17,18
2024-08-18,21
2024-08-19,21
2024-08-20,17
2024-08-21,17
2024-08-22,18
2024-08-23,18
2024-08-24,21
2024-08-25,26
2024-08-26,28
2024-08-27,36
2024-08-28,30
2024-08-29,23
2024-08-30,21
2024-08-31,16
2024-09-01,20
2024-09-02,17
2024-09-03,18
2024-09-04,21
2024-09-05,26
2024-09-06,31
2024-09-07,28
2024-09-08,47
2024-09-09,40
2024-09-10,27
2024-09-11,21
2024-09-12,23
2024-09-13,27
2024-09-14,19
2024-09-15,44
2024-09-16,41
