Time,nfl news
2023-04-26,38
2023-04-27,64
2023-04-28,95
2023-04-29,79
2023-04-30,36
2023-05-01,29
2023-05-02,23
2023-05-03,21
2023-05-04,21
2023-05-05,20
2023-05-06,16
2023-05-07,17
2023-05-08,20
2023-05-09,21
2023-05-10,21
2023-05-11,24
2023-05-12,20
2023-05-13,17
2023-05-14,17
2023-05-15,18
2023-05-16,18
2023-05-17,17
2023-05-18,17
2023-05-19,17
2023-05-20,16
2023-05-21,16
2023-05-22,18
2023-05-23,17
2023-05-24,17
2023-05-25,15
2023-05-26,18
2023-05-27,18
2023-05-28,17
2023-05-29,18
2023-05-30,20
2023-05-31,17
2023-06-01,17
2023-06-02,16
2023-06-03,15
2023-06-04,17
2023-06-05,16
2023-06-06,17
2023-06-07,16
2023-06-08,18
2023-06-09,19
2023-06-10,19
2023-06-11,27
2023-06-12,20
2023-06-13,18
2023-06-14,18
2023-06-15,17
2023-06-16,16
2023-06-17,16
2023-06-18,16
2023-06-19,17
2023-06-20,18
2023-06-21,20
2023-06-22,17
2023-06-23,17
2023-06-24,17
2023-06-25,16
2023-06-26,18
2023-06-27,17
2023-06-28,20
2023-06-29,18
2023-06-30,16
2023-07-01,16
2023-07-02,17
2023-07-03,23
2023-07-04,26
2023-07-05,18
2023-07-06,19
2023-07-07,16
2023-07-08,15
2023-07-09,15
2023-07-10,16
2023-07-11,17
2023-07-12,14
2023-07-13,15
2023-07-14,14
2023-07-15,15
2023-07-16,19
2023-07-17,20
2023-07-18,18
2023-07-19,17
2023-07-20,18
2023-07-21,17
2023-07-22,15
2023-07-23,18
2023-07-24,20
2023-07-25,20
2023-07-26,20
2023-07-27,23
2023-07-28,23
2023-07-29,21
2023-07-30,22
2023-07-31,25
2023-08-01,24
2023-08-02,24
2023-08-03,24
2023-08-04,27
2023-08-05,20
2023-08-06,23
2023-08-07,22
2023-08-08,22
2023-08-09,24
2023-08-10,24
2023-08-11,28
2023-08-12,29
2023-08-13,31
2023-08-14,27
2023-08-15,27
2023-08-16,23
2023-08-17,23
2023-08-18,24
2023-08-19,25
2023-08-20,36
2023-08-21,26
2023-08-22,27
2023-08-23,25
2023-08-24,27
2023-08-25,29
2023-08-26,39
2023-08-27,41
2023-08-28,41
2023-08-29,54
2023-08-30,41
2023-08-31,31
2023-09-01,27
2023-09-02,23
2023-09-03,26
2023-09-04,28
2023-09-05,30
2023-09-06,33
2023-09-07,37
2023-09-08,43
2023-09-09,25
2023-09-10,55
2023-09-11,61
2023-09-12,62
2023-09-13,33
2023-09-14,34
2023-09-15,37
2023-09-16,22
2023-09-17,56
2023-09-18,53
2023-09-19,46
2023-09-20,33
2023-09-21,35
2023-09-22,37
2023-09-23,21
2023-09-24,58
2023-09-25,58
2023-09-26,41
2023-09-27,27
2023-09-28,28
2023-09-29,32
2023-09-30,21
2023-10-01,56
2023-10-02,50
2023-10-03,37
2023-10-04,27
2023-10-05,27
2023-10-06,35
2023-10-07,24
2023-10-08,61
2023-10-09,58
2023-10-10,39
2023-10-11,25
2023-10-12,27
2023-10-13,36
2023-10-14,22
2023-10-15,62
2023-10-16,55
2023-10-17,38
2023-10-18,28
2023-10-19,29
2023-10-20,31
2023-10-21,21
2023-10-22,57
2023-10-23,51
2023-10-24,40
2023-10-25,28
2023-10-26,33
2023-10-27,37
2023-10-28,24
2023-10-29,57
2023-10-30,67
2023-10-31,97
2023-11-01,46
2023-11-02,31
2023-11-03,31
2023-11-04,20
2023-11-05,56
2023-11-06,50
2023-11-07,33
2023-11-08,22
2023-11-09,24
2023-11-10,27
2023-11-11,19
2023-11-12,49
2023-11-13,47
2023-11-14,37
2023-11-15,27
2023-11-16,26
2023-11-17,37
2023-11-18,21
2023-11-19,51
2023-11-20,46
2023-11-21,38
2023-11-22,27
2023-11-23,41
2023-11-24,47
2023-11-25,24
2023-11-26,48
2023-11-27,50
2023-11-28,33
2023-11-29,23
2023-11-30,24
2023-12-01,32
2023-12-02,19
2023-12-03,47
2023-12-04,52
2023-12-05,37
2023-12-06,25
2023-12-07,23
2023-12-08,28
2023-12-09,23
2023-12-10,50
2023-12-11,57
2023-12-12,41
2023-12-13,28
2023-12-14,25
2023-12-15,40
2023-12-16,38
2023-12-17,67
2023-12-18,52
2023-12-19,39
2023-12-20,25
2023-12-21,28
2023-12-22,33
2023-12-23,37
2023-12-24,61
2023-12-25,76
2023-12-26,55
2023-12-27,30
2023-12-28,28
2023-12-29,35
2023-12-30,30
2023-12-31,70
2024-01-01,63
2024-01-02,31
2024-01-03,28
2024-01-04,28
2024-01-05,27
2024-01-06,38
2024-01-07,77
2024-01-08,88
2024-01-09,51
2024-01-10,50
2024-01-11,54
2024-01-12,48
2024-01-13,77
2024-01-14,100
2024-01-15,94
2024-01-16,85
2024-01-17,55
2024-01-18,45
2024-01-19,43
2024-01-20,67
