Time,als
2022-08-29,40
2022-08-30,38
2022-08-31,39
2022-09-01,39
2022-09-02,40
2022-09-03,37
2022-09-04,37
2022-09-05,37
2022-09-06,38
2022-09-07,37
2022-09-08,46
2022-09-09,39
2022-09-10,36
2022-09-11,52
2022-09-12,39
2022-09-13,37
2022-09-14,40
2022-09-15,38
2022-09-16,38
2022-09-17,38
2022-09-18,37
2022-09-19,40
2022-09-20,39
2022-09-21,39
2022-09-22,41
2022-09-23,39
2022-09-24,36
2022-09-25,38
2022-09-26,38
2022-09-27,38
2022-09-28,35
2022-09-29,46
2022-09-30,71
2022-10-01,56
2022-10-02,46
2022-10-03,42
2022-10-04,43
2022-10-05,46
2022-10-06,47
2022-10-07,42
2022-10-08,52
2022-10-09,36
2022-10-10,49
2022-10-11,38
2022-10-12,38
2022-10-13,39
2022-10-14,38
2022-10-15,35
2022-10-16,33
2022-10-17,38
2022-10-18,41
2022-10-19,41
2022-10-20,40
2022-10-21,39
2022-10-22,33
2022-10-23,31
2022-10-24,38
2022-10-25,40
2022-10-26,49
2022-10-27,41
2022-10-28,40
2022-10-29,37
2022-10-30,33
2022-10-31,36
2022-11-01,36
2022-11-02,38
2022-11-03,38
2022-11-04,39
2022-11-05,40
2022-11-06,35
2022-11-07,39
2022-11-08,35
2022-11-09,34
2022-11-10,40
2022-11-11,39
2022-11-12,42
2022-11-13,38
2022-11-14,46
2022-11-15,94
2022-11-16,55
2022-11-17,43
2022-11-18,40
2022-11-19,34
2022-11-20,37
2022-11-21,38
2022-11-22,38
2022-11-23,34
2022-11-24,36
2022-11-25,41
2022-11-26,36
2022-11-27,34
2022-11-28,34
2022-11-29,38
2022-11-30,40
2022-12-01,40
2022-12-02,38
2022-12-03,32
2022-12-04,31
2022-12-05,38
2022-12-06,37
2022-12-07,40
2022-12-08,38
2022-12-09,38
2022-12-10,35
2022-12-11,35
2022-12-12,37
2022-12-13,33
2022-12-14,42
2022-12-15,36
2022-12-16,35
2022-12-17,33
2022-12-18,31
2022-12-19,35
2022-12-20,38
2022-12-21,33
2022-12-22,34
2022-12-23,29
2022-12-24,32
2022-12-25,27
2022-12-26,31
2022-12-27,32
2022-12-28,33
2022-12-29,34
2022-12-30,35
2022-12-31,38
2023-01-01,34
2023-01-02,32
2023-01-03,35
2023-01-04,33
2023-01-05,38
2023-01-06,34
2023-01-07,33
2023-01-08,34
2023-01-09,32
2023-01-10,37
2023-01-11,38
2023-01-12,35
2023-01-13,34
2023-01-14,31
2023-01-15,33
2023-01-16,33
2023-01-17,37
2023-01-18,36
2023-01-19,52
2023-01-20,49
2023-01-21,40
2023-01-22,32
2023-01-23,82
2023-01-24,39
2023-01-25,38
2023-01-26,40
2023-01-27,40
2023-01-28,36
2023-01-29,35
2023-01-30,44
2023-01-31,43
2023-02-01,40
2023-02-02,39
2023-02-03,39
2023-02-04,36
2023-02-05,38
2023-02-06,36
2023-02-07,38
2023-02-08,38
2023-02-09,42
2023-02-10,100
2023-02-11,53
2023-02-12,46
2023-02-13,42
2023-02-14,39
2023-02-15,56
2023-02-16,45
2023-02-17,51
2023-02-18,39
2023-02-19,53
2023-02-20,41
2023-02-21,45
2023-02-22,40
2023-02-23,39
2023-02-24,39
2023-02-25,34
2023-02-26,35
2023-02-27,40
2023-02-28,38
2023-03-01,41
2023-03-02,40
2023-03-03,36
2023-03-04,44
2023-03-05,38
2023-03-06,41
2023-03-07,40
2023-03-08,41
2023-03-09,38
2023-03-10,39
2023-03-11,35
2023-03-12,35
2023-03-13,38
2023-03-14,38
2023-03-15,39
2023-03-16,40
2023-03-17,38
2023-03-18,34
2023-03-19,36
2023-03-20,42
2023-03-21,41
2023-03-22,42
2023-03-23,41
2023-03-24,43
2023-03-25,35
2023-03-26,44
2023-03-27,40
2023-03-28,39
2023-03-29,39
2023-03-30,42
2023-03-31,40
2023-04-01,46
2023-04-02,42
2023-04-03,41
2023-04-04,40
2023-04-05,37
2023-04-06,39
2023-04-07,35
2023-04-08,33
2023-04-09,34
2023-04-10,40
2023-04-11,39
2023-04-12,38
2023-04-13,37
2023-04-14,40
2023-04-15,36
2023-04-16,37
2023-04-17,39
2023-04-18,64
2023-04-19,59
2023-04-20,44
2023-04-21,42
2023-04-22,40
2023-04-23,38
2023-04-24,41
2023-04-25,40
2023-04-26,48
2023-04-27,42
2023-04-28,38
2023-04-29,38
2023-04-30,37
2023-05-01,40
2023-05-02,48
2023-05-03,45
2023-05-04,43
2023-05-05,42
2023-05-06,41
2023-05-07,43
2023-05-08,45
2023-05-09,56
2023-05-10,46
2023-05-11,42
2023-05-12,44
2023-05-13,45
2023-05-14,44
2023-05-15,44
2023-05-16,42
2023-05-17,44
2023-05-18,69
2023-05-19,52
2023-05-20,47
2023-05-21,39
2023-05-22,43
2023-05-23,40
2023-05-24,41
2023-05-25,42
