Time,bill hader
2023-12-22,5
2023-12-23,7
2023-12-24,6
2023-12-25,5
2023-12-26,5
2023-12-27,4
2023-12-28,4
2023-12-29,4
2023-12-30,4
2023-12-31,6
2024-01-01,5
2024-01-02,3
2024-01-03,3
2024-01-04,5
2024-01-05,4
2024-01-06,5
2024-01-07,5
2024-01-08,100
2024-01-09,36
2024-01-10,18
2024-01-11,10
2024-01-12,8
2024-01-13,9
2024-01-14,8
2024-01-15,10
2024-01-16,59
2024-01-17,20
2024-01-18,11
2024-01-19,7
2024-01-20,7
2024-01-21,7
2024-01-22,5
2024-01-23,4
2024-01-24,4
2024-01-25,4
2024-01-26,4
2024-01-27,6
2024-01-28,5
2024-01-29,4
2024-01-30,4
2024-01-31,4
2024-02-01,4
2024-02-02,4
2024-02-03,4
2024-02-04,4
2024-02-05,3
2024-02-06,4
2024-02-07,3
2024-02-08,3
2024-02-09,4
2024-02-10,4
2024-02-11,4
2024-02-12,2
2024-02-13,3
2024-02-14,3
2024-02-15,2
2024-02-16,3
2024-02-17,4
2024-02-18,4
2024-02-19,3
2024-02-20,3
2024-02-21,3
2024-02-22,4
2024-02-23,3
2024-02-24,4
2024-02-25,6
2024-02-26,2
2024-02-27,4
2024-02-28,3
2024-02-29,3
2024-03-01,4
2024-03-02,5
2024-03-03,5
2024-03-04,3
2024-03-05,3
2024-03-06,3
2024-03-07,4
2024-03-08,5
2024-03-09,5
2024-03-10,5
2024-03-11,3
2024-03-12,5
2024-03-13,4
2024-03-14,4
2024-03-15,5
2024-03-16,5
2024-03-17,5
2024-03-18,3
2024-03-19,5
2024-03-20,3
2024-03-21,3
2024-03-22,3
2024-03-23,4
2024-03-24,4
2024-03-25,3
2024-03-26,4
2024-03-27,4
2024-03-28,4
2024-03-29,4
2024-03-30,4
2024-03-31,4
2024-04-01,3
2024-04-02,3
2024-04-03,3
2024-04-04,3
2024-04-05,3
2024-04-06,4
2024-04-07,5
2024-04-08,3
2024-04-09,3
2024-04-10,3
2024-04-11,3
2024-04-12,3
2024-04-13,3
2024-04-14,4
2024-04-15,3
2024-04-16,3
2024-04-17,3
2024-04-18,3
2024-04-19,2
2024-04-20,3
2024-04-21,4
2024-04-22,5
2024-04-23,2
2024-04-24,3
2024-04-25,2
2024-04-26,3
2024-04-27,2
2024-04-28,3
2024-04-29,3
2024-04-30,3
2024-05-01,2
2024-05-02,2
2024-05-03,3
2024-05-04,3
2024-05-05,4
2024-05-06,3
2024-05-07,2
2024-05-08,4
2024-05-09,2
2024-05-10,4
2024-05-11,4
2024-05-12,5
2024-05-13,3
2024-05-14,4
2024-05-15,9
2024-05-16,14
2024-05-17,14
2024-05-18,9
2024-05-19,12
2024-05-20,8
2024-05-21,5
2024-05-22,4
2024-05-23,3
2024-05-24,3
2024-05-25,4
2024-05-26,4
2024-05-27,4
2024-05-28,3
2024-05-29,3
2024-05-30,3
2024-05-31,3
2024-06-01,4
2024-06-02,4
2024-06-03,3
2024-06-04,3
2024-06-05,3
2024-06-06,3
2024-06-07,4
2024-06-08,3
2024-06-09,4
2024-06-10,4
2024-06-11,3
2024-06-12,3
2024-06-13,4
2024-06-14,6
2024-06-15,8
2024-06-16,9
2024-06-17,7
2024-06-18,5
2024-06-19,6
2024-06-20,5
2024-06-21,5
2024-06-22,6
2024-06-23,6
2024-06-24,4
2024-06-25,8
2024-06-26,7
2024-06-27,7
2024-06-28,6
2024-06-29,7
2024-06-30,6
2024-07-01,4
2024-07-02,5
2024-07-03,4
2024-07-04,6
2024-07-05,5
2024-07-06,5
2024-07-07,5
2024-07-08,4
2024-07-09,4
2024-07-10,3
2024-07-11,3
2024-07-12,4
2024-07-13,4
2024-07-14,4
2024-07-15,2
2024-07-16,2
2024-07-17,3
2024-07-18,3
2024-07-19,3
2024-07-20,3
2024-07-21,3
2024-07-22,3
2024-07-23,3
2024-07-24,4
2024-07-25,3
2024-07-26,3
2024-07-27,3
2024-07-28,4
2024-07-29,2
2024-07-30,2
2024-07-31,3
2024-08-01,2
2024-08-02,3
2024-08-03,3
2024-08-04,3
2024-08-05,2
2024-08-06,2
2024-08-07,3
2024-08-08,3
2024-08-09,2
2024-08-10,3
2024-08-11,4
2024-08-12,3
2024-08-13,3
2024-08-14,5
2024-08-15,3
2024-08-16,3
2024-08-17,3
2024-08-18,4
2024-08-19,3
2024-08-20,3
2024-08-21,2
2024-08-22,3
2024-08-23,3
2024-08-24,4
2024-08-25,4
2024-08-26,2
2024-08-27,4
2024-08-28,3
2024-08-29,2
2024-08-30,3
2024-08-31,3
2024-09-01,4
2024-09-02,3
2024-09-03,3
2024-09-04,2
2024-09-05,2
2024-09-06,2
2024-09-07,3
2024-09-08,3
2024-09-09,2
2024-09-10,2
2024-09-11,3
2024-09-12,2
2024-09-13,2
2024-09-14,4
2024-09-15,4
2024-09-16,2
