Time,ford
2023-12-22,82
2023-12-23,84
2023-12-24,71
2023-12-25,63
2023-12-26,87
2023-12-27,98
2023-12-28,90
2023-12-29,89
2023-12-30,88
2023-12-31,72
2024-01-01,71
2024-01-02,85
2024-01-03,89
2024-01-04,84
2024-01-05,85
2024-01-06,89
2024-01-07,76
2024-01-08,78
2024-01-09,76
2024-01-10,79
2024-01-11,79
2024-01-12,78
2024-01-13,87
2024-01-14,75
2024-01-15,93
2024-01-16,80
2024-01-17,84
2024-01-18,86
2024-01-19,81
2024-01-20,84
2024-01-21,87
2024-01-22,84
2024-01-23,81
2024-01-24,85
2024-01-25,85
2024-01-26,86
2024-01-27,91
2024-01-28,83
2024-01-29,89
2024-01-30,84
2024-01-31,83
2024-02-01,79
2024-02-02,82
2024-02-03,89
2024-02-04,77
2024-02-05,82
2024-02-06,78
2024-02-07,86
2024-02-08,84
2024-02-09,82
2024-02-10,93
2024-02-11,75
2024-02-12,70
2024-02-13,82
2024-02-14,78
2024-02-15,80
2024-02-16,85
2024-02-17,86
2024-02-18,83
2024-02-19,89
2024-02-20,85
2024-02-21,86
2024-02-22,87
2024-02-23,89
2024-02-24,94
2024-02-25,84
2024-02-26,85
2024-02-27,85
2024-02-28,84
2024-02-29,86
2024-03-01,85
2024-03-02,88
2024-03-03,87
2024-03-04,84
2024-03-05,84
2024-03-06,82
2024-03-07,81
2024-03-08,80
2024-03-09,88
2024-03-10,76
2024-03-11,85
2024-03-12,83
2024-03-13,82
2024-03-14,84
2024-03-15,86
2024-03-16,91
2024-03-17,82
2024-03-18,81
2024-03-19,85
2024-03-20,84
2024-03-21,80
2024-03-22,82
2024-03-23,91
2024-03-24,84
2024-03-25,82
2024-03-26,79
2024-03-27,85
2024-03-28,83
2024-03-29,86
2024-03-30,86
2024-03-31,79
2024-04-01,81
2024-04-02,80
2024-04-03,84
2024-04-04,76
2024-04-05,82
2024-04-06,94
2024-04-07,82
2024-04-08,75
2024-04-09,84
2024-04-10,86
2024-04-11,84
2024-04-12,91
2024-04-13,89
2024-04-14,80
2024-04-15,84
2024-04-16,83
2024-04-17,83
2024-04-18,87
2024-04-19,85
2024-04-20,89
2024-04-21,84
2024-04-22,85
2024-04-23,85
2024-04-24,83
2024-04-25,85
2024-04-26,82
2024-04-27,88
2024-04-28,81
2024-04-29,81
2024-04-30,83
2024-05-01,80
2024-05-02,84
2024-05-03,85
2024-05-04,87
2024-05-05,79
2024-05-06,85
2024-05-07,81
2024-05-08,81
2024-05-09,84
2024-05-10,81
2024-05-11,82
2024-05-12,73
2024-05-13,86
2024-05-14,84
2024-05-15,81
2024-05-16,82
2024-05-17,86
2024-05-18,91
2024-05-19,83
2024-05-20,87
2024-05-21,84
2024-05-22,79
2024-05-23,84
2024-05-24,87
2024-05-25,91
2024-05-26,79
2024-05-27,83
2024-05-28,83
2024-05-29,88
2024-05-30,84
2024-05-31,85
2024-06-01,86
2024-06-02,82
2024-06-03,86
2024-06-04,87
2024-06-05,94
2024-06-06,84
2024-06-07,86
2024-06-08,92
2024-06-09,82
2024-06-10,91
2024-06-11,84
2024-06-12,91
2024-06-13,91
2024-06-14,89
2024-06-15,88
2024-06-16,83
2024-06-17,90
2024-06-18,90
2024-06-19,93
2024-06-20,89
2024-06-21,88
2024-06-22,89
2024-06-23,83
2024-06-24,87
2024-06-25,92
2024-06-26,86
2024-06-27,90
2024-06-28,85
2024-06-29,91
2024-06-30,84
2024-07-01,89
2024-07-02,84
2024-07-03,85
2024-07-04,81
2024-07-05,87
2024-07-06,86
2024-07-07,81
2024-07-08,89
2024-07-09,86
2024-07-10,86
2024-07-11,91
2024-07-12,90
2024-07-13,92
2024-07-14,78
2024-07-15,85
2024-07-16,86
2024-07-17,83
2024-07-18,91
2024-07-19,88
2024-07-20,95
2024-07-21,83
2024-07-22,85
2024-07-23,92
2024-07-24,88
2024-07-25,94
2024-07-26,90
2024-07-27,94
2024-07-28,85
2024-07-29,90
2024-07-30,86
2024-07-31,86
2024-08-01,87
2024-08-02,90
2024-08-03,89
2024-08-04,82
2024-08-05,85
2024-08-06,87
2024-08-07,87
2024-08-08,84
2024-08-09,89
2024-08-10,91
2024-08-11,82
2024-08-12,96
2024-08-13,94
2024-08-14,91
2024-08-15,90
2024-08-16,91
2024-08-17,90
2024-08-18,87
2024-08-19,90
2024-08-20,88
2024-08-21,88
2024-08-22,88
2024-08-23,91
2024-08-24,100
2024-08-25,88
2024-08-26,91
2024-08-27,90
2024-08-28,88
2024-08-29,88
2024-08-30,87
2024-08-31,84
2024-09-01,79
2024-09-02,85
2024-09-03,86
2024-09-04,87
2024-09-05,85
2024-09-06,78
2024-09-07,85
2024-09-08,80
2024-09-09,84
2024-09-10,79
2024-09-11,77
2024-09-12,80
2024-09-13,86
2024-09-14,86
2024-09-15,73
2024-09-16,79
