Time,ford
2025-12-11,72
2025-12-12,71
2025-12-13,76
2025-12-14,68
2025-12-15,72
2025-12-16,76
2025-12-17,76
2025-12-18,79
2025-12-19,76
2025-12-20,78
2025-12-21,71
2025-12-22,75
2025-12-23,74
2025-12-24,74
2025-12-25,57
2025-12-26,75
2025-12-27,80
2025-12-28,72
2025-12-29,80
2025-12-30,81
2025-12-31,75
2026-01-01,64
2026-01-02,77
2026-01-03,78
2026-01-04,67
2026-01-05,69
2026-01-06,73
2026-01-07,73
2026-01-08,72
2026-01-09,75
2026-01-10,74
2026-01-11,68
2026-01-12,71
2026-01-13,73
2026-01-14,81
2026-01-15,78
2026-01-16,77
2026-01-17,82
2026-01-18,69
2026-01-19,77
2026-01-20,74
2026-01-21,73
2026-01-22,73
2026-01-23,72
2026-01-24,72
2026-01-25,62
2026-01-26,67
2026-01-27,73
2026-01-28,74
2026-01-29,76
2026-01-30,74
2026-01-31,79
2026-02-01,72
2026-02-02,72
2026-02-03,72
2026-02-04,71
2026-02-05,75
2026-02-06,73
2026-02-07,83
2026-02-08,79
2026-02-09,72
2026-02-10,80
2026-02-11,78
2026-02-12,77
2026-02-13,84
2026-02-14,88
2026-02-15,81
2026-02-16,89
2026-02-17,84
2026-02-18,86
2026-02-19,85
2026-02-20,84
2026-02-21,93
2026-02-22,79
2026-02-23,84
2026-02-24,89
2026-02-25,84
2026-02-26,87
2026-02-27,88
2026-02-28,92
2026-03-01,87
2026-03-02,94
2026-03-03,86
2026-03-04,84
2026-03-05,88
2026-03-06,85
2026-03-07,92
2026-03-08,85
2026-03-09,86
2026-03-10,83
2026-03-11,85
2026-03-12,87
2026-03-13,89
2026-03-14,91
2026-03-15,82
2026-03-16,83
2026-03-17,85
2026-03-18,84
2026-03-19,87
2026-03-20,89
2026-03-21,95
2026-03-22,87
2026-03-23,88
2026-03-24,86
2026-03-25,86
2026-03-26,86
2026-03-27,85
2026-03-28,93
2026-03-29,88
2026-03-30,86
2026-03-31,91
2026-04-01,92
2026-04-02,88
2026-04-03,95
2026-04-04,91
2026-04-05,84
2026-04-06,94
2026-04-07,90
2026-04-08,95
2026-04-09,93
2026-04-10,94
2026-04-11,96
2026-04-12,91
2026-04-13,94
2026-04-14,92
2026-04-15,86
2026-04-16,94
2026-04-17,98
2026-04-18,100
2026-04-19,85
2026-04-20,91
2026-04-21,94
2026-04-22,92
2026-04-23,90
2026-04-24,87
2026-04-25,89
2026-04-26,86
2026-04-27,88
2026-04-28,81
2026-04-29,84
2026-04-30,83
2026-05-01,86
2026-05-02,86
2026-05-03,80
2026-05-04,84
2026-05-05,80
2026-05-06,80
2026-05-07,91
2026-05-08,83
2026-05-09,86
2026-05-10,79
2026-05-11,82
2026-05-12,85
2026-05-13,91
2026-05-14,90
2026-05-15,94
2026-05-16,99
2026-05-17,90
2026-05-18,87
2026-05-19,93
2026-05-20,90
2026-05-21,95
2026-05-22,93
2026-05-23,93
2026-05-24,89
2026-05-25,84
2026-05-26,93
2026-05-27,88
2026-05-28,92
2026-05-29,92
2026-05-30,93
2026-05-31,90
