Time,kendrick lamar
2023-04-26,46
2023-04-27,55
2023-04-28,55
2023-04-29,56
2023-04-30,51
2023-05-01,54
2023-05-02,54
2023-05-03,52
2023-05-04,58
2023-05-05,50
2023-05-06,52
2023-05-07,49
2023-05-08,53
2023-05-09,54
2023-05-10,52
2023-05-11,51
2023-05-12,57
2023-05-13,52
2023-05-14,54
2023-05-15,49
2023-05-16,55
2023-05-17,49
2023-05-18,52
2023-05-19,50
2023-05-20,92
2023-05-21,79
2023-05-22,59
2023-05-23,55
2023-05-24,53
2023-05-25,51
2023-05-26,54
2023-05-27,56
2023-05-28,50
2023-05-29,51
2023-05-30,68
2023-05-31,73
2023-06-01,67
2023-06-02,64
2023-06-03,63
2023-06-04,64
2023-06-05,55
2023-06-06,53
2023-06-07,52
2023-06-08,52
2023-06-09,52
2023-06-10,51
2023-06-11,72
2023-06-12,57
2023-06-13,50
2023-06-14,49
2023-06-15,47
2023-06-16,60
2023-06-17,84
2023-06-18,71
2023-06-19,56
2023-06-20,46
2023-06-21,51
2023-06-22,41
2023-06-23,52
2023-06-24,51
2023-06-25,48
2023-06-26,48
2023-06-27,48
2023-06-28,42
2023-06-29,43
2023-06-30,46
2023-07-01,46
2023-07-02,44
2023-07-03,47
2023-07-04,50
2023-07-05,41
2023-07-06,48
2023-07-07,45
2023-07-08,48
2023-07-09,55
2023-07-10,43
2023-07-11,39
2023-07-12,49
2023-07-13,39
2023-07-14,46
2023-07-15,55
2023-07-16,53
2023-07-17,40
2023-07-18,43
2023-07-19,46
2023-07-20,43
2023-07-21,48
2023-07-22,49
2023-07-23,45
2023-07-24,44
2023-07-25,39
2023-07-26,41
2023-07-27,39
2023-07-28,45
2023-07-29,51
2023-07-30,46
2023-07-31,40
2023-08-01,41
2023-08-02,39
2023-08-03,45
2023-08-04,56
2023-08-05,80
2023-08-06,51
2023-08-07,45
2023-08-08,42
2023-08-09,47
2023-08-10,52
2023-08-11,55
2023-08-12,61
2023-08-13,49
2023-08-14,42
2023-08-15,39
2023-08-16,48
2023-08-17,41
2023-08-18,39
2023-08-19,45
2023-08-20,46
2023-08-21,38
2023-08-22,43
2023-08-23,44
2023-08-24,41
2023-08-25,39
2023-08-26,45
2023-08-27,44
2023-08-28,40
2023-08-29,38
2023-08-30,39
2023-08-31,45
2023-09-01,40
2023-09-02,37
2023-09-03,40
2023-09-04,38
2023-09-05,48
2023-09-06,42
2023-09-07,49
2023-09-08,51
2023-09-09,55
2023-09-10,44
2023-09-11,41
2023-09-12,44
2023-09-13,44
2023-09-14,48
2023-09-15,48
2023-09-16,46
2023-09-17,38
2023-09-18,41
2023-09-19,43
2023-09-20,41
2023-09-21,45
2023-09-22,43
2023-09-23,42
2023-09-24,46
2023-09-25,38
2023-09-26,43
2023-09-27,43
2023-09-28,45
2023-09-29,41
2023-09-30,42
2023-10-01,42
2023-10-02,38
2023-10-03,40
2023-10-04,37
2023-10-05,44
2023-10-06,50
2023-10-07,100
2023-10-08,54
2023-10-09,46
2023-10-10,43
2023-10-11,49
2023-10-12,52
2023-10-13,44
2023-10-14,57
2023-10-15,44
2023-10-16,45
2023-10-17,46
2023-10-18,40
2023-10-19,43
2023-10-20,38
2023-10-21,38
2023-10-22,35
2023-10-23,34
2023-10-24,42
2023-10-25,37
2023-10-26,37
2023-10-27,98
2023-10-28,79
2023-10-29,54
2023-10-30,44
2023-10-31,45
2023-11-01,41
2023-11-02,47
2023-11-03,46
2023-11-04,49
2023-11-05,39
2023-11-06,41
2023-11-07,44
2023-11-08,53
2023-11-09,50
2023-11-10,46
2023-11-11,47
2023-11-12,55
2023-11-13,48
2023-11-14,45
2023-11-15,45
2023-11-16,49
2023-11-17,47
2023-11-18,44
2023-11-19,50
2023-11-20,40
2023-11-21,42
2023-11-22,45
2023-11-23,43
2023-11-24,40
2023-11-25,42
2023-11-26,39
2023-11-27,38
2023-11-28,44
2023-11-29,51
2023-11-30,52
2023-12-01,48
2023-12-02,44
2023-12-03,39
2023-12-04,45
2023-12-05,48
2023-12-06,48
2023-12-07,52
2023-12-08,54
2023-12-09,69
2023-12-10,58
2023-12-11,49
2023-12-12,52
2023-12-13,45
2023-12-14,50
2023-12-15,46
2023-12-16,42
2023-12-17,46
2023-12-18,37
2023-12-19,41
2023-12-20,45
2023-12-21,43
2023-12-22,45
2023-12-23,50
2023-12-24,42
2023-12-25,40
2023-12-26,41
2023-12-27,41
2023-12-28,45
2023-12-29,41
2023-12-30,47
2023-12-31,39
2024-01-01,41
2024-01-02,35
2024-01-03,40
2024-01-04,39
2024-01-05,42
2024-01-06,40
2024-01-07,42
2024-01-08,39
2024-01-09,37
2024-01-10,43
2024-01-11,44
2024-01-12,52
2024-01-13,44
2024-01-14,43
2024-01-15,41
2024-01-16,36
2024-01-17,39
2024-01-18,41
2024-01-19,45
2024-01-20,48
