Time,warriors game
2022-08-29,0
2022-08-30,0
2022-08-31,1
2022-09-01,1
2022-09-02,0
2022-09-03,1
2022-09-04,1
2022-09-05,1
2022-09-06,1
2022-09-07,0
2022-09-08,0
2022-09-09,0
2022-09-10,1
2022-09-11,1
2022-09-12,0
2022-09-13,0
2022-09-14,1
2022-09-15,0
2022-09-16,1
2022-09-17,1
2022-09-18,1
2022-09-19,1
2022-09-20,1
2022-09-21,0
2022-09-22,1
2022-09-23,1
2022-09-24,1
2022-09-25,1
2022-09-26,1
2022-09-27,1
2022-09-28,1
2022-09-29,1
2022-09-30,2
2022-10-01,2
2022-10-02,2
2022-10-03,1
2022-10-04,1
2022-10-05,1
2022-10-06,1
2022-10-07,1
2022-10-08,1
2022-10-09,2
2022-10-10,4
2022-10-11,1
2022-10-12,3
2022-10-13,1
2022-10-14,2
2022-10-15,4
2022-10-16,2
2022-10-17,2
2022-10-18,4
2022-10-19,17
2022-10-20,3
2022-10-21,3
2022-10-22,10
2022-10-23,4
2022-10-24,9
2022-10-25,3
2022-10-26,9
2022-10-27,3
2022-10-28,8
2022-10-29,5
2022-10-30,9
2022-10-31,4
2022-11-01,4
2022-11-02,6
2022-11-03,4
2022-11-04,7
2022-11-05,7
2022-11-06,2
2022-11-07,2
2022-11-08,6
2022-11-09,2
2022-11-10,2
2022-11-11,3
2022-11-12,9
2022-11-13,3
2022-11-14,6
2022-11-15,7
2022-11-16,3
2022-11-17,6
2022-11-18,3
2022-11-19,7
2022-11-20,4
2022-11-21,6
2022-11-22,5
2022-11-23,3
2022-11-24,7
2022-11-25,3
2022-11-26,7
2022-11-27,6
2022-11-28,3
2022-11-29,3
2022-11-30,6
2022-12-01,2
2022-12-02,3
2022-12-03,8
2022-12-04,6
2022-12-05,3
2022-12-06,6
2022-12-07,2
2022-12-08,6
2022-12-09,2
2022-12-10,4
2022-12-11,9
2022-12-12,2
2022-12-13,3
2022-12-14,6
2022-12-15,4
2022-12-16,2
2022-12-17,4
2022-12-18,3
2022-12-19,3
2022-12-20,3
2022-12-21,5
2022-12-22,4
2022-12-23,2
2022-12-24,2
2022-12-25,4
2022-12-26,10
2022-12-27,3
2022-12-28,8
2022-12-29,7
2022-12-30,3
2022-12-31,8
2023-01-01,2
2023-01-02,3
2023-01-03,9
2023-01-04,3
2023-01-05,7
2023-01-06,2
2023-01-07,4
2023-01-08,7
2023-01-09,2
2023-01-10,3
2023-01-11,8
2023-01-12,3
2023-01-13,4
2023-01-14,8
2023-01-15,6
2023-01-16,5
2023-01-17,3
2023-01-18,2
2023-01-19,4
2023-01-20,9
2023-01-21,6
2023-01-22,4
2023-01-23,7
2023-01-24,2
2023-01-25,3
2023-01-26,9
2023-01-27,4
2023-01-28,8
2023-01-29,3
2023-01-30,3
2023-01-31,6
2023-02-01,3
2023-02-02,7
2023-02-03,6
2023-02-04,4
2023-02-05,8
2023-02-06,3
2023-02-07,6
2023-02-08,3
2023-02-09,6
2023-02-10,3
2023-02-11,4
2023-02-12,7
2023-02-13,2
2023-02-14,6
2023-02-15,5
2023-02-16,2
2023-02-17,2
2023-02-18,2
2023-02-19,2
2023-02-20,2
2023-02-21,1
2023-02-22,1
2023-02-23,2
2023-02-24,6
2023-02-25,6
2023-02-26,4
2023-02-27,6
2023-02-28,3
2023-03-01,6
2023-03-02,3
2023-03-03,8
2023-03-04,8
2023-03-05,8
2023-03-06,3
2023-03-07,3
2023-03-08,6
2023-03-09,3
2023-03-10,7
2023-03-11,4
2023-03-12,10
2023-03-13,4
2023-03-14,9
2023-03-15,4
2023-03-16,8
2023-03-17,4
2023-03-18,7
2023-03-19,7
2023-03-20,4
2023-03-21,5
2023-03-22,4
2023-03-23,7
2023-03-24,4
2023-03-25,10
2023-03-26,6
2023-03-27,9
2023-03-28,4
2023-03-29,9
2023-03-30,4
2023-03-31,4
2023-04-01,10
2023-04-02,6
2023-04-03,8
2023-04-04,4
2023-04-05,11
2023-04-06,4
2023-04-07,5
2023-04-08,13
2023-04-09,14
2023-04-10,6
2023-04-11,3
2023-04-12,3
2023-04-13,2
2023-04-14,3
2023-04-15,10
2023-04-16,30
2023-04-17,11
2023-04-18,35
2023-04-19,9
2023-04-20,11
2023-04-21,35
2023-04-22,13
2023-04-23,44
2023-04-24,14
2023-04-25,10
2023-04-26,13
2023-04-27,44
2023-04-28,19
2023-04-29,70
2023-04-30,84
2023-05-01,20
2023-05-02,18
2023-05-03,60
2023-05-04,21
2023-05-05,62
2023-05-06,31
2023-05-07,63
2023-05-08,22
2023-05-09,61
2023-05-10,21
2023-05-11,74
2023-05-12,28
2023-05-13,100
2023-05-14,8
2023-05-15,4
2023-05-16,2
2023-05-17,3
2023-05-18,2
2023-05-19,2
2023-05-20,2
2023-05-21,2
2023-05-22,1
2023-05-23,2
2023-05-24,1
2023-05-25,1
