Time,80 for brady
2023-04-26,42
2023-04-27,41
2023-04-28,46
2023-04-29,92
2023-04-30,100
2023-05-01,45
2023-05-02,44
2023-05-03,38
2023-05-04,33
2023-05-05,39
2023-05-06,64
2023-05-07,74
2023-05-08,38
2023-05-09,34
2023-05-10,36
2023-05-11,34
2023-05-12,41
2023-05-13,66
2023-05-14,91
2023-05-15,41
2023-05-16,29
2023-05-17,25
2023-05-18,27
2023-05-19,31
2023-05-20,47
2023-05-21,51
2023-05-22,23
2023-05-23,22
2023-05-24,22
2023-05-25,20
2023-05-26,30
2023-05-27,52
2023-05-28,53
2023-05-29,44
2023-05-30,27
2023-05-31,22
2023-06-01,22
2023-06-02,23
2023-06-03,43
2023-06-04,43
2023-06-05,24
2023-06-06,23
2023-06-07,20
2023-06-08,20
2023-06-09,21
2023-06-10,35
2023-06-11,37
2023-06-12,29
2023-06-13,21
2023-06-14,20
2023-06-15,20
2023-06-16,16
2023-06-17,31
2023-06-18,34
2023-06-19,24
2023-06-20,16
2023-06-21,15
2023-06-22,17
2023-06-23,19
2023-06-24,27
2023-06-25,34
2023-06-26,18
2023-06-27,16
2023-06-28,17
2023-06-29,16
2023-06-30,18
2023-07-01,31
2023-07-02,38
2023-07-03,33
2023-07-04,50
2023-07-05,39
2023-07-06,38
2023-07-07,40
2023-07-08,65
2023-07-09,98
2023-07-10,54
2023-07-11,37
2023-07-12,34
2023-07-13,38
2023-07-14,43
2023-07-15,61
2023-07-16,86
2023-07-17,47
2023-07-18,36
2023-07-19,32
2023-07-20,28
2023-07-21,30
2023-07-22,44
2023-07-23,55
2023-07-24,33
2023-07-25,25
2023-07-26,22
2023-07-27,22
2023-07-28,24
2023-07-29,40
2023-07-30,41
2023-07-31,31
2023-08-01,22
2023-08-02,20
2023-08-03,20
2023-08-04,21
2023-08-05,30
2023-08-06,39
2023-08-07,19
2023-08-08,16
2023-08-09,16
2023-08-10,16
2023-08-11,15
2023-08-12,29
2023-08-13,30
2023-08-14,14
2023-08-15,11
2023-08-16,16
2023-08-17,12
2023-08-18,12
2023-08-19,30
2023-08-20,25
2023-08-21,21
2023-08-22,13
2023-08-23,11
2023-08-24,10
2023-08-25,15
2023-08-26,27
2023-08-27,26
2023-08-28,13
2023-08-29,10
2023-08-30,11
2023-08-31,11
2023-09-01,11
2023-09-02,20
2023-09-03,22
2023-09-04,23
2023-09-05,12
2023-09-06,7
2023-09-07,6
2023-09-08,11
2023-09-09,20
2023-09-10,18
2023-09-11,13
2023-09-12,9
2023-09-13,10
2023-09-14,8
2023-09-15,10
2023-09-16,14
2023-09-17,16
2023-09-18,10
2023-09-19,8
2023-09-20,7
2023-09-21,9
2023-09-22,9
2023-09-23,19
2023-09-24,16
2023-09-25,8
2023-09-26,6
2023-09-27,9
2023-09-28,7
2023-09-29,9
2023-09-30,15
2023-10-01,15
2023-10-02,6
2023-10-03,8
2023-10-04,5
2023-10-05,8
2023-10-06,7
2023-10-07,13
2023-10-08,10
2023-10-09,8
2023-10-10,7
2023-10-11,6
2023-10-12,7
2023-10-13,5
2023-10-14,13
2023-10-15,12
2023-10-16,7
2023-10-17,7
2023-10-18,5
2023-10-19,9
2023-10-20,8
2023-10-21,13
2023-10-22,15
2023-10-23,8
2023-10-24,6
2023-10-25,8
2023-10-26,6
2023-10-27,7
2023-10-28,9
2023-10-29,8
2023-10-30,6
2023-10-31,4
2023-11-01,5
2023-11-02,6
2023-11-03,9
2023-11-04,11
2023-11-05,11
2023-11-06,6
2023-11-07,5
2023-11-08,6
2023-11-09,7
2023-11-10,7
2023-11-11,12
2023-11-12,12
2023-11-13,7
2023-11-14,5
2023-11-15,5
2023-11-16,5
2023-11-17,7
2023-11-18,8
2023-11-19,10
2023-11-20,5
2023-11-21,3
2023-11-22,5
2023-11-23,11
2023-11-24,14
2023-11-25,15
2023-11-26,10
2023-11-27,6
2023-11-28,4
2023-11-29,5
2023-11-30,4
2023-12-01,5
2023-12-02,7
2023-12-03,10
2023-12-04,2
2023-12-05,4
2023-12-06,6
2023-12-07,3
2023-12-08,3
2023-12-09,7
2023-12-10,5
2023-12-11,5
2023-12-12,3
2023-12-13,2
2023-12-14,4
2023-12-15,4
2023-12-16,7
2023-12-17,4
2023-12-18,3
2023-12-19,3
2023-12-20,0
2023-12-21,3
2023-12-22,0
2023-12-23,6
2023-12-24,6
2023-12-25,8
2023-12-26,6
2023-12-27,7
2023-12-28,6
2023-12-29,6
2023-12-30,8
2023-12-31,9
2024-01-01,10
2024-01-02,0
2024-01-03,4
2024-01-04,4
2024-01-05,6
2024-01-06,13
2024-01-07,9
2024-01-08,4
2024-01-09,4
2024-01-10,3
2024-01-11,4
2024-01-12,6
2024-01-13,8
2024-01-14,10
2024-01-15,6
2024-01-16,5
2024-01-17,7
2024-01-18,5
2024-01-19,5
2024-01-20,9
