Time,twisters
2022-01-01,60.0
2022-01-02,58.0
2022-01-03,58.0
2022-01-04,68.0
2022-01-05,58.0
2022-01-06,46.0
2022-01-07,55.0
2022-01-08,61.0
2022-01-09,59.0
2022-01-10,51.0
2022-01-11,57.0
2022-01-12,66.0
2022-01-13,82.0
2022-01-14,59.0
2022-01-15,51.0
2022-01-16,53.0
2022-01-17,49.0
2022-01-18,56.0
2022-01-19,52.0
2022-01-20,63.0
2022-01-21,59.0
2022-01-22,72.0
2022-01-23,67.0
2022-01-24,50.0
2022-01-25,55.0
2022-01-26,62.0
2022-01-27,61.0
2022-01-28,70.0
2022-01-29,67.0
2022-01-30,76.0
2022-01-31,62.0
2022-02-01,55.0
2022-02-02,69.0
2022-02-03,77.0
2022-02-04,72.0
2022-02-05,77.0
2022-02-06,80.0
2022-02-07,52.0
2022-02-08,69.0
2022-02-09,61.0
2022-02-10,50.0
2022-02-11,75.0
2022-02-12,76.0
2022-02-13,72.0
2022-02-14,52.0
2022-02-15,74.0
2022-02-16,59.0
2022-02-17,64.0
2022-02-18,66.0
2022-02-19,82.0
2022-02-20,69.0
2022-02-21,67.0
2022-02-22,74.0
2022-02-23,72.0
2022-02-24,59.0
2022-02-25,56.0
2022-02-26,79.0
2022-02-27,75.0
2022-02-28,70.0
2022-03-01,68.0
2022-03-02,61.0
2022-03-03,74.0
2022-03-04,50.0
2022-03-05,74.0
2022-03-06,78.0
2022-03-07,64.0
2022-03-08,62.0
2022-03-09,59.0
2022-03-10,71.0
2022-03-11,56.0
2022-03-12,66.0
2022-03-13,86.0
2022-03-14,72.0
2022-03-15,68.0
2022-03-16,80.0
2022-03-17,70.0
2022-03-18,63.0
2022-03-19,69.0
2022-03-20,80.0
2022-03-21,75.0
2022-03-22,75.0
2022-03-23,71.0
2022-03-24,61.0
2022-03-25,82.0
2022-03-26,89.0
2022-03-27,76.0
2022-03-28,70.0
2022-03-29,64.0
2022-03-30,83.0
2022-03-31,80.0
2022-04-01,87.0
2022-04-02,73.0
2022-04-03,59.0
2022-04-04,70.0
2022-04-05,83.0
2022-04-06,72.0
2022-04-07,84.0
2022-04-08,84.0
2022-04-09,83.0
2022-04-10,79.0
2022-04-11,79.0
2022-04-12,80.0
2022-04-13,73.0
2022-04-14,78.0
2022-04-15,80.0
2022-04-16,72.0
2022-04-17,91.0
2022-04-18,65.0
2022-04-19,79.0
2022-04-20,73.0
2022-04-21,75.0
2022-04-22,71.0
2022-04-23,78.0
2022-04-24,97.0
2022-04-25,83.0
2022-04-26,88.0
2022-04-27,80.0
2022-04-28,71.0
2022-04-29,87.0
2022-04-30,70.0
2022-05-01,81.0
2022-05-02,86.0
2022-05-03,88.0
2022-05-04,78.0
2022-05-05,79.0
2022-05-06,86.0
2022-05-07,77.0
2022-05-08,85.0
2022-05-09,79.0
2022-05-10,77.0
2022-05-11,79.0
2022-05-12,85.0
2022-05-13,79.0
2022-05-14,81.0
2022-05-15,76.0
2022-05-16,79.0
2022-05-17,76.0
2022-05-18,66.0
2022-05-19,73.0
2022-05-20,70.0
2022-05-21,80.0
2022-05-22,74.0
2022-05-23,65.0
2022-05-24,85.0
2022-05-25,53.0
2022-05-26,70.0
2022-05-27,74.0
2022-05-28,87.0
2022-05-29,99.0
2022-05-30,82.0
2022-05-31,78.0
2022-06-01,66.0
2022-06-02,63.0
2022-06-03,73.0
2022-06-04,64.0
2022-06-05,83.0
2022-06-06,77.0
2022-06-07,76.0
2022-06-08,71.0
2022-06-09,82.0
2022-06-10,63.0
2022-06-11,69.0
2022-06-12,79.0
2022-06-13,69.0
2022-06-14,63.0
2022-06-15,74.0
2022-06-16,70.0
2022-06-17,66.0
2022-06-18,68.0
2022-06-19,100.0
2022-06-20,59.0
2022-06-21,71.0
2022-06-22,64.0
2022-06-23,62.0
2022-06-24,62.0
2022-06-25,76.0
2022-06-26,74.0
2022-06-27,61.0
2022-06-28,70.0
2022-06-29,67.0
2022-06-30,64.0
2022-07-01,70.0
2022-07-02,58.0
2022-07-03,61.0
2022-07-04,84.0
2022-07-05,67.0
2022-07-06,68.0
2022-07-07,61.0
2022-07-08,72.0
2022-07-09,64.0
2022-07-10,76.0
2022-07-11,63.0
2022-07-12,69.0
2022-07-13,71.0
2022-07-14,70.0
2022-07-15,67.0
2022-07-16,78.0
2022-07-17,69.0
2022-07-18,84.0
2022-07-19,72.0
2022-07-20,76.0
2022-07-21,64.0
2022-07-22,68.0
2022-07-23,76.0
2022-07-24,66.0
2022-07-25,75.0
2022-07-26,69.0
2022-07-27,77.0
2022-07-28,70.0
2022-07-29,72.0
2022-07-30,73.0
2022-07-31,95.0
2022-08-01,63.0
2022-08-02,63.0
2022-08-03,59.0
2022-08-04,67.0
2022-08-05,70.0
2022-08-06,68.0
2022-08-07,68.0
2022-08-08,71.0
2022-08-09,64.0
2022-08-10,68.0
2022-08-11,75.0
2022-08-12,70.0
2022-08-13,73.0
2022-08-14,68.0
2022-08-15,74.0
2022-08-16,70.0
2022-08-17,77.0
2022-08-18,69.0
2022-08-19,74.0
2022-08-20,70.0
2022-08-21,81.0
2022-08-22,66.0
2022-08-23,66.0
2022-08-24,67.0
2022-08-25,54.0
2022-08-26,75.0
2022-08-27,72.0
2022-08-28,69.0
2022-08-29,64.29929851909587
2022-08-30,69.99090672902052
2022-08-31,55.08898415172772
2022-09-01,73.50961288646403
2022-09-02,61.953494414133544
2022-09-03,72.83671083398286
2022-09-04,64.29929851909587
2022-09-05,82.047025201351
2022-09-06,61.453494414133544
2022-09-07,65.97220057157703
2022-09-08,67.1451026240582
2022-09-09,63.12639646661471
2022-09-10,51.07027799428423
2022-09-11,74.00961288646403
2022-09-12,61.953494414133544
2022-09-13,67.1451026240582
2022-09-14,69.99090672902052
2022-09-15,69.99090672902052
2022-09-16,74.00961288646403
2022-09-17,61.953494414133544
2022-09-18,63.12639646661471
2022-09-19,57.934788256690055
2022-09-20,67.6451026240582
2022-09-21,64.79929851909587
2022-09-22,64.29929851909587
2022-09-23,57.934788256690055
2022-09-24,68.81800467653936
2022-09-25,59.10769030917122
2022-09-26,69.99090672902052
2022-09-27,64.79929851909587
2022-09-28,67.2902052481164
2022-09-29,67.2902052481164
2022-09-30,61.90698882826709
2022-10-01,57.8695765133801
2022-10-02,72.67342166796571
2022-10-03,72.67342166796571
2022-10-04,64.59859703819174
2022-10-05,74.01922577292804
2022-10-06,51.140555988568465
2022-10-07,72.67342166796571
2022-10-08,68.63600935307872
2022-10-09,79.40244219277734
2022-10-10,68.63600935307872
2022-10-11,60.561184723304756
2022-10-12,72.67342166796571
2022-10-13,68.63600935307872
2022-10-14,74.01922577292804
2022-10-15,56.52377240841777
2022-10-16,76.71083398285269
2022-10-17,78.05663808781502
2022-10-18,131.88880228630813
2022-10-19,133.23460639127046
2022-10-20,119.77656534164718
2022-10-21,78.05663808781502
2022-10-22,82.09405040270201
2022-10-23,69.98181345804105
2022-10-24,67.2902052481164
2022-10-25,63.252792933229415
2022-10-26,63.252792933229415
2022-10-27,59.21538061834243
2022-10-28,61.90698882826709
2022-10-29,69.98181345804105
2022-10-30,67.2902052481164
2022-10-31,61.90698882826709
2022-11-01,78.05663808781502
2022-11-02,74.01922577292804
2022-11-03,67.2902052481164
2022-11-04,74.01922577292804
2022-11-05,69.98181345804105
2022-11-06,57.8695765133801
2022-11-07,59.21538061834243
2022-11-08,64.59859703819174
2022-11-09,60.561184723304756
2022-11-10,78.05663808781502
2022-11-11,60.561184723304756
2022-11-12,52.48636009353079
2022-11-13,78.05663808781502
2022-11-14,61.90698882826709
2022-11-15,68.63600935307872
2022-11-16,78.05663808781502
2022-11-17,56.52377240841777
2022-11-18,63.252792933229415
2022-11-19,59.21538061834243
2022-11-20,48.448947778643806
2022-11-21,56.52377240841777
2022-11-22,59.21538061834243
2022-11-23,53.83216419849312
2022-11-24,60.561184723304756
2022-11-25,61.90698882826709
2022-11-26,63.252792933229415
2022-11-27,60.561184723304756
2022-11-28,49.79475188360613
2022-11-29,56.52377240841777
2022-11-30,56.52377240841777
2022-12-01,59.21538061834243
2022-12-02,61.90698882826709
2022-12-03,51.140555988568465
2022-12-04,60.561184723304756
2022-12-05,72.67342166796571
2022-12-06,49.79475188360613
2022-12-07,57.8695765133801
2022-12-08,61.90698882826709
2022-12-09,59.21538061834243
2022-12-10,56.52377240841777
2022-12-11,63.252792933229415
2022-12-12,60.561184723304756
2022-12-13,52.48636009353079
2022-12-14,63.252792933229415
2022-12-15,57.8695765133801
2022-12-16,59.21538061834243
2022-12-17,55.177968303455444
2022-12-18,69.98181345804105
2022-12-19,53.83216419849312
2022-12-20,76.71083398285269
2022-12-21,65.94440114315407
2022-12-22,113.04754481683554
2022-12-23,95.55209145232529
2022-12-24,80.74824629773968
2022-12-25,71.32761756300339
2022-12-26,57.8695765133801
2022-12-27,91.51467913743829
2022-12-28,100.93530787217459
2022-12-29,91.51467913743829
2022-12-30,75.36502987789036
2022-12-31,63.252792933229415
2023-01-01,79.40244219277734
2023-01-02,67.2902052481164
2023-01-03,71.32761756300339
2023-01-04,72.67342166796571
2023-01-05,59.21538061834243
2023-01-06,75.36502987789036
2023-01-07,88.82307092751364
2023-01-08,114.39334892179788
2023-01-09,91.51467913743829
2023-01-10,79.40244219277734
2023-01-11,72.67342166796571
2023-01-12,71.32761756300339
2023-01-13,72.67342166796571
2023-01-14,90.16887503247597
2023-01-15,90.16887503247597
2023-01-16,69.98181345804105
2023-01-17,63.252792933229415
2023-01-18,68.63600935307872
2023-01-19,64.59859703819174
