Time,places to eat near me
2022-08-29,45
2022-08-30,42
2022-08-31,39
2022-09-01,44
2022-09-02,58
2022-09-03,91
2022-09-04,93
2022-09-05,74
2022-09-06,38
2022-09-07,35
2022-09-08,38
2022-09-09,50
2022-09-10,88
2022-09-11,71
2022-09-12,40
2022-09-13,38
2022-09-14,39
2022-09-15,42
2022-09-16,55
2022-09-17,93
2022-09-18,72
2022-09-19,41
2022-09-20,40
2022-09-21,39
2022-09-22,40
2022-09-23,56
2022-09-24,93
2022-09-25,74
2022-09-26,39
2022-09-27,39
2022-09-28,37
2022-09-29,44
2022-09-30,52
2022-10-01,82
2022-10-02,68
2022-10-03,38
2022-10-04,39
2022-10-05,39
2022-10-06,43
2022-10-07,58
2022-10-08,95
2022-10-09,80
2022-10-10,50
2022-10-11,40
2022-10-12,39
2022-10-13,40
2022-10-14,56
2022-10-15,93
2022-10-16,75
2022-10-17,41
2022-10-18,37
2022-10-19,38
2022-10-20,42
2022-10-21,55
2022-10-22,86
2022-10-23,77
2022-10-24,38
2022-10-25,36
2022-10-26,34
2022-10-27,40
2022-10-28,51
2022-10-29,78
2022-10-30,65
2022-10-31,37
2022-11-01,36
2022-11-02,36
2022-11-03,37
2022-11-04,49
2022-11-05,79
2022-11-06,62
2022-11-07,35
2022-11-08,37
2022-11-09,32
2022-11-10,37
2022-11-11,57
2022-11-12,80
2022-11-13,63
2022-11-14,33
2022-11-15,34
2022-11-16,31
2022-11-17,32
2022-11-18,48
2022-11-19,75
2022-11-20,59
2022-11-21,39
2022-11-22,37
2022-11-23,43
2022-11-24,42
2022-11-25,51
2022-11-26,59
2022-11-27,55
2022-11-28,27
2022-11-29,26
2022-11-30,27
2022-12-01,32
2022-12-02,40
2022-12-03,71
2022-12-04,57
2022-12-05,35
2022-12-06,30
2022-12-07,32
2022-12-08,33
2022-12-09,42
2022-12-10,72
2022-12-11,64
2022-12-12,34
2022-12-13,27
2022-12-14,27
2022-12-15,29
2022-12-16,43
2022-12-17,68
2022-12-18,62
2022-12-19,38
2022-12-20,38
2022-12-21,36
2022-12-22,39
2022-12-23,38
2022-12-24,39
2022-12-25,63
2022-12-26,62
2022-12-27,52
2022-12-28,53
2022-12-29,55
2022-12-30,63
2022-12-31,63
2023-01-01,71
2023-01-02,56
2023-01-03,34
2023-01-04,35
2023-01-05,36
2023-01-06,43
2023-01-07,70
2023-01-08,60
2023-01-09,35
2023-01-10,33
2023-01-11,35
2023-01-12,34
2023-01-13,43
2023-01-14,75
2023-01-15,65
2023-01-16,49
2023-01-17,32
2023-01-18,31
2023-01-19,32
2023-01-20,43
2023-01-21,75
2023-01-22,61
2023-01-23,32
2023-01-24,33
2023-01-25,28
2023-01-26,33
2023-01-27,46
2023-01-28,78
2023-01-29,61
2023-01-30,30
2023-01-31,28
2023-02-01,31
2023-02-02,33
2023-02-03,45
2023-02-04,79
2023-02-05,68
2023-02-06,33
2023-02-07,34
2023-02-08,33
2023-02-09,34
2023-02-10,49
2023-02-11,86
2023-02-12,55
2023-02-13,35
2023-02-14,48
2023-02-15,46
2023-02-16,36
2023-02-17,52
2023-02-18,100
2023-02-19,86
2023-02-20,53
2023-02-21,38
2023-02-22,38
2023-02-23,38
2023-02-24,54
2023-02-25,88
2023-02-26,78
2023-02-27,39
2023-02-28,37
2023-03-01,33
2023-03-02,38
2023-03-03,48
2023-03-04,88
2023-03-05,79
2023-03-06,41
2023-03-07,36
2023-03-08,38
2023-03-09,40
2023-03-10,52
2023-03-11,89
2023-03-12,80
2023-03-13,46
2023-03-14,43
2023-03-15,48
2023-03-16,47
2023-03-17,61
2023-03-18,99
2023-03-19,80
2023-03-20,40
2023-03-21,37
2023-03-22,38
2023-03-23,46
2023-03-24,66
2023-03-25,93
2023-03-26,80
2023-03-27,43
2023-03-28,36
2023-03-29,38
2023-03-30,43
2023-03-31,55
2023-04-01,92
2023-04-02,82
2023-04-03,44
2023-04-04,41
2023-04-05,42
2023-04-06,46
2023-04-07,65
2023-04-08,78
2023-04-09,66
2023-04-10,48
2023-04-11,40
2023-04-12,40
2023-04-13,45
2023-04-14,59
2023-04-15,92
2023-04-16,74
2023-04-17,40
2023-04-18,36
2023-04-19,37
2023-04-20,42
2023-04-21,56
2023-04-22,94
2023-04-23,75
2023-04-24,38
2023-04-25,36
2023-04-26,39
2023-04-27,39
2023-04-28,53
2023-04-29,85
2023-04-30,76
2023-05-01,37
2023-05-02,34
2023-05-03,36
2023-05-04,40
2023-05-05,50
2023-05-06,85
2023-05-07,73
2023-05-08,39
2023-05-09,37
2023-05-10,38
2023-05-11,40
2023-05-12,54
2023-05-13,86
2023-05-14,89
2023-05-15,41
2023-05-16,39
2023-05-17,41
2023-05-18,43
2023-05-19,57
2023-05-20,95
2023-05-21,81
2023-05-22,45
2023-05-23,43
2023-05-24,42
2023-05-25,48
