Time,places to eat near me
2023-12-22,54
2023-12-23,65
2023-12-24,50
2023-12-25,63
2023-12-26,62
2023-12-27,61
2023-12-28,65
2023-12-29,70
2023-12-30,80
2023-12-31,70
2024-01-01,73
2024-01-02,48
2024-01-03,40
2024-01-04,45
2024-01-05,47
2024-01-06,73
2024-01-07,62
2024-01-08,34
2024-01-09,32
2024-01-10,37
2024-01-11,39
2024-01-12,46
2024-01-13,75
2024-01-14,64
2024-01-15,46
2024-01-16,32
2024-01-17,32
2024-01-18,34
2024-01-19,38
2024-01-20,67
2024-01-21,52
2024-01-22,29
2024-01-23,33
2024-01-24,33
2024-01-25,33
2024-01-26,45
2024-01-27,78
2024-01-28,57
2024-01-29,33
2024-01-30,33
2024-01-31,30
2024-02-01,34
2024-02-02,43
2024-02-03,79
2024-02-04,64
2024-02-05,31
2024-02-06,31
2024-02-07,33
2024-02-08,36
2024-02-09,49
2024-02-10,78
2024-02-11,53
2024-02-12,30
2024-02-13,35
2024-02-14,46
2024-02-15,45
2024-02-16,48
2024-02-17,91
2024-02-18,80
2024-02-19,48
2024-02-20,35
2024-02-21,37
2024-02-22,38
2024-02-23,51
2024-02-24,96
2024-02-25,80
2024-02-26,38
2024-02-27,34
2024-02-28,36
2024-02-29,38
2024-03-01,46
2024-03-02,94
2024-03-03,77
2024-03-04,40
2024-03-05,34
2024-03-06,34
2024-03-07,37
2024-03-08,53
2024-03-09,90
2024-03-10,77
2024-03-11,40
2024-03-12,41
2024-03-13,45
2024-03-14,45
2024-03-15,60
2024-03-16,100
2024-03-17,80
2024-03-18,43
2024-03-19,37
2024-03-20,41
2024-03-21,43
2024-03-22,60
2024-03-23,91
2024-03-24,77
2024-03-25,45
2024-03-26,37
2024-03-27,44
2024-03-28,47
2024-03-29,64
2024-03-30,79
2024-03-31,64
2024-04-01,47
2024-04-02,41
2024-04-03,42
2024-04-04,43
2024-04-05,59
2024-04-06,92
2024-04-07,68
2024-04-08,38
2024-04-09,39
2024-04-10,39
2024-04-11,39
2024-04-12,54
2024-04-13,95
2024-04-14,79
2024-04-15,37
2024-04-16,39
2024-04-17,35
2024-04-18,38
2024-04-19,56
2024-04-20,100
2024-04-21,80
2024-04-22,42
2024-04-23,39
2024-04-24,38
2024-04-25,40
2024-04-26,59
2024-04-27,87
2024-04-28,74
2024-04-29,39
2024-04-30,35
2024-05-01,36
2024-05-02,41
2024-05-03,58
2024-05-04,83
2024-05-05,69
2024-05-06,41
2024-05-07,38
2024-05-08,37
2024-05-09,42
2024-05-10,58
2024-05-11,93
2024-05-12,87
2024-05-13,43
2024-05-14,40
2024-05-15,37
2024-05-16,44
2024-05-17,58
2024-05-18,84
2024-05-19,74
2024-05-20,42
2024-05-21,41
2024-05-22,41
2024-05-23,45
2024-05-24,61
2024-05-25,97
2024-05-26,86
2024-05-27,70
2024-05-28,41
2024-05-29,41
2024-05-30,48
2024-05-31,61
2024-06-01,92
2024-06-02,79
2024-06-03,46
2024-06-04,42
2024-06-05,46
2024-06-06,49
2024-06-07,62
2024-06-08,96
2024-06-09,82
2024-06-10,52
2024-06-11,49
2024-06-12,46
2024-06-13,52
2024-06-14,64
2024-06-15,93
2024-06-16,83
2024-06-17,49
2024-06-18,47
2024-06-19,52
2024-06-20,48
2024-06-21,72
2024-06-22,83
2024-06-23,80
2024-06-24,52
2024-06-25,49
2024-06-26,49
2024-06-27,55
2024-06-28,65
2024-06-29,94
2024-06-30,77
2024-07-01,52
2024-07-02,50
2024-07-03,55
2024-07-04,77
2024-07-05,80
2024-07-06,83
2024-07-07,78
2024-07-08,48
2024-07-09,46
2024-07-10,47
2024-07-11,56
2024-07-12,68
2024-07-13,83
2024-07-14,79
2024-07-15,44
2024-07-16,47
2024-07-17,49
2024-07-18,56
2024-07-19,68
2024-07-20,95
2024-07-21,76
2024-07-22,50
2024-07-23,47
2024-07-24,49
2024-07-25,56
2024-07-26,67
2024-07-27,93
2024-07-28,74
2024-07-29,47
2024-07-30,43
2024-07-31,45
2024-08-01,49
2024-08-02,63
2024-08-03,78
2024-08-04,79
2024-08-05,47
2024-08-06,43
2024-08-07,41
2024-08-08,45
2024-08-09,58
2024-08-10,81
2024-08-11,77
2024-08-12,42
2024-08-13,45
2024-08-14,42
2024-08-15,45
2024-08-16,60
2024-08-17,87
2024-08-18,74
2024-08-19,39
2024-08-20,40
2024-08-21,39
2024-08-22,46
2024-08-23,57
2024-08-24,85
2024-08-25,73
2024-08-26,38
2024-08-27,37
2024-08-28,34
2024-08-29,39
2024-08-30,54
2024-08-31,83
2024-09-01,84
2024-09-02,68
2024-09-03,32
2024-09-04,31
2024-09-05,36
2024-09-06,44
2024-09-07,74
2024-09-08,64
2024-09-09,32
2024-09-10,32
2024-09-11,34
2024-09-12,38
2024-09-13,48
2024-09-14,78
2024-09-15,61
2024-09-16,34
