Time,the whale
2025-12-11,67
2025-12-12,60
2025-12-13,52
2025-12-14,58
2025-12-15,56
2025-12-16,56
2025-12-17,61
2025-12-18,58
2025-12-19,51
2025-12-20,48
2025-12-21,57
2025-12-22,51
2025-12-23,53
2025-12-24,53
2025-12-25,57
2025-12-26,60
2025-12-27,61
2025-12-28,59
2025-12-29,57
2025-12-30,56
2025-12-31,57
2026-01-01,59
2026-01-02,65
2026-01-03,63
2026-01-04,67
2026-01-05,56
2026-01-06,58
2026-01-07,60
2026-01-08,64
2026-01-09,72
2026-01-10,67
2026-01-11,67
2026-01-12,66
2026-01-13,63
2026-01-14,68
2026-01-15,60
2026-01-16,66
2026-01-17,65
2026-01-18,68
2026-01-19,67
2026-01-20,65
2026-01-21,69
2026-01-22,70
2026-01-23,66
2026-01-24,66
2026-01-25,73
2026-01-26,70
2026-01-27,66
2026-01-28,63
2026-01-29,69
2026-01-30,68
2026-01-31,77
2026-02-01,82
2026-02-02,78
2026-02-03,73
2026-02-04,77
2026-02-05,88
2026-02-06,74
2026-02-07,81
2026-02-08,79
2026-02-09,69
2026-02-10,78
2026-02-11,76
2026-02-12,81
2026-02-13,72
2026-02-14,78
2026-02-15,83
2026-02-16,75
2026-02-17,75
2026-02-18,75
2026-02-19,85
2026-02-20,78
2026-02-21,83
2026-02-22,80
2026-02-23,85
2026-02-24,74
2026-02-25,80
2026-02-26,100
2026-02-27,98
2026-02-28,66
2026-03-01,65
2026-03-02,75
2026-03-03,76
2026-03-04,74
2026-03-05,82
2026-03-06,80
2026-03-07,74
2026-03-08,75
2026-03-09,76
2026-03-10,77
2026-03-11,76
2026-03-12,74
2026-03-13,66
2026-03-14,71
2026-03-15,76
2026-03-16,67
2026-03-17,75
2026-03-18,75
2026-03-19,80
2026-03-20,75
2026-03-21,70
2026-03-22,77
2026-03-23,75
2026-03-24,68
2026-03-25,70
2026-03-26,74
2026-03-27,80
2026-03-28,70
2026-03-29,79
2026-03-30,72
2026-03-31,77
2026-04-01,74
2026-04-02,72
2026-04-03,67
2026-04-04,80
2026-04-05,76
2026-04-06,74
2026-04-07,69
2026-04-08,73
2026-04-09,84
2026-04-10,73
2026-04-11,76
2026-04-12,75
2026-04-13,78
2026-04-14,73
2026-04-15,79
2026-04-16,78
2026-04-17,91
2026-04-18,77
2026-04-19,81
2026-04-20,80
2026-04-21,78
2026-04-22,83
2026-04-23,88
2026-04-24,75
2026-04-25,62
2026-04-26,81
2026-04-27,79
2026-04-28,81
2026-04-29,89
2026-04-30,100
2026-05-01,84
2026-05-02,79
2026-05-03,81
2026-05-04,88
2026-05-05,93
2026-05-06,91
2026-05-07,92
2026-05-08,81
2026-05-09,82
2026-05-10,79
2026-05-11,88
2026-05-12,81
2026-05-13,87
2026-05-14,78
2026-05-15,84
2026-05-16,81
2026-05-17,81
2026-05-18,80
2026-05-19,80
2026-05-20,79
2026-05-21,74
2026-05-22,80
2026-05-23,90
2026-05-24,89
2026-05-25,89
2026-05-26,85
2026-05-27,78
2026-05-28,78
2026-05-29,77
2026-05-30,78
2026-05-31,92
