Time,the whale
2023-04-26,56
2023-04-27,52
2023-04-28,51
2023-04-29,60
2023-04-30,65
2023-05-01,52
2023-05-02,46
2023-05-03,48
2023-05-04,49
2023-05-05,48
2023-05-06,48
2023-05-07,58
2023-05-08,55
2023-05-09,50
2023-05-10,48
2023-05-11,49
2023-05-12,48
2023-05-13,47
2023-05-14,52
2023-05-15,49
2023-05-16,45
2023-05-17,43
2023-05-18,48
2023-05-19,46
2023-05-20,50
2023-05-21,49
2023-05-22,49
2023-05-23,43
2023-05-24,44
2023-05-25,46
2023-05-26,41
2023-05-27,45
2023-05-28,51
2023-05-29,51
2023-05-30,42
2023-05-31,38
2023-06-01,39
2023-06-02,38
2023-06-03,46
2023-06-04,51
2023-06-05,43
2023-06-06,43
2023-06-07,40
2023-06-08,40
2023-06-09,36
2023-06-10,44
2023-06-11,51
2023-06-12,42
2023-06-13,37
2023-06-14,37
2023-06-15,36
2023-06-16,37
2023-06-17,46
2023-06-18,50
2023-06-19,44
2023-06-20,44
2023-06-21,59
2023-06-22,66
2023-06-23,55
2023-06-24,56
2023-06-25,52
2023-06-26,42
2023-06-27,39
2023-06-28,42
2023-06-29,49
2023-06-30,42
2023-07-01,41
2023-07-02,53
2023-07-03,44
2023-07-04,46
2023-07-05,100
2023-07-06,53
2023-07-07,43
2023-07-08,48
2023-07-09,62
2023-07-10,47
2023-07-11,38
2023-07-12,36
2023-07-13,39
2023-07-14,41
2023-07-15,49
2023-07-16,53
2023-07-17,40
2023-07-18,33
2023-07-19,35
2023-07-20,36
2023-07-21,34
2023-07-22,40
2023-07-23,50
2023-07-24,39
2023-07-25,36
2023-07-26,34
2023-07-27,36
2023-07-28,34
2023-07-29,43
2023-07-30,46
2023-07-31,33
2023-08-01,32
2023-08-02,38
2023-08-03,42
2023-08-04,43
2023-08-05,48
2023-08-06,56
2023-08-07,44
2023-08-08,36
2023-08-09,45
2023-08-10,39
2023-08-11,38
2023-08-12,49
2023-08-13,81
2023-08-14,48
2023-08-15,41
2023-08-16,40
2023-08-17,36
2023-08-18,42
2023-08-19,78
2023-08-20,84
2023-08-21,61
2023-08-22,49
2023-08-23,46
2023-08-24,39
2023-08-25,48
2023-08-26,54
2023-08-27,59
2023-08-28,45
2023-08-29,50
2023-08-30,44
2023-08-31,41
2023-09-01,39
2023-09-02,46
2023-09-03,65
2023-09-04,52
2023-09-05,40
2023-09-06,34
2023-09-07,38
2023-09-08,33
2023-09-09,39
2023-09-10,42
2023-09-11,37
2023-09-12,36
2023-09-13,38
2023-09-14,34
2023-09-15,33
2023-09-16,44
2023-09-17,52
2023-09-18,40
2023-09-19,41
2023-09-20,42
2023-09-21,38
2023-09-22,36
2023-09-23,41
2023-09-24,43
2023-09-25,38
2023-09-26,37
2023-09-27,34
2023-09-28,34
2023-09-29,32
2023-09-30,36
2023-10-01,39
2023-10-02,38
2023-10-03,32
2023-10-04,34
2023-10-05,29
2023-10-06,35
2023-10-07,31
2023-10-08,32
2023-10-09,30
2023-10-10,29
2023-10-11,33
2023-10-12,31
2023-10-13,30
2023-10-14,31
2023-10-15,32
2023-10-16,29
2023-10-17,29
2023-10-18,30
2023-10-19,37
2023-10-20,34
2023-10-21,37
2023-10-22,39
2023-10-23,32
2023-10-24,33
2023-10-25,28
2023-10-26,31
2023-10-27,32
2023-10-28,31
2023-10-29,31
2023-10-30,33
2023-10-31,30
2023-11-01,28
2023-11-02,28
2023-11-03,32
2023-11-04,34
2023-11-05,32
2023-11-06,32
2023-11-07,31
2023-11-08,31
2023-11-09,34
2023-11-10,28
2023-11-11,32
2023-11-12,31
2023-11-13,33
2023-11-14,34
2023-11-15,32
2023-11-16,29
2023-11-17,34
2023-11-18,38
2023-11-19,35
2023-11-20,33
2023-11-21,35
2023-11-22,29
2023-11-23,39
2023-11-24,42
2023-11-25,38
2023-11-26,35
2023-11-27,33
2023-11-28,35
2023-11-29,33
2023-11-30,33
2023-12-01,28
2023-12-02,30
2023-12-03,33
2023-12-04,36
2023-12-05,36
2023-12-06,31
2023-12-07,34
2023-12-08,32
2023-12-09,30
2023-12-10,32
2023-12-11,35
2023-12-12,34
2023-12-13,33
2023-12-14,33
2023-12-15,30
2023-12-16,33
2023-12-17,30
2023-12-18,29
2023-12-19,31
2023-12-20,28
2023-12-21,27
2023-12-22,28
2023-12-23,32
2023-12-24,30
2023-12-25,28
2023-12-26,32
2023-12-27,33
2023-12-28,27
2023-12-29,29
2023-12-30,36
2023-12-31,36
2024-01-01,41
2024-01-02,36
2024-01-03,33
2024-01-04,30
2024-01-05,29
2024-01-06,35
2024-01-07,33
2024-01-08,33
2024-01-09,29
2024-01-10,36
2024-01-11,35
2024-01-12,32
2024-01-13,31
2024-01-14,36
2024-01-15,35
2024-01-16,30
2024-01-17,30
2024-01-18,32
2024-01-19,30
2024-01-20,37
