Time,dollar tree
2022-01-01,49
2022-01-02,40
2022-01-03,33
2022-01-04,42
2022-01-05,34
2022-01-06,29
2022-01-07,34
2022-01-08,41
2022-01-09,42
2022-01-10,34
2022-01-11,35
2022-01-12,36
2022-01-13,29
2022-01-14,30
2022-01-15,39
2022-01-16,36
2022-01-17,35
2022-01-18,30
2022-01-19,31
2022-01-20,31
2022-01-21,33
2022-01-22,40
2022-01-23,42
2022-01-24,42
2022-01-25,28
2022-01-26,30
2022-01-27,33
2022-01-28,33
2022-01-29,41
2022-01-30,45
2022-01-31,37
2022-02-01,35
2022-02-02,34
2022-02-03,33
2022-02-04,36
2022-02-05,40
2022-02-06,50
2022-02-07,40
2022-02-08,39
2022-02-09,40
2022-02-10,36
2022-02-11,50
2022-02-12,61
2022-02-13,76
2022-02-14,67
2022-02-15,36
2022-02-16,33
2022-02-17,33
2022-02-18,32
2022-02-19,46
2022-02-20,52
2022-02-21,44
2022-02-22,34
2022-02-23,32
2022-02-24,32
2022-02-25,32
2022-02-26,44
2022-02-27,49
2022-02-28,35
2022-03-01,33
2022-03-02,35
2022-03-03,35
2022-03-04,36
2022-03-05,45
2022-03-06,48
2022-03-07,37
2022-03-08,34
2022-03-09,34
2022-03-10,35
2022-03-11,35
2022-03-12,42
2022-03-13,44
2022-03-14,35
2022-03-15,34
2022-03-16,44
2022-03-17,38
2022-03-18,36
2022-03-19,48
2022-03-20,48
2022-03-21,33
2022-03-22,34
2022-03-23,33
2022-03-24,34
2022-03-25,35
2022-03-26,46
2022-03-27,49
2022-03-28,31
2022-03-29,31
2022-03-30,34
2022-03-31,33
2022-04-01,35
2022-04-02,47
2022-04-03,50
2022-04-04,37
2022-04-05,31
2022-04-06,34
2022-04-07,36
2022-04-08,39
2022-04-09,49
2022-04-10,52
2022-04-11,39
2022-04-12,38
2022-04-13,39
2022-04-14,41
2022-04-15,49
2022-04-16,65
2022-04-17,100
2022-04-18,33
2022-04-19,34
2022-04-20,33
2022-04-21,33
2022-04-22,36
2022-04-23,43
2022-04-24,49
2022-04-25,37
2022-04-26,34
2022-04-27,36
2022-04-28,36
2022-04-29,37
2022-04-30,49
2022-05-01,55
2022-05-02,39
2022-05-03,38
2022-05-04,41
2022-05-05,40
2022-05-06,45
2022-05-07,62
2022-05-08,72
2022-05-09,35
2022-05-10,36
2022-05-11,37
2022-05-12,36
2022-05-13,39
2022-05-14,52
2022-05-15,56
2022-05-16,35
2022-05-17,39
2022-05-18,35
2022-05-19,39
2022-05-20,43
2022-05-21,54
2022-05-22,57
2022-05-23,39
2022-05-24,39
2022-05-25,39
2022-05-26,44
2022-05-27,44
2022-05-28,51
2022-05-29,59
2022-05-30,58
2022-05-31,37
2022-06-01,38
2022-06-02,42
2022-06-03,45
2022-06-04,57
2022-06-05,58
2022-06-06,41
2022-06-07,41
2022-06-08,42
2022-06-09,43
2022-06-10,47
2022-06-11,54
2022-06-12,57
2022-06-13,43
2022-06-14,43
2022-06-15,43
2022-06-16,42
2022-06-17,47
2022-06-18,68
2022-06-19,70
2022-06-20,41
2022-06-21,40
2022-06-22,39
2022-06-23,39
2022-06-24,46
2022-06-25,54
2022-06-26,58
2022-06-27,41
2022-06-28,38
2022-06-29,42
2022-06-30,42
2022-07-01,44
2022-07-02,57
2022-07-03,61
2022-07-04,75
2022-07-05,36
2022-07-06,38
2022-07-07,41
2022-07-08,44
2022-07-09,54
2022-07-10,57
2022-07-11,42
2022-07-12,40
2022-07-13,37
2022-07-14,42
2022-07-15,46
2022-07-16,54
2022-07-17,55
2022-07-18,44
2022-07-19,41
2022-07-20,40
2022-07-21,40
2022-07-22,42
2022-07-23,52
2022-07-24,58
2022-07-25,41
2022-07-26,39
2022-07-27,44
2022-07-28,42
2022-07-29,45
2022-07-30,52
2022-07-31,57
2022-08-01,43
2022-08-02,44
2022-08-03,45
2022-08-04,45
2022-08-05,46
2022-08-06,56
2022-08-07,61
2022-08-08,44
2022-08-09,44
2022-08-10,41
2022-08-11,41
2022-08-12,48
2022-08-13,57
2022-08-14,62
2022-08-15,45
2022-08-16,44
2022-08-17,44
2022-08-18,41
2022-08-19,46
2022-08-20,56
2022-08-21,60
2022-08-22,42
2022-08-23,44
2022-08-24,41
2022-08-25,45
2022-08-26,46
2022-08-27,57
2022-08-28,64
2022-08-29,39
2022-08-30,41
2022-08-31,38
2022-09-01,41
2022-09-02,45
2022-09-03,55
2022-09-04,65
2022-09-05,61
2022-09-06,39
2022-09-07,38
2022-09-08,37
2022-09-09,42
2022-09-10,53
2022-09-11,56
2022-09-12,41
2022-09-13,39
2022-09-14,39
2022-09-15,41
2022-09-16,46
2022-09-17,54
2022-09-18,57
2022-09-19,37
2022-09-20,38
2022-09-21,39
2022-09-22,41
2022-09-23,44
2022-09-24,55
2022-09-25,60
2022-09-26,40
2022-09-27,40
