Time,dollar tree
2022-08-29,33
2022-08-30,35
2022-08-31,32
2022-09-01,35
2022-09-02,38
2022-09-03,46
2022-09-04,55
2022-09-05,52
2022-09-06,33
2022-09-07,32
2022-09-08,31
2022-09-09,36
2022-09-10,45
2022-09-11,47
2022-09-12,34
2022-09-13,33
2022-09-14,33
2022-09-15,34
2022-09-16,39
2022-09-17,46
2022-09-18,48
2022-09-19,31
2022-09-20,32
2022-09-21,33
2022-09-22,34
2022-09-23,37
2022-09-24,46
2022-09-25,51
2022-09-26,33
2022-09-27,34
2022-09-28,33
2022-09-29,32
2022-09-30,35
2022-10-01,45
2022-10-02,46
2022-10-03,34
2022-10-04,34
2022-10-05,34
2022-10-06,37
2022-10-07,38
2022-10-08,46
2022-10-09,49
2022-10-10,35
2022-10-11,32
2022-10-12,32
2022-10-13,32
2022-10-14,36
2022-10-15,45
2022-10-16,48
2022-10-17,31
2022-10-18,33
2022-10-19,34
2022-10-20,35
2022-10-21,36
2022-10-22,46
2022-10-23,51
2022-10-24,35
2022-10-25,35
2022-10-26,37
2022-10-27,39
2022-10-28,39
2022-10-29,50
2022-10-30,54
2022-10-31,41
2022-11-01,27
2022-11-02,32
2022-11-03,33
2022-11-04,36
2022-11-05,43
2022-11-06,47
2022-11-07,36
2022-11-08,34
2022-11-09,32
2022-11-10,34
2022-11-11,38
2022-11-12,47
2022-11-13,51
2022-11-14,35
2022-11-15,35
2022-11-16,35
2022-11-17,37
2022-11-18,39
2022-11-19,49
2022-11-20,51
2022-11-21,38
2022-11-22,41
2022-11-23,51
2022-11-24,96
2022-11-25,37
2022-11-26,44
2022-11-27,51
2022-11-28,38
2022-11-29,35
2022-11-30,39
2022-12-01,40
2022-12-02,42
2022-12-03,51
2022-12-04,57
2022-12-05,40
2022-12-06,41
2022-12-07,40
2022-12-08,42
2022-12-09,38
2022-12-10,49
2022-12-11,56
2022-12-12,42
2022-12-13,41
2022-12-14,42
2022-12-15,42
2022-12-16,44
2022-12-17,53
2022-12-18,57
2022-12-19,45
2022-12-20,47
2022-12-21,51
2022-12-22,50
2022-12-23,53
2022-12-24,100
2022-12-25,68
2022-12-26,29
2022-12-27,28
2022-12-28,27
2022-12-29,32
2022-12-30,32
2022-12-31,46
2023-01-01,48
2023-01-02,35
2023-01-03,27
2023-01-04,29
2023-01-05,28
2023-01-06,29
2023-01-07,36
2023-01-08,40
2023-01-09,29
2023-01-10,27
2023-01-11,28
2023-01-12,27
2023-01-13,28
2023-01-14,37
2023-01-15,40
2023-01-16,36
2023-01-17,27
2023-01-18,27
2023-01-19,27
2023-01-20,29
2023-01-21,39
2023-01-22,39
2023-01-23,31
2023-01-24,27
2023-01-25,26
2023-01-26,28
2023-01-27,31
2023-01-28,40
2023-01-29,39
2023-01-30,29
2023-01-31,29
2023-02-01,29
2023-02-02,32
2023-02-03,32
2023-02-04,41
2023-02-05,46
2023-02-06,32
2023-02-07,32
2023-02-08,34
2023-02-09,34
2023-02-10,38
2023-02-11,50
2023-02-12,55
2023-02-13,45
2023-02-14,61
2023-02-15,28
2023-02-16,28
2023-02-17,29
2023-02-18,37
2023-02-19,40
2023-02-20,34
2023-02-21,26
2023-02-22,26
2023-02-23,27
2023-02-24,29
2023-02-25,37
2023-02-26,41
2023-02-27,27
2023-02-28,26
2023-03-01,27
2023-03-02,27
2023-03-03,29
2023-03-04,41
2023-03-05,41
2023-03-06,29
2023-03-07,25
2023-03-08,28
2023-03-09,28
2023-03-10,28
2023-03-11,39
2023-03-12,41
2023-03-13,30
2023-03-14,28
2023-03-15,28
2023-03-16,30
2023-03-17,34
2023-03-18,41
2023-03-19,45
2023-03-20,32
2023-03-21,30
2023-03-22,29
2023-03-23,32
2023-03-24,33
2023-03-25,41
2023-03-26,44
2023-03-27,30
2023-03-28,29
2023-03-29,30
2023-03-30,30
2023-03-31,31
2023-04-01,42
2023-04-02,48
2023-04-03,35
2023-04-04,34
2023-04-05,33
2023-04-06,38
2023-04-07,44
2023-04-08,57
2023-04-09,84
2023-04-10,30
2023-04-11,28
2023-04-12,29
2023-04-13,32
2023-04-14,30
2023-04-15,40
2023-04-16,44
2023-04-17,29
2023-04-18,27
2023-04-19,29
2023-04-20,29
2023-04-21,32
2023-04-22,46
2023-04-23,45
2023-04-24,31
2023-04-25,30
2023-04-26,30
2023-04-27,30
2023-04-28,32
2023-04-29,39
2023-04-30,45
2023-05-01,31
2023-05-02,28
2023-05-03,32
2023-05-04,35
2023-05-05,37
2023-05-06,44
2023-05-07,49
2023-05-08,37
2023-05-09,36
2023-05-10,37
2023-05-11,36
2023-05-12,42
2023-05-13,56
2023-05-14,63
2023-05-15,33
2023-05-16,34
2023-05-17,33
2023-05-18,36
2023-05-19,37
2023-05-20,51
2023-05-21,49
2023-05-22,36
2023-05-23,37
2023-05-24,37
2023-05-25,38
