Time,dollar tree
2023-04-26,22
2023-04-27,22
2023-04-28,23
2023-04-29,28
2023-04-30,33
2023-05-01,23
2023-05-02,20
2023-05-03,23
2023-05-04,25
2023-05-05,27
2023-05-06,32
2023-05-07,35
2023-05-08,27
2023-05-09,26
2023-05-10,27
2023-05-11,26
2023-05-12,31
2023-05-13,40
2023-05-14,46
2023-05-15,24
2023-05-16,25
2023-05-17,24
2023-05-18,26
2023-05-19,27
2023-05-20,37
2023-05-21,36
2023-05-22,26
2023-05-23,27
2023-05-24,27
2023-05-25,28
2023-05-26,29
2023-05-27,33
2023-05-28,36
2023-05-29,39
2023-05-30,26
2023-05-31,26
2023-06-01,25
2023-06-02,28
2023-06-03,36
2023-06-04,38
2023-06-05,26
2023-06-06,26
2023-06-07,26
2023-06-08,26
2023-06-09,29
2023-06-10,36
2023-06-11,36
2023-06-12,28
2023-06-13,26
2023-06-14,27
2023-06-15,28
2023-06-16,30
2023-06-17,38
2023-06-18,45
2023-06-19,28
2023-06-20,25
2023-06-21,25
2023-06-22,25
2023-06-23,27
2023-06-24,33
2023-06-25,34
2023-06-26,26
2023-06-27,25
2023-06-28,25
2023-06-29,26
2023-06-30,27
2023-07-01,30
2023-07-02,36
2023-07-03,30
2023-07-04,45
2023-07-05,25
2023-07-06,26
2023-07-07,27
2023-07-08,34
2023-07-09,33
2023-07-10,23
2023-07-11,22
2023-07-12,23
2023-07-13,25
2023-07-14,26
2023-07-15,31
2023-07-16,31
2023-07-17,25
2023-07-18,24
2023-07-19,22
2023-07-20,24
2023-07-21,25
2023-07-22,32
2023-07-23,35
2023-07-24,25
2023-07-25,23
2023-07-26,25
2023-07-27,26
2023-07-28,26
2023-07-29,32
2023-07-30,35
2023-07-31,23
2023-08-01,24
2023-08-02,24
2023-08-03,27
2023-08-04,27
2023-08-05,34
2023-08-06,37
2023-08-07,29
2023-08-08,23
2023-08-09,25
2023-08-10,24
2023-08-11,26
2023-08-12,34
2023-08-13,37
2023-08-14,24
2023-08-15,25
2023-08-16,26
2023-08-17,26
2023-08-18,27
2023-08-19,36
2023-08-20,36
2023-08-21,25
2023-08-22,24
2023-08-23,25
2023-08-24,25
2023-08-25,28
2023-08-26,34
2023-08-27,36
2023-08-28,24
2023-08-29,24
2023-08-30,24
2023-08-31,24
2023-09-01,26
2023-09-02,33
2023-09-03,38
2023-09-04,39
2023-09-05,23
2023-09-06,23
2023-09-07,25
2023-09-08,24
2023-09-09,31
2023-09-10,37
2023-09-11,25
2023-09-12,23
2023-09-13,22
2023-09-14,24
2023-09-15,25
2023-09-16,34
2023-09-17,37
2023-09-18,25
2023-09-19,24
2023-09-20,22
2023-09-21,24
2023-09-22,25
2023-09-23,32
2023-09-24,37
2023-09-25,24
2023-09-26,24
2023-09-27,24
2023-09-28,24
2023-09-29,25
2023-09-30,35
2023-10-01,37
2023-10-02,26
2023-10-03,25
2023-10-04,24
2023-10-05,25
2023-10-06,27
2023-10-07,33
2023-10-08,37
2023-10-09,28
2023-10-10,22
2023-10-11,24
2023-10-12,25
2023-10-13,27
2023-10-14,34
2023-10-15,37
2023-10-16,26
2023-10-17,25
2023-10-18,26
2023-10-19,26
2023-10-20,29
2023-10-21,35
2023-10-22,36
2023-10-23,28
2023-10-24,24
2023-10-25,28
2023-10-26,28
2023-10-27,32
2023-10-28,34
2023-10-29,35
2023-10-30,28
2023-10-31,29
2023-11-01,22
2023-11-02,24
2023-11-03,25
2023-11-04,34
2023-11-05,37
2023-11-06,27
2023-11-07,26
2023-11-08,25
2023-11-09,26
2023-11-10,30
2023-11-11,39
2023-11-12,38
2023-11-13,28
2023-11-14,26
2023-11-15,28
2023-11-16,27
2023-11-17,29
2023-11-18,39
2023-11-19,41
2023-11-20,32
2023-11-21,32
2023-11-22,41
2023-11-23,74
2023-11-24,28
2023-11-25,33
2023-11-26,38
2023-11-27,29
2023-11-28,29
2023-11-29,31
2023-11-30,32
2023-12-01,33
2023-12-02,40
2023-12-03,41
2023-12-04,31
2023-12-05,32
2023-12-06,31
2023-12-07,32
2023-12-08,31
2023-12-09,40
2023-12-10,42
2023-12-11,32
2023-12-12,31
2023-12-13,31
2023-12-14,32
2023-12-15,34
2023-12-16,40
2023-12-17,45
2023-12-18,32
2023-12-19,33
2023-12-20,36
2023-12-21,37
2023-12-22,41
2023-12-23,55
2023-12-24,100
2023-12-25,62
2023-12-26,21
2023-12-27,22
2023-12-28,22
2023-12-29,24
2023-12-30,28
2023-12-31,41
2024-01-01,35
2024-01-02,21
2024-01-03,20
2024-01-04,23
2024-01-05,23
2024-01-06,27
2024-01-07,27
2024-01-08,21
2024-01-09,19
2024-01-10,19
2024-01-11,20
2024-01-12,21
2024-01-13,25
2024-01-14,23
2024-01-15,22
2024-01-16,18
2024-01-17,19
2024-01-18,20
2024-01-19,19
2024-01-20,26
