Time,twitter
2023-04-26,53
2023-04-27,55
2023-04-28,62
2023-04-29,60
2023-04-30,54
2023-05-01,57
2023-05-02,54
2023-05-03,52
2023-05-04,53
2023-05-05,50
2023-05-06,54
2023-05-07,64
2023-05-08,54
2023-05-09,52
2023-05-10,55
2023-05-11,56
2023-05-12,59
2023-05-13,57
2023-05-14,56
2023-05-15,50
2023-05-16,51
2023-05-17,52
2023-05-18,50
2023-05-19,50
2023-05-20,52
2023-05-21,54
2023-05-22,49
2023-05-23,53
2023-05-24,56
2023-05-25,56
2023-05-26,51
2023-05-27,51
2023-05-28,56
2023-05-29,52
2023-05-30,51
2023-05-31,50
2023-06-01,51
2023-06-02,55
2023-06-03,53
2023-06-04,56
2023-06-05,56
2023-06-06,55
2023-06-07,61
2023-06-08,61
2023-06-09,59
2023-06-10,55
2023-06-11,56
2023-06-12,56
2023-06-13,60
2023-06-14,57
2023-06-15,56
2023-06-16,54
2023-06-17,54
2023-06-18,52
2023-06-19,55
2023-06-20,59
2023-06-21,57
2023-06-22,58
2023-06-23,58
2023-06-24,58
2023-06-25,59
2023-06-26,55
2023-06-27,57
2023-06-28,52
2023-06-29,55
2023-06-30,63
2023-07-01,100
2023-07-02,82
2023-07-03,61
2023-07-04,57
2023-07-05,57
2023-07-06,66
2023-07-07,58
2023-07-08,52
2023-07-09,54
2023-07-10,54
2023-07-11,54
2023-07-12,52
2023-07-13,54
2023-07-14,55
2023-07-15,50
2023-07-16,51
2023-07-17,49
2023-07-18,50
2023-07-19,50
2023-07-20,50
2023-07-21,48
2023-07-22,47
2023-07-23,55
2023-07-24,79
2023-07-25,70
2023-07-26,60
2023-07-27,60
2023-07-28,60
2023-07-29,59
2023-07-30,70
2023-07-31,74
2023-08-01,66
2023-08-02,57
2023-08-03,57
2023-08-04,53
2023-08-05,53
2023-08-06,58
2023-08-07,57
2023-08-08,56
2023-08-09,55
2023-08-10,55
2023-08-11,51
2023-08-12,49
2023-08-13,50
2023-08-14,50
2023-08-15,53
2023-08-16,55
2023-08-17,55
2023-08-18,53
2023-08-19,51
2023-08-20,53
2023-08-21,49
2023-08-22,51
2023-08-23,51
2023-08-24,60
2023-08-25,55
2023-08-26,52
2023-08-27,50
2023-08-28,48
2023-08-29,49
2023-08-30,48
2023-08-31,46
2023-09-01,45
2023-09-02,46
2023-09-03,47
2023-09-04,49
2023-09-05,44
2023-09-06,44
2023-09-07,46
2023-09-08,47
2023-09-09,47
2023-09-10,50
2023-09-11,48
2023-09-12,48
2023-09-13,48
2023-09-14,44
2023-09-15,44
2023-09-16,45
2023-09-17,51
2023-09-18,47
2023-09-19,50
2023-09-20,45
2023-09-21,46
2023-09-22,47
2023-09-23,50
2023-09-24,52
2023-09-25,50
2023-09-26,45
2023-09-27,46
2023-09-28,45
2023-09-29,46
2023-09-30,49
2023-10-01,51
2023-10-02,43
2023-10-03,45
2023-10-04,46
2023-10-05,54
2023-10-06,48
2023-10-07,50
2023-10-08,53
2023-10-09,55
2023-10-10,50
2023-10-11,50
2023-10-12,49
2023-10-13,50
2023-10-14,49
2023-10-15,53
2023-10-16,46
2023-10-17,48
2023-10-18,46
2023-10-19,44
2023-10-20,46
2023-10-21,46
2023-10-22,51
2023-10-23,47
2023-10-24,47
2023-10-25,45
2023-10-26,47
2023-10-27,46
2023-10-28,47
2023-10-29,48
2023-10-30,46
2023-10-31,49
2023-11-01,46
2023-11-02,47
2023-11-03,44
2023-11-04,46
2023-11-05,49
2023-11-06,45
2023-11-07,45
2023-11-08,45
2023-11-09,44
2023-11-10,43
2023-11-11,48
2023-11-12,48
2023-11-13,42
2023-11-14,42
2023-11-15,45
2023-11-16,44
2023-11-17,44
2023-11-18,47
2023-11-19,47
2023-11-20,44
2023-11-21,47
2023-11-22,45
2023-11-23,43
2023-11-24,43
2023-11-25,43
2023-11-26,47
2023-11-27,42
2023-11-28,41
2023-11-29,42
2023-11-30,44
2023-12-01,44
2023-12-02,51
2023-12-03,49
2023-12-04,46
2023-12-05,44
2023-12-06,44
2023-12-07,42
2023-12-08,44
2023-12-09,45
2023-12-10,46
2023-12-11,43
2023-12-12,42
2023-12-13,40
2023-12-14,40
2023-12-15,43
2023-12-16,45
2023-12-17,47
2023-12-18,44
2023-12-19,41
2023-12-20,47
2023-12-21,58
2023-12-22,43
2023-12-23,43
2023-12-24,44
2023-12-25,45
2023-12-26,43
2023-12-27,42
2023-12-28,41
2023-12-29,41
2023-12-30,41
2023-12-31,46
2024-01-01,44
2024-01-02,46
2024-01-03,42
2024-01-04,47
2024-01-05,42
2024-01-06,43
2024-01-07,45
2024-01-08,45
2024-01-09,44
2024-01-10,44
2024-01-11,43
2024-01-12,44
2024-01-13,43
2024-01-14,48
2024-01-15,54
2024-01-16,46
2024-01-17,44
2024-01-18,42
2024-01-19,41
2024-01-20,45
