Time,kahoot
2022-08-29,53
2022-08-30,60
2022-08-31,72
2022-09-01,80
2022-09-02,79
2022-09-03,5
2022-09-04,4
2022-09-05,5
2022-09-06,61
2022-09-07,66
2022-09-08,81
2022-09-09,89
2022-09-10,6
2022-09-11,6
2022-09-12,63
2022-09-13,76
2022-09-14,76
2022-09-15,93
2022-09-16,97
2022-09-17,7
2022-09-18,8
2022-09-19,65
2022-09-20,70
2022-09-21,81
2022-09-22,85
2022-09-23,94
2022-09-24,7
2022-09-25,7
2022-09-26,53
2022-09-27,63
2022-09-28,71
2022-09-29,91
2022-09-30,100
2022-10-01,7
2022-10-02,8
2022-10-03,65
2022-10-04,78
2022-10-05,69
2022-10-06,83
2022-10-07,89
2022-10-08,7
2022-10-09,7
2022-10-10,43
2022-10-11,63
2022-10-12,67
2022-10-13,82
2022-10-14,80
2022-10-15,7
2022-10-16,7
2022-10-17,55
2022-10-18,63
2022-10-19,67
2022-10-20,66
2022-10-21,74
2022-10-22,7
2022-10-23,7
2022-10-24,53
2022-10-25,55
2022-10-26,66
2022-10-27,74
2022-10-28,79
2022-10-29,7
2022-10-30,7
2022-10-31,81
2022-11-01,60
2022-11-02,65
2022-11-03,74
2022-11-04,78
2022-11-05,9
2022-11-06,7
2022-11-07,53
2022-11-08,44
2022-11-09,64
2022-11-10,68
2022-11-11,45
2022-11-12,7
2022-11-13,7
2022-11-14,58
2022-11-15,65
2022-11-16,74
2022-11-17,84
2022-11-18,88
2022-11-19,8
2022-11-20,7
2022-11-21,40
2022-11-22,49
2022-11-23,20
2022-11-24,6
2022-11-25,6
2022-11-26,4
2022-11-27,5
2022-11-28,45
2022-11-29,52
2022-11-30,57
2022-12-01,63
2022-12-02,68
2022-12-03,7
2022-12-04,6
2022-12-05,53
2022-12-06,60
2022-12-07,63
2022-12-08,74
2022-12-09,79
2022-12-10,7
2022-12-11,7
2022-12-12,70
2022-12-13,73
2022-12-14,71
2022-12-15,74
2022-12-16,73
2022-12-17,7
2022-12-18,6
2022-12-19,44
2022-12-20,46
2022-12-21,44
2022-12-22,30
2022-12-23,15
2022-12-24,6
2022-12-25,7
2022-12-26,4
2022-12-27,3
2022-12-28,3
2022-12-29,4
2022-12-30,3
2022-12-31,3
2023-01-01,5
2023-01-02,5
2023-01-03,25
2023-01-04,37
2023-01-05,47
2023-01-06,57
2023-01-07,4
2023-01-08,4
2023-01-09,53
2023-01-10,57
2023-01-11,58
2023-01-12,69
2023-01-13,71
2023-01-14,6
2023-01-15,4
2023-01-16,7
2023-01-17,55
2023-01-18,56
2023-01-19,66
2023-01-20,72
2023-01-21,6
2023-01-22,5
2023-01-23,51
2023-01-24,59
2023-01-25,56
2023-01-26,66
2023-01-27,65
2023-01-28,7
2023-01-29,6
2023-01-30,50
2023-01-31,56
2023-02-01,55
2023-02-02,59
2023-02-03,71
2023-02-04,7
2023-02-05,7
2023-02-06,52
2023-02-07,59
2023-02-08,59
2023-02-09,66
2023-02-10,74
2023-02-11,7
2023-02-12,5
2023-02-13,48
2023-02-14,62
2023-02-15,61
2023-02-16,62
2023-02-17,57
2023-02-18,6
2023-02-19,5
2023-02-20,13
2023-02-21,48
2023-02-22,47
2023-02-23,50
2023-02-24,60
2023-02-25,7
2023-02-26,6
2023-02-27,51
2023-02-28,50
2023-03-01,55
2023-03-02,61
2023-03-03,60
2023-03-04,6
2023-03-05,5
2023-03-06,51
2023-03-07,53
2023-03-08,58
2023-03-09,61
2023-03-10,61
2023-03-11,6
2023-03-12,6
2023-03-13,36
2023-03-14,41
2023-03-15,42
2023-03-16,46
2023-03-17,44
2023-03-18,5
2023-03-19,5
2023-03-20,44
2023-03-21,49
2023-03-22,50
2023-03-23,57
2023-03-24,60
2023-03-25,6
2023-03-26,6
2023-03-27,46
2023-03-28,52
2023-03-29,53
2023-03-30,57
2023-03-31,54
2023-04-01,6
2023-04-02,5
2023-04-03,41
2023-04-04,42
2023-04-05,46
2023-04-06,48
2023-04-07,16
2023-04-08,4
2023-04-09,3
2023-04-10,30
2023-04-11,43
2023-04-12,45
2023-04-13,50
2023-04-14,57
2023-04-15,6
2023-04-16,5
2023-04-17,51
2023-04-18,51
2023-04-19,59
2023-04-20,59
2023-04-21,61
2023-04-22,6
2023-04-23,5
2023-04-24,59
2023-04-25,58
2023-04-26,56
2023-04-27,64
2023-04-28,66
2023-04-29,6
2023-04-30,6
2023-05-01,58
2023-05-02,55
2023-05-03,56
2023-05-04,58
2023-05-05,59
2023-05-06,6
2023-05-07,5
2023-05-08,51
2023-05-09,50
2023-05-10,53
2023-05-11,55
2023-05-12,55
2023-05-13,5
2023-05-14,4
2023-05-15,53
2023-05-16,54
2023-05-17,54
2023-05-18,58
2023-05-19,53
2023-05-20,6
2023-05-21,5
2023-05-22,49
2023-05-23,47
2023-05-24,43
2023-05-25,41
