Time,dairy queen
2025-04-15,50
2025-04-16,52
2025-04-17,53
2025-04-18,64
2025-04-19,82
2025-04-20,100
2025-04-21,54
2025-04-22,45
2025-04-23,50
2025-04-24,49
2025-04-25,50
2025-04-26,68
2025-04-27,84
2025-04-28,58
2025-04-29,53
2025-04-30,50
2025-05-01,52
2025-05-02,56
2025-05-03,73
2025-05-04,84
2025-05-05,54
2025-05-06,52
2025-05-07,53
2025-05-08,54
2025-05-09,55
2025-05-10,80
2025-05-11,96
2025-05-12,66
2025-05-13,49
2025-05-14,51
2025-05-15,52
2025-05-16,64
2025-05-17,78
2025-05-18,86
2025-05-19,61
2025-05-20,49
2025-05-21,51
2025-05-22,50
2025-05-23,58
2025-05-24,71
2025-05-25,84
2025-05-26,93
2025-05-27,59
2025-05-28,55
2025-05-29,55
2025-05-30,64
2025-05-31,73
2025-06-01,97
2025-06-02,60
2025-06-03,56
2025-06-04,60
2025-06-05,57
2025-06-06,64
2025-06-07,74
2025-06-08,87
2025-06-09,61
2025-06-10,54
2025-06-11,59
2025-06-12,60
2025-06-13,60
2025-06-14,68
2025-06-15,86
2025-06-16,62
2025-06-17,55
2025-06-18,57
2025-06-19,59
2025-06-20,64
2025-06-21,77
2025-06-22,86
2025-06-23,61
2025-06-24,56
2025-06-25,57
2025-06-26,58
2025-06-27,59
2025-06-28,71
2025-06-29,82
2025-06-30,63
2025-07-01,56
2025-07-02,61
2025-07-03,70
2025-07-04,95
2025-07-05,91
2025-07-06,90
2025-07-07,66
2025-07-08,55
2025-07-09,55
2025-07-10,57
2025-07-11,58
2025-07-12,72
2025-07-13,85
2025-07-14,65
2025-07-15,57
2025-07-16,57
2025-07-17,57
2025-07-18,60
2025-07-19,71
2025-07-20,90
2025-07-21,65
2025-07-22,54
2025-07-23,55
2025-07-24,55
2025-07-25,58
2025-07-26,65
2025-07-27,72
2025-07-28,61
2025-07-29,54
2025-07-30,52
2025-07-31,63
2025-08-01,63
2025-08-02,79
2025-08-03,78
2025-08-04,57
2025-08-05,51
2025-08-06,51
2025-08-07,54
2025-08-08,58
2025-08-09,71
2025-08-10,77
2025-08-11,57
2025-08-12,49
2025-08-13,49
2025-08-14,49
2025-08-15,53
2025-08-16,65
2025-08-17,76
2025-08-18,51
2025-08-19,44
2025-08-20,44
2025-08-21,43
2025-08-22,46
2025-08-23,63
2025-08-24,74
2025-08-25,47
2025-08-26,41
2025-08-27,42
2025-08-28,44
2025-08-29,52
2025-08-30,70
2025-08-31,80
2025-09-01,85
2025-09-02,46
2025-09-03,41
2025-09-04,39
2025-09-05,44
2025-09-06,61
2025-09-07,65
2025-09-08,50
2025-09-09,46
2025-09-10,42
2025-09-11,42
2025-09-12,46
2025-09-13,64
2025-09-14,72
2025-09-15,43
2025-09-16,38
2025-09-17,40
2025-09-18,43
2025-09-19,51
2025-09-20,67
2025-09-21,64
2025-09-22,41
2025-09-23,38
2025-09-24,40
2025-09-25,39
2025-09-26,46
2025-09-27,62
2025-09-28,67
2025-09-29,43
2025-09-30,39
2025-10-01,44
2025-10-02,39
2025-10-03,43
2025-10-04,60
2025-10-05,65
2025-10-06,42
2025-10-07,37
2025-10-08,37
2025-10-09,37
2025-10-10,41
2025-10-11,57
2025-10-12,60
2025-10-13,42
2025-10-14,34
2025-10-15,38
2025-10-16,35
2025-10-17,40
2025-10-18,52
2025-10-19,58
2025-10-20,35
2025-10-21,33
2025-10-22,32
2025-10-23,33
2025-10-24,37
2025-10-25,48
2025-10-26,52
2025-10-27,35
2025-10-28,38
2025-10-29,38
2025-10-30,34
2025-10-31,33
2025-11-01,42
2025-11-02,49
2025-11-03,35
2025-11-04,31
2025-11-05,35
2025-11-06,33
2025-11-07,34
2025-11-08,48
2025-11-09,53
2025-11-10,33
2025-11-11,44
2025-11-12,37
2025-11-13,32
2025-11-14,37
2025-11-15,49
2025-11-16,98
2025-11-17,46
2025-11-18,31
2025-11-19,34
2025-11-20,34
2025-11-21,36
2025-11-22,51
2025-11-23,56
2025-11-24,40
2025-11-25,33
2025-11-26,38
2025-11-27,40
2025-11-28,36
2025-11-29,36
2025-11-30,43
2025-12-01,28
2025-12-02,27
2025-12-03,30
2025-12-04,33
2025-12-05,32
2025-12-06,45
2025-12-07,44
2025-12-08,32
2025-12-09,30
2025-12-10,32
2025-12-11,32
2025-12-12,43
2025-12-13,49
2025-12-14,45
2025-12-15,32
2025-12-16,31
2025-12-17,32
2025-12-18,33
2025-12-19,34
2025-12-20,46
2025-12-21,49
2025-12-22,40
2025-12-23,39
2025-12-24,50
2025-12-25,43
2025-12-26,36
2025-12-27,46
2025-12-28,49
2025-12-29,44
2025-12-30,41
2025-12-31,49
2026-01-01,64
2026-01-02,55
2026-01-03,54
2026-01-04,58
2026-01-05,41
2026-01-06,35
2026-01-07,36
2026-01-08,36
2026-01-09,42
