Time,clima
2022-01-01,44
2022-01-02,67
2022-01-03,82
2022-01-04,60
2022-01-05,57
2022-01-06,57
2022-01-07,74
2022-01-08,50
2022-01-09,48
2022-01-10,48
2022-01-11,43
2022-01-12,42
2022-01-13,40
2022-01-14,41
2022-01-15,69
2022-01-16,75
2022-01-17,59
2022-01-18,43
2022-01-19,57
2022-01-20,88
2022-01-21,78
2022-01-22,63
2022-01-23,46
2022-01-24,70
2022-01-25,47
2022-01-26,45
2022-01-27,51
2022-01-28,76
2022-01-29,73
2022-01-30,50
2022-01-31,57
2022-02-01,59
2022-02-02,77
2022-02-03,100
2022-02-04,94
2022-02-05,58
2022-02-06,41
2022-02-07,55
2022-02-08,36
2022-02-09,30
2022-02-10,31
2022-02-11,38
2022-02-12,53
2022-02-13,49
2022-02-14,36
2022-02-15,45
2022-02-16,51
2022-02-17,62
2022-02-18,56
2022-02-19,42
2022-02-20,39
2022-02-21,61
2022-02-22,76
2022-02-23,87
2022-02-24,74
2022-02-25,62
2022-02-26,47
2022-02-27,41
2022-02-28,36
2022-03-01,34
2022-03-02,35
2022-03-03,43
2022-03-04,49
2022-03-05,44
2022-03-06,47
2022-03-07,66
2022-03-08,64
2022-03-09,66
2022-03-10,56
2022-03-11,70
2022-03-12,67
2022-03-13,43
2022-03-14,42
2022-03-15,48
2022-03-16,50
2022-03-17,51
2022-03-18,50
2022-03-19,47
2022-03-20,40
2022-03-21,56
2022-03-22,54
2022-03-23,53
2022-03-24,45
2022-03-25,34
2022-03-26,33
2022-03-27,32
2022-03-28,51
2022-03-29,45
2022-03-30,54
2022-03-31,50
2022-04-01,36
2022-04-02,35
2022-04-03,33
2022-04-04,41
2022-04-05,48
2022-04-06,50
2022-04-07,47
2022-04-08,41
2022-04-09,37
2022-04-10,36
2022-04-11,55
2022-04-12,58
2022-04-13,55
2022-04-14,48
2022-04-15,39
2022-04-16,47
2022-04-17,40
2022-04-18,46
2022-04-19,40
2022-04-20,39
2022-04-21,43
2022-04-22,40
2022-04-23,28
2022-04-24,29
2022-04-25,46
2022-04-26,44
2022-04-27,27
2022-04-28,29
2022-04-29,28
2022-04-30,31
2022-05-01,35
2022-05-02,45
2022-05-03,39
2022-05-04,43
2022-05-05,46
2022-05-06,54
2022-05-07,37
2022-05-08,28
2022-05-09,26
2022-05-10,22
2022-05-11,21
2022-05-12,31
2022-05-13,39
2022-05-14,34
2022-05-15,31
2022-05-16,39
2022-05-17,22
2022-05-18,29
2022-05-19,36
2022-05-20,45
2022-05-21,51
2022-05-22,49
2022-05-23,52
2022-05-24,66
2022-05-25,55
2022-05-26,48
2022-05-27,48
2022-05-28,36
2022-05-29,26
2022-05-30,29
2022-05-31,30
2022-06-01,39
2022-06-02,51
2022-06-03,40
2022-06-04,34
2022-06-05,28
2022-06-06,33
2022-06-07,40
2022-06-08,47
2022-06-09,43
2022-06-10,37
2022-06-11,40
2022-06-12,41
2022-06-13,41
2022-06-14,37
2022-06-15,30
2022-06-16,41
2022-06-17,33
2022-06-18,26
2022-06-19,27
2022-06-20,27
2022-06-21,35
2022-06-22,48
2022-06-23,39
2022-06-24,29
2022-06-25,30
2022-06-26,33
2022-06-27,54
2022-06-28,32
2022-06-29,34
2022-06-30,32
2022-07-01,42
2022-07-02,38
2022-07-03,32
2022-07-04,29
2022-07-05,38
2022-07-06,39
2022-07-07,34
2022-07-08,35
2022-07-09,35
2022-07-10,27
2022-07-11,32
2022-07-12,31
2022-07-13,33
2022-07-14,33
2022-07-15,31
2022-07-16,32
2022-07-17,28
2022-07-18,42
2022-07-19,28
2022-07-20,29
2022-07-21,37
2022-07-22,26
2022-07-23,27
2022-07-24,27
2022-07-25,42
2022-07-26,37
2022-07-27,35
2022-07-28,37
2022-07-29,36
2022-07-30,26
2022-07-31,29
2022-08-01,40
2022-08-02,24
2022-08-03,28
2022-08-04,34
2022-08-05,37
2022-08-06,28
2022-08-07,28
2022-08-08,34
2022-08-09,40
2022-08-10,39
2022-08-11,39
2022-08-12,30
2022-08-13,26
2022-08-14,30
2022-08-15,40
2022-08-16,33
2022-08-17,36
2022-08-18,42
2022-08-19,43
2022-08-20,45
2022-08-21,46
2022-08-22,53
2022-08-23,41
2022-08-24,30
2022-08-25,33
2022-08-26,32
2022-08-27,23
2022-08-28,25
2022-08-29,38
2022-08-30,40
2022-08-31,32
2022-09-01,34
2022-09-02,37
2022-09-03,44
2022-09-04,44
2022-09-05,53
2022-09-06,56
2022-09-07,45
2022-09-08,38
2022-09-09,41
2022-09-10,48
2022-09-11,40
2022-09-12,41
2022-09-13,30
2022-09-14,23
2022-09-15,22
2022-09-16,23
2022-09-17,24
2022-09-18,28
2022-09-19,39
2022-09-20,26
2022-09-21,27
2022-09-22,40
2022-09-23,24
2022-09-24,25
2022-09-25,32
2022-09-26,33
2022-09-27,31
