Time,boston celtics
2022-08-29,3
2022-08-30,3
2022-08-31,2
2022-09-01,3
2022-09-02,3
2022-09-03,3
2022-09-04,3
2022-09-05,3
2022-09-06,3
2022-09-07,3
2022-09-08,3
2022-09-09,3
2022-09-10,3
2022-09-11,2
2022-09-12,2
2022-09-13,2
2022-09-14,3
2022-09-15,3
2022-09-16,3
2022-09-17,2
2022-09-18,2
2022-09-19,2
2022-09-20,3
2022-09-21,3
2022-09-22,24
2022-09-23,29
2022-09-24,16
2022-09-25,11
2022-09-26,8
2022-09-27,6
2022-09-28,5
2022-09-29,5
2022-09-30,5
2022-10-01,6
2022-10-02,7
2022-10-03,6
2022-10-04,5
2022-10-05,6
2022-10-06,7
2022-10-07,6
2022-10-08,10
2022-10-09,9
2022-10-10,6
2022-10-11,4
2022-10-12,4
2022-10-13,5
2022-10-14,5
2022-10-15,7
2022-10-16,5
2022-10-17,5
2022-10-18,12
2022-10-19,27
2022-10-20,7
2022-10-21,8
2022-10-22,17
2022-10-23,14
2022-10-24,7
2022-10-25,12
2022-10-26,6
2022-10-27,6
2022-10-28,8
2022-10-29,14
2022-10-30,9
2022-10-31,8
2022-11-01,7
2022-11-02,8
2022-11-03,11
2022-11-04,7
2022-11-05,16
2022-11-06,9
2022-11-07,6
2022-11-08,11
2022-11-09,6
2022-11-10,11
2022-11-11,8
2022-11-12,14
2022-11-13,11
2022-11-14,6
2022-11-15,12
2022-11-16,8
2022-11-17,14
2022-11-18,8
2022-11-19,14
2022-11-20,7
2022-11-21,6
2022-11-22,11
2022-11-23,7
2022-11-24,13
2022-11-25,7
2022-11-26,13
2022-11-27,9
2022-11-28,10
2022-11-29,11
2022-11-30,8
2022-12-01,16
2022-12-02,8
2022-12-03,14
2022-12-04,9
2022-12-05,12
2022-12-06,12
2022-12-07,8
2022-12-08,16
2022-12-09,7
2022-12-10,10
2022-12-11,20
2022-12-12,7
2022-12-13,14
2022-12-14,15
2022-12-15,6
2022-12-16,8
2022-12-17,15
2022-12-18,11
2022-12-19,7
2022-12-20,6
2022-12-21,7
2022-12-22,13
2022-12-23,7
2022-12-24,13
2022-12-25,16
2022-12-26,17
2022-12-27,7
2022-12-28,13
2022-12-29,8
2022-12-30,14
2022-12-31,7
2023-01-01,8
2023-01-02,14
2023-01-03,7
2023-01-04,15
2023-01-05,8
2023-01-06,15
2023-01-07,10
2023-01-08,11
2023-01-09,7
2023-01-10,11
2023-01-11,6
2023-01-12,13
2023-01-13,14
2023-01-14,8
2023-01-15,12
2023-01-16,13
2023-01-17,7
2023-01-18,6
2023-01-19,9
2023-01-20,21
2023-01-21,12
2023-01-22,11
2023-01-23,9
2023-01-24,16
2023-01-25,12
2023-01-26,8
2023-01-27,16
2023-01-28,8
2023-01-29,24
2023-01-30,6
2023-01-31,6
2023-02-01,8
2023-02-02,17
2023-02-03,9
2023-02-04,15
2023-02-05,8
2023-02-06,9
2023-02-07,13
2023-02-08,9
2023-02-09,21
2023-02-10,10
2023-02-11,16
2023-02-12,19
2023-02-13,8
2023-02-14,9
2023-02-15,21
2023-02-16,13
2023-02-17,7
2023-02-18,6
2023-02-19,6
2023-02-20,6
2023-02-21,5
2023-02-22,5
2023-02-23,7
2023-02-24,14
2023-02-25,9
2023-02-26,22
2023-02-27,9
2023-02-28,15
2023-03-01,8
2023-03-02,14
2023-03-03,8
2023-03-04,18
2023-03-05,11
2023-03-06,21
2023-03-07,15
2023-03-08,8
2023-03-09,12
2023-03-10,6
2023-03-11,8
2023-03-12,15
2023-03-13,7
2023-03-14,14
2023-03-15,7
2023-03-16,12
2023-03-17,8
2023-03-18,14
2023-03-19,14
2023-03-20,6
2023-03-21,7
2023-03-22,13
2023-03-23,6
2023-03-24,8
2023-03-25,12
2023-03-26,12
2023-03-27,8
2023-03-28,8
2023-03-29,10
2023-03-30,8
2023-03-31,17
2023-04-01,13
2023-04-02,7
2023-04-03,6
2023-04-04,8
2023-04-05,14
2023-04-06,10
2023-04-07,9
2023-04-08,12
2023-04-09,14
2023-04-10,7
2023-04-11,5
2023-04-12,8
2023-04-13,5
2023-04-14,6
2023-04-15,26
2023-04-16,14
2023-04-17,9
2023-04-18,16
2023-04-19,26
2023-04-20,9
2023-04-21,15
2023-04-22,27
2023-04-23,23
2023-04-24,26
2023-04-25,17
2023-04-26,30
2023-04-27,17
2023-04-28,39
2023-04-29,12
2023-04-30,13
2023-05-01,16
2023-05-02,35
2023-05-03,16
2023-05-04,36
2023-05-05,16
2023-05-06,39
2023-05-07,48
2023-05-08,15
2023-05-09,19
2023-05-10,42
2023-05-11,20
2023-05-12,61
2023-05-13,33
2023-05-14,100
2023-05-15,33
2023-05-16,15
2023-05-17,24
2023-05-18,58
2023-05-19,21
2023-05-20,78
2023-05-21,32
2023-05-22,64
2023-05-23,24
2023-05-24,80
2023-05-25,24
