Time,mlb
2023-04-26,46
2023-04-27,43
2023-04-28,36
2023-04-29,56
2023-04-30,60
2023-05-01,36
2023-05-02,39
2023-05-03,47
2023-05-04,49
2023-05-05,35
2023-05-06,57
2023-05-07,64
2023-05-08,34
2023-05-09,38
2023-05-10,48
2023-05-11,41
2023-05-12,35
2023-05-13,63
2023-05-14,62
2023-05-15,36
2023-05-16,45
2023-05-17,49
2023-05-18,41
2023-05-19,37
2023-05-20,63
2023-05-21,63
2023-05-22,35
2023-05-23,39
2023-05-24,47
2023-05-25,47
2023-05-26,42
2023-05-27,63
2023-05-28,62
2023-05-29,49
2023-05-30,38
2023-05-31,52
2023-06-01,42
2023-06-02,37
2023-06-03,64
2023-06-04,63
2023-06-05,38
2023-06-06,40
2023-06-07,49
2023-06-08,49
2023-06-09,43
2023-06-10,66
2023-06-11,62
2023-06-12,37
2023-06-13,44
2023-06-14,56
2023-06-15,54
2023-06-16,47
2023-06-17,71
2023-06-18,72
2023-06-19,44
2023-06-20,49
2023-06-21,65
2023-06-22,54
2023-06-23,41
2023-06-24,75
2023-06-25,80
2023-06-26,40
2023-06-27,48
2023-06-28,55
2023-06-29,64
2023-06-30,51
2023-07-01,72
2023-07-02,80
2023-07-03,52
2023-07-04,74
2023-07-05,49
2023-07-06,60
2023-07-07,57
2023-07-08,81
2023-07-09,99
2023-07-10,86
2023-07-11,59
2023-07-12,65
2023-07-13,26
2023-07-14,31
2023-07-15,62
2023-07-16,73
2023-07-17,41
2023-07-18,48
2023-07-19,62
2023-07-20,52
2023-07-21,45
2023-07-22,67
2023-07-23,70
2023-07-24,43
2023-07-25,48
2023-07-26,58
2023-07-27,53
2023-07-28,49
2023-07-29,74
2023-07-30,82
2023-07-31,55
2023-08-01,78
2023-08-02,64
2023-08-03,57
2023-08-04,53
2023-08-05,66
2023-08-06,75
2023-08-07,42
2023-08-08,49
2023-08-09,55
2023-08-10,54
2023-08-11,40
2023-08-12,65
2023-08-13,71
2023-08-14,38
2023-08-15,43
2023-08-16,52
2023-08-17,49
2023-08-18,45
2023-08-19,63
2023-08-20,71
2023-08-21,36
2023-08-22,46
2023-08-23,58
2023-08-24,52
2023-08-25,40
2023-08-26,61
2023-08-27,68
2023-08-28,35
2023-08-29,47
2023-08-30,59
2023-08-31,44
2023-09-01,43
2023-09-02,56
2023-09-03,68
2023-09-04,51
2023-09-05,37
2023-09-06,55
2023-09-07,41
2023-09-08,40
2023-09-09,53
2023-09-10,51
2023-09-11,34
2023-09-12,47
2023-09-13,54
2023-09-14,49
2023-09-15,38
2023-09-16,57
2023-09-17,60
2023-09-18,31
2023-09-19,40
2023-09-20,56
2023-09-21,45
2023-09-22,46
2023-09-23,65
2023-09-24,61
2023-09-25,38
2023-09-26,43
2023-09-27,60
2023-09-28,64
2023-09-29,54
2023-09-30,72
2023-10-01,95
2023-10-02,45
2023-10-03,66
2023-10-04,95
2023-10-05,73
2023-10-06,33
2023-10-07,68
2023-10-08,90
2023-10-09,64
2023-10-10,79
2023-10-11,85
2023-10-12,93
2023-10-13,74
2023-10-14,33
2023-10-15,36
2023-10-16,65
2023-10-17,61
2023-10-18,63
2023-10-19,75
2023-10-20,84
2023-10-21,92
2023-10-22,75
2023-10-23,90
2023-10-24,100
2023-10-25,84
2023-10-26,19
2023-10-27,22
2023-10-28,76
2023-10-29,53
2023-10-30,21
2023-10-31,50
2023-11-01,54
2023-11-02,57
2023-11-03,12
2023-11-04,9
2023-11-05,9
2023-11-06,11
2023-11-07,9
2023-11-08,8
2023-11-09,8
2023-11-10,8
2023-11-11,7
2023-11-12,7
2023-11-13,7
2023-11-14,8
2023-11-15,7
2023-11-16,9
2023-11-17,9
2023-11-18,9
2023-11-19,7
2023-11-20,7
2023-11-21,8
2023-11-22,7
2023-11-23,7
2023-11-24,7
2023-11-25,7
2023-11-26,7
2023-11-27,7
2023-11-28,7
2023-11-29,7
2023-11-30,7
2023-12-01,7
2023-12-02,7
2023-12-03,7
2023-12-04,10
2023-12-05,12
2023-12-06,14
2023-12-07,13
2023-12-08,13
2023-12-09,18
2023-12-10,14
2023-12-11,10
2023-12-12,10
2023-12-13,10
2023-12-14,9
2023-12-15,10
2023-12-16,9
2023-12-17,8
2023-12-18,8
2023-12-19,8
2023-12-20,8
2023-12-21,7
2023-12-22,12
2023-12-23,9
2023-12-24,8
2023-12-25,8
2023-12-26,7
2023-12-27,7
2023-12-28,7
2023-12-29,7
2023-12-30,7
2023-12-31,7
2024-01-01,7
2024-01-02,6
2024-01-03,7
2024-01-04,7
2024-01-05,7
2024-01-06,7
2024-01-07,7
2024-01-08,7
2024-01-09,7
2024-01-10,6
2024-01-11,7
2024-01-12,7
2024-01-13,7
2024-01-14,7
2024-01-15,7
2024-01-16,6
2024-01-17,6
2024-01-18,7
2024-01-19,7
2024-01-20,7
