Time,mlb
2022-01-01,5
2022-01-02,6
2022-01-03,5
2022-01-04,7
2022-01-05,6
2022-01-06,5
2022-01-07,5
2022-01-08,6
2022-01-09,5
2022-01-10,5
2022-01-11,5
2022-01-12,5
2022-01-13,6
2022-01-14,5
2022-01-15,6
2022-01-16,6
2022-01-17,5
2022-01-18,5
2022-01-19,5
2022-01-20,5
2022-01-21,5
2022-01-22,6
2022-01-23,5
2022-01-24,7
2022-01-25,8
2022-01-26,8
2022-01-27,6
2022-01-28,6
2022-01-29,6
2022-01-30,7
2022-01-31,7
2022-02-01,7
2022-02-02,7
2022-02-03,7
2022-02-04,6
2022-02-05,7
2022-02-06,7
2022-02-07,6
2022-02-08,6
2022-02-09,7
2022-02-10,7
2022-02-11,7
2022-02-12,8
2022-02-13,7
2022-02-14,7
2022-02-15,8
2022-02-16,8
2022-02-17,9
2022-02-18,9
2022-02-19,8
2022-02-20,7
2022-02-21,9
2022-02-22,9
2022-02-23,8
2022-02-24,8
2022-02-25,8
2022-02-26,9
2022-02-27,11
2022-02-28,15
2022-03-01,29
2022-03-02,19
2022-03-03,12
2022-03-04,10
2022-03-05,9
2022-03-06,10
2022-03-07,12
2022-03-08,13
2022-03-09,18
2022-03-10,29
2022-03-11,33
2022-03-12,23
2022-03-13,20
2022-03-14,22
2022-03-15,18
2022-03-16,19
2022-03-17,19
2022-03-18,18
2022-03-19,20
2022-03-20,19
2022-03-21,16
2022-03-22,16
2022-03-23,15
2022-03-24,15
2022-03-25,14
2022-03-26,16
2022-03-27,19
2022-03-28,15
2022-03-29,16
2022-03-30,17
2022-03-31,18
2022-04-01,21
2022-04-02,22
2022-04-03,24
2022-04-04,23
2022-04-05,26
2022-04-06,27
2022-04-07,48
2022-04-08,66
2022-04-09,63
2022-04-10,61
2022-04-11,43
2022-04-12,48
2022-04-13,52
2022-04-14,39
2022-04-15,48
2022-04-16,58
2022-04-17,64
2022-04-18,34
2022-04-19,41
2022-04-20,47
2022-04-21,44
2022-04-22,34
2022-04-23,62
2022-04-24,59
2022-04-25,33
2022-04-26,35
2022-04-27,46
2022-04-28,42
2022-04-29,30
2022-04-30,59
2022-05-01,57
2022-05-02,32
2022-05-03,35
2022-05-04,43
2022-05-05,40
2022-05-06,37
2022-05-07,50
2022-05-08,59
2022-05-09,33
2022-05-10,36
2022-05-11,47
2022-05-12,38
2022-05-13,35
2022-05-14,53
2022-05-15,60
2022-05-16,30
2022-05-17,40
2022-05-18,42
2022-05-19,39
2022-05-20,32
2022-05-21,55
2022-05-22,58
2022-05-23,33
2022-05-24,38
2022-05-25,41
2022-05-26,36
2022-05-27,37
2022-05-28,53
2022-05-29,56
2022-05-30,45
2022-05-31,39
2022-06-01,45
2022-06-02,40
2022-06-03,41
2022-06-04,59
2022-06-05,58
2022-06-06,33
2022-06-07,39
2022-06-08,48
2022-06-09,46
2022-06-10,39
2022-06-11,60
2022-06-12,66
2022-06-13,34
2022-06-14,42
2022-06-15,52
2022-06-16,48
2022-06-17,43
2022-06-18,61
2022-06-19,60
2022-06-20,35
2022-06-21,42
2022-06-22,47
2022-06-23,51
2022-06-24,38
2022-06-25,60
2022-06-26,67
2022-06-27,38
2022-06-28,43
2022-06-29,53
2022-06-30,45
2022-07-01,43
2022-07-02,60
2022-07-03,61
2022-07-04,48
2022-07-05,43
2022-07-06,50
2022-07-07,49
2022-07-08,50
2022-07-09,68
2022-07-10,71
2022-07-11,49
2022-07-12,45
2022-07-13,52
2022-07-14,52
2022-07-15,50
2022-07-16,74
2022-07-17,100
2022-07-18,86
2022-07-19,61
2022-07-20,61
2022-07-21,34
2022-07-22,38
2022-07-23,71
2022-07-24,70
2022-07-25,38
2022-07-26,47
2022-07-27,58
2022-07-28,47
2022-07-29,48
2022-07-30,71
2022-07-31,73
2022-08-01,56
2022-08-02,89
2022-08-03,62
2022-08-04,48
2022-08-05,42
2022-08-06,62
2022-08-07,74
2022-08-08,36
2022-08-09,42
2022-08-10,58
2022-08-11,50
2022-08-12,38
2022-08-13,58
2022-08-14,65
2022-08-15,38
2022-08-16,45
2022-08-17,49
2022-08-18,54
2022-08-19,42
2022-08-20,62
2022-08-21,70
2022-08-22,35
2022-08-23,44
2022-08-24,52
2022-08-25,42
2022-08-26,39
2022-08-27,60
2022-08-28,65
2022-08-29,32
2022-08-30,40
2022-08-31,43
2022-09-01,46
2022-09-02,35
2022-09-03,51
2022-09-04,65
2022-09-05,51
2022-09-06,35
2022-09-07,51
2022-09-08,41
2022-09-09,35
2022-09-10,56
2022-09-11,56
2022-09-12,33
2022-09-13,37
2022-09-14,51
2022-09-15,44
2022-09-16,35
2022-09-17,56
2022-09-18,59
2022-09-19,35
2022-09-20,40
2022-09-21,58
2022-09-22,48
2022-09-23,47
2022-09-24,67
2022-09-25,58
2022-09-26,36
2022-09-27,36
