Time,mlb
2023-12-22,15
2023-12-23,11
2023-12-24,10
2023-12-25,10
2023-12-26,9
2023-12-27,9
2023-12-28,9
2023-12-29,9
2023-12-30,9
2023-12-31,9
2024-01-01,8
2024-01-02,8
2024-01-03,8
2024-01-04,8
2024-01-05,9
2024-01-06,9
2024-01-07,9
2024-01-08,8
2024-01-09,9
2024-01-10,8
2024-01-11,9
2024-01-12,9
2024-01-13,8
2024-01-14,8
2024-01-15,9
2024-01-16,8
2024-01-17,8
2024-01-18,9
2024-01-19,8
2024-01-20,9
2024-01-21,8
2024-01-22,9
2024-01-23,10
2024-01-24,12
2024-01-25,9
2024-01-26,8
2024-01-27,9
2024-01-28,8
2024-01-29,8
2024-01-30,12
2024-01-31,10
2024-02-01,9
2024-02-02,10
2024-02-03,10
2024-02-04,10
2024-02-05,9
2024-02-06,10
2024-02-07,10
2024-02-08,9
2024-02-09,8
2024-02-10,9
2024-02-11,9
2024-02-12,9
2024-02-13,10
2024-02-14,10
2024-02-15,10
2024-02-16,11
2024-02-17,12
2024-02-18,11
2024-02-19,12
2024-02-20,13
2024-02-21,14
2024-02-22,19
2024-02-23,24
2024-02-24,26
2024-02-25,22
2024-02-26,20
2024-02-27,19
2024-02-28,17
2024-02-29,17
2024-03-01,15
2024-03-02,19
2024-03-03,18
2024-03-04,17
2024-03-05,17
2024-03-06,16
2024-03-07,16
2024-03-08,18
2024-03-09,18
2024-03-10,19
2024-03-11,17
2024-03-12,17
2024-03-13,18
2024-03-14,19
2024-03-15,22
2024-03-16,23
2024-03-17,24
2024-03-18,21
2024-03-19,27
2024-03-20,37
2024-03-21,30
2024-03-22,22
2024-03-23,23
2024-03-24,26
2024-03-25,25
2024-03-26,26
2024-03-27,29
2024-03-28,80
2024-03-29,74
2024-03-30,78
2024-03-31,84
2024-04-01,61
2024-04-02,65
2024-04-03,65
2024-04-04,54
2024-04-05,55
2024-04-06,66
2024-04-07,72
2024-04-08,43
2024-04-09,59
2024-04-10,58
2024-04-11,47
2024-04-12,41
2024-04-13,71
2024-04-14,69
2024-04-15,48
2024-04-16,54
2024-04-17,63
2024-04-18,46
2024-04-19,45
2024-04-20,73
2024-04-21,71
2024-04-22,45
2024-04-23,46
2024-04-24,55
2024-04-25,57
2024-04-26,41
2024-04-27,63
2024-04-28,69
2024-04-29,42
2024-04-30,48
2024-05-01,57
2024-05-02,52
2024-05-03,42
2024-05-04,69
2024-05-05,72
2024-05-06,44
2024-05-07,46
2024-05-08,56
2024-05-09,50
2024-05-10,42
2024-05-11,66
2024-05-12,70
2024-05-13,39
2024-05-14,50
2024-05-15,54
2024-05-16,46
2024-05-17,45
2024-05-18,67
2024-05-19,70
2024-05-20,45
2024-05-21,49
2024-05-22,58
2024-05-23,56
2024-05-24,42
2024-05-25,70
2024-05-26,71
2024-05-27,57
2024-05-28,44
2024-05-29,62
2024-05-30,54
2024-05-31,47
2024-06-01,69
2024-06-02,77
2024-06-03,43
2024-06-04,52
2024-06-05,62
2024-06-06,54
2024-06-07,50
2024-06-08,77
2024-06-09,75
2024-06-10,46
2024-06-11,51
2024-06-12,61
2024-06-13,59
2024-06-14,49
2024-06-15,70
2024-06-16,72
2024-06-17,50
2024-06-18,52
2024-06-19,69
2024-06-20,64
2024-06-21,55
2024-06-22,75
2024-06-23,77
2024-06-24,45
2024-06-25,56
2024-06-26,65
2024-06-27,60
2024-06-28,48
2024-06-29,74
2024-06-30,77
2024-07-01,46
2024-07-02,47
2024-07-03,64
2024-07-04,86
2024-07-05,56
2024-07-06,84
2024-07-07,77
2024-07-08,55
2024-07-09,52
2024-07-10,62
2024-07-11,66
2024-07-12,58
2024-07-13,82
2024-07-14,100
2024-07-15,90
2024-07-16,72
2024-07-17,72
2024-07-18,27
2024-07-19,38
2024-07-20,69
2024-07-21,73
2024-07-22,45
2024-07-23,51
2024-07-24,65
2024-07-25,60
2024-07-26,52
2024-07-27,69
2024-07-28,82
2024-07-29,56
2024-07-30,87
2024-07-31,67
2024-08-01,43
2024-08-02,47
2024-08-03,71
2024-08-04,76
2024-08-05,40
2024-08-06,48
2024-08-07,59
2024-08-08,57
2024-08-09,47
2024-08-10,65
2024-08-11,72
2024-08-12,41
2024-08-13,51
2024-08-14,57
2024-08-15,59
2024-08-16,44
2024-08-17,68
2024-08-18,72
2024-08-19,39
2024-08-20,48
2024-08-21,59
2024-08-22,56
2024-08-23,45
2024-08-24,71
2024-08-25,73
2024-08-26,44
2024-08-27,50
2024-08-28,61
2024-08-29,55
2024-08-30,48
2024-08-31,63
2024-09-01,76
2024-09-02,61
2024-09-03,45
2024-09-04,57
2024-09-05,53
2024-09-06,42
2024-09-07,62
2024-09-08,63
2024-09-09,35
2024-09-10,47
2024-09-11,57
2024-09-12,56
2024-09-13,46
2024-09-14,68
2024-09-15,62
2024-09-16,39
