Time,frontier airlines
2022-08-29,42
2022-08-30,43
2022-08-31,44
2022-09-01,43
2022-09-02,39
2022-09-03,36
2022-09-04,35
2022-09-05,41
2022-09-06,45
2022-09-07,45
2022-09-08,52
2022-09-09,47
2022-09-10,35
2022-09-11,37
2022-09-12,41
2022-09-13,45
2022-09-14,46
2022-09-15,46
2022-09-16,40
2022-09-17,38
2022-09-18,39
2022-09-19,44
2022-09-20,55
2022-09-21,67
2022-09-22,45
2022-09-23,42
2022-09-24,37
2022-09-25,42
2022-09-26,51
2022-09-27,51
2022-09-28,45
2022-09-29,44
2022-09-30,44
2022-10-01,43
2022-10-02,36
2022-10-03,43
2022-10-04,47
2022-10-05,47
2022-10-06,48
2022-10-07,46
2022-10-08,36
2022-10-09,38
2022-10-10,44
2022-10-11,46
2022-10-12,47
2022-10-13,46
2022-10-14,43
2022-10-15,38
2022-10-16,39
2022-10-17,45
2022-10-18,51
2022-10-19,50
2022-10-20,45
2022-10-21,44
2022-10-22,36
2022-10-23,38
2022-10-24,44
2022-10-25,46
2022-10-26,48
2022-10-27,48
2022-10-28,46
2022-10-29,36
2022-10-30,37
2022-10-31,41
2022-11-01,41
2022-11-02,44
2022-11-03,48
2022-11-04,41
2022-11-05,40
2022-11-06,40
2022-11-07,48
2022-11-08,72
2022-11-09,72
2022-11-10,48
2022-11-11,42
2022-11-12,40
2022-11-13,47
2022-11-14,51
2022-11-15,56
2022-11-16,58
2022-11-17,100
2022-11-18,96
2022-11-19,73
2022-11-20,58
2022-11-21,55
2022-11-22,51
2022-11-23,47
2022-11-24,38
2022-11-25,54
2022-11-26,45
2022-11-27,52
2022-11-28,53
2022-11-29,54
2022-11-30,49
2022-12-01,44
2022-12-02,40
2022-12-03,35
2022-12-04,40
2022-12-05,43
2022-12-06,42
2022-12-07,43
2022-12-08,39
2022-12-09,37
2022-12-10,35
2022-12-11,35
2022-12-12,40
2022-12-13,40
2022-12-14,40
2022-12-15,41
2022-12-16,41
2022-12-17,38
2022-12-18,36
2022-12-19,41
2022-12-20,46
2022-12-21,49
2022-12-22,57
2022-12-23,58
2022-12-24,46
2022-12-25,42
2022-12-26,69
2022-12-27,80
2022-12-28,67
2022-12-29,57
2022-12-30,45
2022-12-31,37
2023-01-01,39
2023-01-02,54
2023-01-03,52
2023-01-04,53
2023-01-05,56
2023-01-06,53
2023-01-07,47
2023-01-08,47
2023-01-09,52
2023-01-10,55
2023-01-11,60
2023-01-12,53
2023-01-13,50
2023-01-14,44
2023-01-15,44
2023-01-16,51
2023-01-17,57
2023-01-18,56
2023-01-19,49
2023-01-20,43
2023-01-21,40
2023-01-22,42
2023-01-23,44
2023-01-24,48
2023-01-25,45
2023-01-26,47
2023-01-27,45
2023-01-28,41
2023-01-29,42
2023-01-30,45
2023-01-31,54
2023-02-01,72
2023-02-02,78
2023-02-03,69
2023-02-04,70
2023-02-05,65
2023-02-06,57
2023-02-07,52
2023-02-08,47
2023-02-09,48
2023-02-10,45
2023-02-11,42
2023-02-12,38
2023-02-13,38
2023-02-14,42
2023-02-15,46
2023-02-16,51
2023-02-17,48
2023-02-18,44
2023-02-19,46
2023-02-20,50
2023-02-21,48
2023-02-22,50
2023-02-23,49
2023-02-24,48
2023-02-25,47
2023-02-26,47
2023-02-27,47
2023-02-28,48
2023-03-01,48
2023-03-02,43
2023-03-03,42
2023-03-04,40
2023-03-05,43
2023-03-06,47
2023-03-07,51
2023-03-08,49
2023-03-09,48
2023-03-10,48
2023-03-11,48
2023-03-12,49
2023-03-13,49
2023-03-14,50
2023-03-15,50
2023-03-16,45
2023-03-17,45
2023-03-18,45
2023-03-19,51
2023-03-20,48
2023-03-21,47
2023-03-22,43
2023-03-23,41
2023-03-24,36
2023-03-25,36
2023-03-26,39
2023-03-27,39
2023-03-28,41
2023-03-29,43
2023-03-30,38
2023-03-31,37
2023-04-01,36
2023-04-02,38
2023-04-03,39
2023-04-04,40
2023-04-05,41
2023-04-06,41
2023-04-07,32
2023-04-08,31
2023-04-09,33
2023-04-10,38
2023-04-11,39
2023-04-12,40
2023-04-13,40
2023-04-14,38
2023-04-15,33
2023-04-16,38
2023-04-17,38
2023-04-18,38
2023-04-19,41
2023-04-20,39
2023-04-21,37
2023-04-22,34
2023-04-23,35
2023-04-24,37
2023-04-25,39
2023-04-26,38
2023-04-27,35
2023-04-28,35
2023-04-29,33
2023-04-30,35
2023-05-01,38
2023-05-02,42
2023-05-03,44
2023-05-04,40
2023-05-05,38
2023-05-06,36
2023-05-07,37
2023-05-08,40
2023-05-09,40
2023-05-10,40
2023-05-11,39
2023-05-12,39
2023-05-13,35
2023-05-14,35
2023-05-15,40
2023-05-16,42
2023-05-17,40
2023-05-18,41
2023-05-19,38
2023-05-20,38
2023-05-21,41
2023-05-22,41
2023-05-23,43
2023-05-24,43
2023-05-25,43
