Time,indeed
2025-12-11,70
2025-12-12,59
2025-12-13,45
2025-12-14,43
2025-12-15,72
2025-12-16,74
2025-12-17,78
2025-12-18,72
2025-12-19,63
2025-12-20,44
2025-12-21,42
2025-12-22,63
2025-12-23,56
2025-12-24,39
2025-12-25,31
2025-12-26,49
2025-12-27,45
2025-12-28,51
2025-12-29,79
2025-12-30,79
2025-12-31,57
2026-01-01,41
2026-01-02,72
2026-01-03,57
2026-01-04,59
2026-01-05,94
2026-01-06,99
2026-01-07,91
2026-01-08,89
2026-01-09,80
2026-01-10,58
2026-01-11,53
2026-01-12,90
2026-01-13,92
2026-01-14,87
2026-01-15,87
2026-01-16,76
2026-01-17,54
2026-01-18,50
2026-01-19,78
2026-01-20,86
2026-01-21,89
2026-01-22,80
2026-01-23,71
2026-01-24,51
2026-01-25,46
2026-01-26,81
2026-01-27,85
2026-01-28,86
2026-01-29,85
2026-01-30,75
2026-01-31,54
2026-02-01,51
2026-02-02,82
2026-02-03,86
2026-02-04,81
2026-02-05,78
2026-02-06,73
2026-02-07,49
2026-02-08,43
2026-02-09,72
2026-02-10,81
2026-02-11,82
2026-02-12,79
2026-02-13,66
2026-02-14,42
2026-02-15,44
2026-02-16,75
2026-02-17,79
2026-02-18,81
2026-02-19,80
2026-02-20,68
2026-02-21,50
2026-02-22,47
2026-02-23,79
2026-02-24,84
2026-02-25,79
2026-02-26,81
2026-02-27,71
2026-02-28,45
2026-03-01,47
2026-03-02,80
2026-03-03,90
2026-03-04,81
2026-03-05,84
2026-03-06,76
2026-03-07,54
2026-03-08,49
2026-03-09,84
2026-03-10,88
2026-03-11,86
2026-03-12,76
2026-03-13,74
2026-03-14,52
2026-03-15,49
2026-03-16,85
2026-03-17,89
2026-03-18,89
2026-03-19,82
2026-03-20,74
2026-03-21,52
2026-03-22,51
2026-03-23,90
2026-03-24,100
2026-03-25,92
2026-03-26,90
2026-03-27,78
2026-03-28,57
2026-03-29,57
2026-03-30,92
2026-03-31,95
2026-04-01,92
2026-04-02,80
2026-04-03,67
2026-04-04,49
2026-04-05,54
2026-04-06,84
2026-04-07,86
2026-04-08,85
2026-04-09,76
2026-04-10,70
2026-04-11,45
2026-04-12,52
2026-04-13,84
2026-04-14,83
2026-04-15,84
2026-04-16,76
2026-04-17,69
2026-04-18,50
2026-04-19,50
2026-04-20,85
2026-04-21,88
2026-04-22,85
2026-04-23,82
2026-04-24,68
2026-04-25,48
2026-04-26,52
2026-04-27,87
2026-04-28,86
2026-04-29,88
2026-04-30,85
2026-05-01,66
2026-05-02,48
2026-05-03,49
2026-05-04,78
2026-05-05,84
2026-05-06,82
2026-05-07,74
2026-05-08,70
2026-05-09,48
2026-05-10,42
2026-05-11,82
2026-05-12,86
2026-05-13,86
2026-05-14,83
2026-05-15,69
2026-05-16,56
2026-05-17,46
2026-05-18,81
2026-05-19,82
2026-05-20,82
2026-05-21,81
2026-05-22,72
2026-05-23,53
2026-05-24,49
2026-05-25,55
2026-05-26,92
2026-05-27,86
2026-05-28,87
2026-05-29,80
2026-05-30,58
2026-05-31,59
