Time,indeed
2023-12-22,53
2023-12-23,42
2023-12-24,29
2023-12-25,30
2023-12-26,66
2023-12-27,76
2023-12-28,70
2023-12-29,66
2023-12-30,49
2023-12-31,42
2024-01-01,49
2024-01-02,85
2024-01-03,100
2024-01-04,92
2024-01-05,80
2024-01-06,59
2024-01-07,56
2024-01-08,90
2024-01-09,88
2024-01-10,90
2024-01-11,84
2024-01-12,74
2024-01-13,54
2024-01-14,52
2024-01-15,74
2024-01-16,81
2024-01-17,87
2024-01-18,85
2024-01-19,74
2024-01-20,57
2024-01-21,56
2024-01-22,90
2024-01-23,89
2024-01-24,87
2024-01-25,86
2024-01-26,70
2024-01-27,50
2024-01-28,48
2024-01-29,77
2024-01-30,82
2024-01-31,79
2024-02-01,74
2024-02-02,66
2024-02-03,51
2024-02-04,51
2024-02-05,75
2024-02-06,80
2024-02-07,78
2024-02-08,72
2024-02-09,64
2024-02-10,49
2024-02-11,41
2024-02-12,64
2024-02-13,74
2024-02-14,67
2024-02-15,72
2024-02-16,65
2024-02-17,48
2024-02-18,48
2024-02-19,73
2024-02-20,78
2024-02-21,78
2024-02-22,68
2024-02-23,62
2024-02-24,45
2024-02-25,44
2024-02-26,72
2024-02-27,75
2024-02-28,72
2024-02-29,70
2024-03-01,60
2024-03-02,51
2024-03-03,45
2024-03-04,70
2024-03-05,74
2024-03-06,75
2024-03-07,67
2024-03-08,61
2024-03-09,45
2024-03-10,43
2024-03-11,70
2024-03-12,72
2024-03-13,65
2024-03-14,67
2024-03-15,57
2024-03-16,43
2024-03-17,44
2024-03-18,71
2024-03-19,72
2024-03-20,71
2024-03-21,65
2024-03-22,58
2024-03-23,43
2024-03-24,44
2024-03-25,68
2024-03-26,70
2024-03-27,71
2024-03-28,64
2024-03-29,56
2024-03-30,43
2024-03-31,43
2024-04-01,71
2024-04-02,78
2024-04-03,72
2024-04-04,68
2024-04-05,61
2024-04-06,44
2024-04-07,44
2024-04-08,63
2024-04-09,75
2024-04-10,75
2024-04-11,68
2024-04-12,62
2024-04-13,42
2024-04-14,45
2024-04-15,72
2024-04-16,76
2024-04-17,74
2024-04-18,70
2024-04-19,61
2024-04-20,44
2024-04-21,47
2024-04-22,74
2024-04-23,77
2024-04-24,74
2024-04-25,69
2024-04-26,59
2024-04-27,42
2024-04-28,45
2024-04-29,76
2024-04-30,74
2024-05-01,71
2024-05-02,68
2024-05-03,60
2024-05-04,43
2024-05-05,44
2024-05-06,71
2024-05-07,73
2024-05-08,69
2024-05-09,67
2024-05-10,60
2024-05-11,43
2024-05-12,40
2024-05-13,80
2024-05-14,79
2024-05-15,75
2024-05-16,71
2024-05-17,62
2024-05-18,46
2024-05-19,48
2024-05-20,75
2024-05-21,77
2024-05-22,75
2024-05-23,71
2024-05-24,62
2024-05-25,44
2024-05-26,41
2024-05-27,51
2024-05-28,76
2024-05-29,82
2024-05-30,77
2024-05-31,63
2024-06-01,46
2024-06-02,49
2024-06-03,79
2024-06-04,80
2024-06-05,75
2024-06-06,71
2024-06-07,61
2024-06-08,45
2024-06-09,48
2024-06-10,78
2024-06-11,81
2024-06-12,77
2024-06-13,71
2024-06-14,63
2024-06-15,43
2024-06-16,42
2024-06-17,74
2024-06-18,74
2024-06-19,72
2024-06-20,67
2024-06-21,66
2024-06-22,46
2024-06-23,45
2024-06-24,75
2024-06-25,77
2024-06-26,71
2024-06-27,70
2024-06-28,61
2024-06-29,44
2024-06-30,44
2024-07-01,74
2024-07-02,72
2024-07-03,60
2024-07-04,43
2024-07-05,51
2024-07-06,43
2024-07-07,46
2024-07-08,73
2024-07-09,75
2024-07-10,72
2024-07-11,72
2024-07-12,61
2024-07-13,48
2024-07-14,39
2024-07-15,69
2024-07-16,72
2024-07-17,71
2024-07-18,71
2024-07-19,59
2024-07-20,45
2024-07-21,44
2024-07-22,71
2024-07-23,76
2024-07-24,73
2024-07-25,72
2024-07-26,60
2024-07-27,41
2024-07-28,44
2024-07-29,75
2024-07-30,79
2024-07-31,75
2024-08-01,70
2024-08-02,60
2024-08-03,44
2024-08-04,46
2024-08-05,71
2024-08-06,73
2024-08-07,72
2024-08-08,68
2024-08-09,60
2024-08-10,42
2024-08-11,46
2024-08-12,74
2024-08-13,75
2024-08-14,76
2024-08-15,68
2024-08-16,61
2024-08-17,43
2024-08-18,46
2024-08-19,70
2024-08-20,77
2024-08-21,72
2024-08-22,67
2024-08-23,61
2024-08-24,44
2024-08-25,46
2024-08-26,70
2024-08-27,70
2024-08-28,70
2024-08-29,65
2024-08-30,55
2024-08-31,39
2024-09-01,39
2024-09-02,48
2024-09-03,67
2024-09-04,70
2024-09-05,65
2024-09-06,55
2024-09-07,39
2024-09-08,41
2024-09-09,65
2024-09-10,67
2024-09-11,64
2024-09-12,62
2024-09-13,55
2024-09-14,41
2024-09-15,37
2024-09-16,66
