Time,indeed
2023-04-26,83
2023-04-27,78
2023-04-28,70
2023-04-29,52
2023-04-30,52
2023-05-01,85
2023-05-02,89
2023-05-03,85
2023-05-04,82
2023-05-05,69
2023-05-06,50
2023-05-07,52
2023-05-08,88
2023-05-09,87
2023-05-10,84
2023-05-11,80
2023-05-12,71
2023-05-13,51
2023-05-14,45
2023-05-15,92
2023-05-16,97
2023-05-17,91
2023-05-18,88
2023-05-19,76
2023-05-20,55
2023-05-21,54
2023-05-22,89
2023-05-23,93
2023-05-24,92
2023-05-25,82
2023-05-26,74
2023-05-27,52
2023-05-28,49
2023-05-29,60
2023-05-30,94
2023-05-31,92
2023-06-01,86
2023-06-02,78
2023-06-03,54
2023-06-04,58
2023-06-05,94
2023-06-06,94
2023-06-07,90
2023-06-08,86
2023-06-09,71
2023-06-10,54
2023-06-11,54
2023-06-12,96
2023-06-13,95
2023-06-14,96
2023-06-15,90
2023-06-16,76
2023-06-17,52
2023-06-18,49
2023-06-19,89
2023-06-20,93
2023-06-21,91
2023-06-22,88
2023-06-23,80
2023-06-24,55
2023-06-25,56
2023-06-26,94
2023-06-27,95
2023-06-28,90
2023-06-29,86
2023-06-30,76
2023-07-01,53
2023-07-02,52
2023-07-03,76
2023-07-04,58
2023-07-05,95
2023-07-06,95
2023-07-07,81
2023-07-08,59
2023-07-09,54
2023-07-10,93
2023-07-11,89
2023-07-12,87
2023-07-13,86
2023-07-14,76
2023-07-15,52
2023-07-16,54
2023-07-17,88
2023-07-18,100
2023-07-19,85
2023-07-20,82
2023-07-21,69
2023-07-22,50
2023-07-23,54
2023-07-24,86
2023-07-25,90
2023-07-26,89
2023-07-27,81
2023-07-28,72
2023-07-29,52
2023-07-30,53
2023-07-31,81
2023-08-01,85
2023-08-02,89
2023-08-03,82
2023-08-04,74
2023-08-05,52
2023-08-06,54
2023-08-07,88
2023-08-08,89
2023-08-09,89
2023-08-10,82
2023-08-11,73
2023-08-12,51
2023-08-13,54
2023-08-14,85
2023-08-15,92
2023-08-16,95
2023-08-17,81
2023-08-18,73
2023-08-19,52
2023-08-20,53
2023-08-21,86
2023-08-22,91
2023-08-23,89
2023-08-24,79
2023-08-25,71
2023-08-26,49
2023-08-27,53
2023-08-28,83
2023-08-29,82
2023-08-30,81
2023-08-31,78
2023-09-01,65
2023-09-02,45
2023-09-03,45
2023-09-04,58
2023-09-05,84
2023-09-06,86
2023-09-07,79
2023-09-08,66
2023-09-09,49
2023-09-10,47
2023-09-11,81
2023-09-12,86
2023-09-13,83
2023-09-14,77
2023-09-15,67
2023-09-16,48
2023-09-17,48
2023-09-18,80
2023-09-19,86
2023-09-20,80
2023-09-21,80
2023-09-22,67
2023-09-23,51
2023-09-24,48
2023-09-25,82
2023-09-26,84
2023-09-27,82
2023-09-28,76
2023-09-29,64
2023-09-30,48
2023-10-01,47
2023-10-02,81
2023-10-03,81
2023-10-04,80
2023-10-05,76
2023-10-06,65
2023-10-07,47
2023-10-08,44
2023-10-09,76
2023-10-10,81
2023-10-11,81
2023-10-12,72
2023-10-13,61
2023-10-14,47
2023-10-15,47
2023-10-16,77
2023-10-17,84
2023-10-18,75
2023-10-19,74
2023-10-20,64
2023-10-21,46
2023-10-22,45
2023-10-23,74
2023-10-24,82
2023-10-25,79
2023-10-26,75
2023-10-27,64
2023-10-28,43
2023-10-29,41
2023-10-30,78
2023-10-31,73
2023-11-01,79
2023-11-02,75
2023-11-03,66
2023-11-04,47
2023-11-05,49
2023-11-06,78
2023-11-07,81
2023-11-08,76
2023-11-09,71
2023-11-10,59
2023-11-11,44
2023-11-12,46
2023-11-13,72
2023-11-14,75
2023-11-15,76
2023-11-16,71
2023-11-17,60
2023-11-18,43
2023-11-19,41
2023-11-20,63
2023-11-21,63
2023-11-22,50
2023-11-23,31
2023-11-24,41
2023-11-25,40
2023-11-26,46
2023-11-27,71
2023-11-28,77
2023-11-29,73
2023-11-30,72
2023-12-01,61
2023-12-02,47
2023-12-03,45
2023-12-04,72
2023-12-05,74
2023-12-06,68
2023-12-07,67
2023-12-08,63
2023-12-09,45
2023-12-10,45
2023-12-11,72
2023-12-12,71
2023-12-13,71
2023-12-14,61
2023-12-15,55
2023-12-16,42
2023-12-17,41
2023-12-18,61
2023-12-19,64
2023-12-20,61
2023-12-21,55
2023-12-22,48
2023-12-23,38
2023-12-24,26
2023-12-25,27
2023-12-26,60
2023-12-27,68
2023-12-28,63
2023-12-29,59
2023-12-30,44
2023-12-31,38
2024-01-01,44
2024-01-02,76
2024-01-03,90
2024-01-04,83
2024-01-05,72
2024-01-06,53
2024-01-07,50
2024-01-08,81
2024-01-09,79
2024-01-10,81
2024-01-11,76
2024-01-12,67
2024-01-13,49
2024-01-14,47
2024-01-15,66
2024-01-16,73
2024-01-17,78
2024-01-18,77
2024-01-19,66
2024-01-20,52
