Time,american airlines
2023-04-26,77
2023-04-27,73
2023-04-28,77
2023-04-29,61
2023-04-30,77
2023-05-01,90
2023-05-02,90
2023-05-03,79
2023-05-04,79
2023-05-05,70
2023-05-06,62
2023-05-07,68
2023-05-08,81
2023-05-09,78
2023-05-10,74
2023-05-11,78
2023-05-12,79
2023-05-13,72
2023-05-14,70
2023-05-15,83
2023-05-16,86
2023-05-17,80
2023-05-18,80
2023-05-19,76
2023-05-20,67
2023-05-21,75
2023-05-22,77
2023-05-23,83
2023-05-24,80
2023-05-25,77
2023-05-26,75
2023-05-27,58
2023-05-28,58
2023-05-29,72
2023-05-30,79
2023-05-31,83
2023-06-01,82
2023-06-02,75
2023-06-03,72
2023-06-04,80
2023-06-05,83
2023-06-06,85
2023-06-07,81
2023-06-08,84
2023-06-09,78
2023-06-10,71
2023-06-11,74
2023-06-12,87
2023-06-13,87
2023-06-14,88
2023-06-15,89
2023-06-16,85
2023-06-17,72
2023-06-18,74
2023-06-19,90
2023-06-20,89
2023-06-21,87
2023-06-22,86
2023-06-23,83
2023-06-24,75
2023-06-25,85
2023-06-26,98
2023-06-27,100
2023-06-28,95
2023-06-29,90
2023-06-30,85
2023-07-01,77
2023-07-02,76
2023-07-03,76
2023-07-04,72
2023-07-05,89
2023-07-06,95
2023-07-07,95
2023-07-08,84
2023-07-09,97
2023-07-10,94
2023-07-11,87
2023-07-12,83
2023-07-13,82
2023-07-14,86
2023-07-15,80
2023-07-16,90
2023-07-17,90
2023-07-18,87
2023-07-19,83
2023-07-20,80
2023-07-21,76
2023-07-22,71
2023-07-23,79
2023-07-24,84
2023-07-25,83
2023-07-26,79
2023-07-27,81
2023-07-28,77
2023-07-29,74
2023-07-30,75
2023-07-31,78
2023-08-01,83
2023-08-02,77
2023-08-03,75
2023-08-04,76
2023-08-05,65
2023-08-06,75
2023-08-07,89
2023-08-08,88
2023-08-09,81
2023-08-10,82
2023-08-11,75
2023-08-12,69
2023-08-13,74
2023-08-14,78
2023-08-15,76
2023-08-16,78
2023-08-17,77
2023-08-18,77
2023-08-19,66
2023-08-20,72
2023-08-21,74
2023-08-22,75
2023-08-23,75
2023-08-24,70
2023-08-25,64
2023-08-26,59
2023-08-27,70
2023-08-28,77
2023-08-29,76
2023-08-30,79
2023-08-31,94
2023-09-01,89
2023-09-02,59
2023-09-03,53
2023-09-04,69
2023-09-05,73
2023-09-06,66
2023-09-07,71
2023-09-08,69
2023-09-09,72
2023-09-10,76
2023-09-11,78
2023-09-12,70
2023-09-13,71
2023-09-14,74
2023-09-15,71
2023-09-16,56
2023-09-17,61
2023-09-18,70
2023-09-19,74
2023-09-20,70
2023-09-21,68
2023-09-22,65
2023-09-23,61
2023-09-24,66
2023-09-25,72
2023-09-26,70
2023-09-27,70
2023-09-28,72
2023-09-29,69
2023-09-30,56
2023-10-01,60
2023-10-02,69
2023-10-03,72
2023-10-04,71
2023-10-05,68
2023-10-06,62
2023-10-07,58
2023-10-08,56
2023-10-09,66
2023-10-10,70
2023-10-11,69
2023-10-12,68
2023-10-13,62
2023-10-14,54
2023-10-15,63
2023-10-16,68
2023-10-17,71
2023-10-18,68
2023-10-19,69
2023-10-20,67
2023-10-21,55
2023-10-22,59
2023-10-23,64
2023-10-24,68
2023-10-25,66
2023-10-26,68
2023-10-27,63
2023-10-28,49
2023-10-29,50
2023-10-30,63
2023-10-31,60
2023-11-01,63
2023-11-02,63
2023-11-03,61
2023-11-04,53
2023-11-05,58
2023-11-06,68
2023-11-07,69
2023-11-08,66
2023-11-09,65
2023-11-10,63
2023-11-11,50
2023-11-12,53
2023-11-13,64
2023-11-14,62
2023-11-15,66
2023-11-16,67
2023-11-17,63
2023-11-18,62
2023-11-19,61
2023-11-20,66
2023-11-21,69
2023-11-22,66
2023-11-23,45
2023-11-24,53
2023-11-25,52
2023-11-26,66
2023-11-27,74
2023-11-28,82
2023-11-29,71
2023-11-30,61
2023-12-01,55
2023-12-02,50
2023-12-03,54
2023-12-04,64
2023-12-05,61
2023-12-06,63
2023-12-07,60
2023-12-08,59
2023-12-09,55
2023-12-10,61
2023-12-11,63
2023-12-12,64
2023-12-13,63
2023-12-14,62
2023-12-15,63
2023-12-16,58
2023-12-17,57
2023-12-18,64
2023-12-19,66
2023-12-20,65
2023-12-21,67
2023-12-22,64
2023-12-23,57
2023-12-24,46
2023-12-25,45
2023-12-26,72
2023-12-27,75
2023-12-28,75
2023-12-29,73
2023-12-30,62
2023-12-31,51
2024-01-01,58
2024-01-02,79
2024-01-03,83
2024-01-04,75
2024-01-05,72
2024-01-06,75
2024-01-07,83
2024-01-08,81
2024-01-09,86
2024-01-10,85
2024-01-11,78
2024-01-12,85
2024-01-13,73
2024-01-14,71
2024-01-15,87
2024-01-16,87
2024-01-17,82
2024-01-18,75
2024-01-19,76
2024-01-20,68
