Time,american airlines
2025-12-11,61
2025-12-12,60
2025-12-13,57
2025-12-14,67
2025-12-15,66
2025-12-16,59
2025-12-17,62
2025-12-18,64
2025-12-19,72
2025-12-20,69
2025-12-21,62
2025-12-22,69
2025-12-23,69
2025-12-24,55
2025-12-25,48
2025-12-26,70
2025-12-27,72
2025-12-28,78
2025-12-29,78
2025-12-30,84
2025-12-31,70
2026-01-01,63
2026-01-02,76
2026-01-03,76
2026-01-04,81
2026-01-05,81
2026-01-06,80
2026-01-07,78
2026-01-08,72
2026-01-09,72
2026-01-10,67
2026-01-11,72
2026-01-12,68
2026-01-13,73
2026-01-14,72
2026-01-15,68
2026-01-16,74
2026-01-17,64
2026-01-18,66
2026-01-19,74
2026-01-20,74
2026-01-21,76
2026-01-22,74
2026-01-23,72
2026-01-24,73
2026-01-25,73
2026-01-26,95
2026-01-27,100
2026-01-28,89
2026-01-29,78
2026-01-30,74
2026-01-31,75
2026-02-01,75
2026-02-02,71
2026-02-03,69
2026-02-04,67
2026-02-05,68
2026-02-06,65
2026-02-07,65
2026-02-08,59
2026-02-09,60
2026-02-10,67
2026-02-11,71
2026-02-12,68
2026-02-13,67
2026-02-14,63
2026-02-15,71
2026-02-16,77
2026-02-17,75
2026-02-18,71
2026-02-19,68
2026-02-20,69
2026-02-21,71
2026-02-22,87
2026-02-23,84
2026-02-24,77
2026-02-25,80
2026-02-26,74
2026-02-27,72
2026-02-28,64
2026-03-01,68
2026-03-02,74
2026-03-03,77
2026-03-04,73
2026-03-05,73
2026-03-06,75
2026-03-07,80
2026-03-08,82
2026-03-09,70
2026-03-10,75
2026-03-11,77
2026-03-12,81
2026-03-13,83
2026-03-14,80
2026-03-15,87
2026-03-16,99
2026-03-17,88
2026-03-18,81
2026-03-19,73
2026-03-20,69
2026-03-21,68
2026-03-22,75
2026-03-23,76
2026-03-24,75
2026-03-25,71
2026-03-26,69
2026-03-27,71
2026-03-28,73
2026-03-29,70
2026-03-30,69
2026-03-31,73
2026-04-01,69
2026-04-02,69
2026-04-03,64
2026-04-04,54
2026-04-05,56
2026-04-06,67
2026-04-07,69
2026-04-08,68
2026-04-09,64
2026-04-10,63
2026-04-11,55
2026-04-12,63
2026-04-13,67
2026-04-14,78
2026-04-15,69
2026-04-16,70
2026-04-17,67
2026-04-18,66
2026-04-19,67
2026-04-20,66
2026-04-21,65
2026-04-22,69
2026-04-23,69
2026-04-24,60
2026-04-25,53
2026-04-26,60
2026-04-27,72
2026-04-28,72
2026-04-29,69
2026-04-30,69
2026-05-01,66
2026-05-02,77
2026-05-03,76
2026-05-04,72
2026-05-05,65
2026-05-06,68
2026-05-07,68
2026-05-08,64
2026-05-09,55
2026-05-10,64
2026-05-11,71
2026-05-12,69
2026-05-13,69
2026-05-14,67
2026-05-15,71
2026-05-16,68
2026-05-17,62
2026-05-18,74
2026-05-19,86
2026-05-20,85
2026-05-21,84
2026-05-22,73
2026-05-23,66
2026-05-24,61
2026-05-25,73
2026-05-26,77
2026-05-27,71
2026-05-28,73
2026-05-29,68
2026-05-30,56
2026-05-31,70
