Time,american airlines
2022-08-29,54
2022-08-30,54
2022-08-31,55
2022-09-01,53
2022-09-02,54
2022-09-03,41
2022-09-04,41
2022-09-05,54
2022-09-06,57
2022-09-07,57
2022-09-08,48
2022-09-09,49
2022-09-10,43
2022-09-11,46
2022-09-12,58
2022-09-13,59
2022-09-14,60
2022-09-15,55
2022-09-16,53
2022-09-17,47
2022-09-18,49
2022-09-19,57
2022-09-20,56
2022-09-21,55
2022-09-22,54
2022-09-23,53
2022-09-24,46
2022-09-25,51
2022-09-26,58
2022-09-27,60
2022-09-28,55
2022-09-29,57
2022-09-30,54
2022-10-01,48
2022-10-02,46
2022-10-03,53
2022-10-04,55
2022-10-05,54
2022-10-06,54
2022-10-07,50
2022-10-08,44
2022-10-09,50
2022-10-10,55
2022-10-11,56
2022-10-12,54
2022-10-13,55
2022-10-14,53
2022-10-15,44
2022-10-16,54
2022-10-17,57
2022-10-18,59
2022-10-19,56
2022-10-20,56
2022-10-21,49
2022-10-22,43
2022-10-23,45
2022-10-24,53
2022-10-25,55
2022-10-26,54
2022-10-27,51
2022-10-28,51
2022-10-29,39
2022-10-30,39
2022-10-31,47
2022-11-01,48
2022-11-02,52
2022-11-03,50
2022-11-04,50
2022-11-05,48
2022-11-06,43
2022-11-07,50
2022-11-08,49
2022-11-09,48
2022-11-10,48
2022-11-11,48
2022-11-12,39
2022-11-13,42
2022-11-14,49
2022-11-15,49
2022-11-16,48
2022-11-17,48
2022-11-18,49
2022-11-19,46
2022-11-20,45
2022-11-21,46
2022-11-22,49
2022-11-23,45
2022-11-24,30
2022-11-25,39
2022-11-26,39
2022-11-27,46
2022-11-28,55
2022-11-29,59
2022-11-30,49
2022-12-01,45
2022-12-02,42
2022-12-03,37
2022-12-04,40
2022-12-05,44
2022-12-06,46
2022-12-07,46
2022-12-08,46
2022-12-09,43
2022-12-10,38
2022-12-11,39
2022-12-12,45
2022-12-13,46
2022-12-14,47
2022-12-15,50
2022-12-16,49
2022-12-17,47
2022-12-18,43
2022-12-19,51
2022-12-20,55
2022-12-21,59
2022-12-22,69
2022-12-23,75
2022-12-24,61
2022-12-25,49
2022-12-26,72
2022-12-27,100
2022-12-28,79
2022-12-29,68
2022-12-30,57
2022-12-31,43
2023-01-01,45
2023-01-02,66
2023-01-03,65
2023-01-04,66
2023-01-05,61
2023-01-06,56
2023-01-07,52
2023-01-08,55
2023-01-09,59
2023-01-10,58
2023-01-11,71
2023-01-12,59
2023-01-13,58
2023-01-14,50
2023-01-15,48
2023-01-16,58
2023-01-17,57
2023-01-18,58
2023-01-19,56
2023-01-20,53
2023-01-21,46
2023-01-22,49
2023-01-23,53
2023-01-24,56
2023-01-25,58
2023-01-26,55
2023-01-27,50
2023-01-28,47
2023-01-29,48
2023-01-30,56
2023-01-31,63
2023-02-01,63
2023-02-02,59
2023-02-03,54
2023-02-04,51
2023-02-05,51
2023-02-06,58
2023-02-07,57
2023-02-08,55
2023-02-09,56
2023-02-10,55
2023-02-11,50
2023-02-12,48
2023-02-13,47
2023-02-14,52
2023-02-15,57
2023-02-16,57
2023-02-17,56
2023-02-18,53
2023-02-19,50
2023-02-20,60
2023-02-21,60
2023-02-22,62
2023-02-23,63
2023-02-24,59
2023-02-25,53
2023-02-26,56
2023-02-27,58
2023-02-28,60
2023-03-01,61
2023-03-02,60
2023-03-03,55
2023-03-04,55
2023-03-05,53
2023-03-06,58
2023-03-07,61
2023-03-08,59
2023-03-09,58
2023-03-10,61
2023-03-11,54
2023-03-12,56
2023-03-13,59
2023-03-14,58
2023-03-15,56
2023-03-16,55
2023-03-17,56
2023-03-18,49
2023-03-19,55
2023-03-20,54
2023-03-21,56
2023-03-22,55
2023-03-23,55
2023-03-24,53
2023-03-25,50
2023-03-26,52
2023-03-27,56
2023-03-28,55
2023-03-29,55
2023-03-30,52
2023-03-31,55
2023-04-01,53
2023-04-02,59
2023-04-03,57
2023-04-04,55
2023-04-05,55
2023-04-06,56
2023-04-07,51
2023-04-08,43
2023-04-09,40
2023-04-10,57
2023-04-11,57
2023-04-12,57
2023-04-13,55
2023-04-14,55
2023-04-15,49
2023-04-16,52
2023-04-17,55
2023-04-18,56
2023-04-19,56
2023-04-20,57
2023-04-21,58
2023-04-22,50
2023-04-23,54
2023-04-24,58
2023-04-25,56
2023-04-26,55
2023-04-27,52
2023-04-28,55
2023-04-29,44
2023-04-30,55
2023-05-01,64
2023-05-02,64
2023-05-03,56
2023-05-04,57
2023-05-05,50
2023-05-06,44
2023-05-07,48
2023-05-08,58
2023-05-09,56
2023-05-10,53
2023-05-11,56
2023-05-12,57
2023-05-13,52
2023-05-14,50
2023-05-15,59
2023-05-16,61
2023-05-17,57
2023-05-18,57
2023-05-19,54
2023-05-20,48
2023-05-21,53
2023-05-22,55
2023-05-23,59
2023-05-24,57
2023-05-25,55
