Time,american airlines
2025-04-15,66
2025-04-16,66
2025-04-17,64
2025-04-18,58
2025-04-19,49
2025-04-20,54
2025-04-21,67
2025-04-22,70
2025-04-23,65
2025-04-24,68
2025-04-25,59
2025-04-26,49
2025-04-27,56
2025-04-28,63
2025-04-29,66
2025-04-30,67
2025-05-01,70
2025-05-02,66
2025-05-03,56
2025-05-04,63
2025-05-05,72
2025-05-06,75
2025-05-07,69
2025-05-08,67
2025-05-09,67
2025-05-10,53
2025-05-11,56
2025-05-12,71
2025-05-13,71
2025-05-14,68
2025-05-15,70
2025-05-16,73
2025-05-17,75
2025-05-18,69
2025-05-19,74
2025-05-20,73
2025-05-21,73
2025-05-22,71
2025-05-23,69
2025-05-24,55
2025-05-25,54
2025-05-26,72
2025-05-27,75
2025-05-28,80
2025-05-29,74
2025-05-30,73
2025-05-31,67
2025-06-01,70
2025-06-02,82
2025-06-03,75
2025-06-04,73
2025-06-05,72
2025-06-06,70
2025-06-07,69
2025-06-08,77
2025-06-09,77
2025-06-10,74
2025-06-11,75
2025-06-12,73
2025-06-13,73
2025-06-14,57
2025-06-15,65
2025-06-16,78
2025-06-17,74
2025-06-18,80
2025-06-19,77
2025-06-20,71
2025-06-21,56
2025-06-22,66
2025-06-23,71
2025-06-24,72
2025-06-25,72
2025-06-26,80
2025-06-27,87
2025-06-28,84
2025-06-29,76
2025-06-30,79
2025-07-01,86
2025-07-02,81
2025-07-03,80
2025-07-04,82
2025-07-05,60
2025-07-06,80
2025-07-07,86
2025-07-08,86
2025-07-09,89
2025-07-10,84
2025-07-11,79
2025-07-12,71
2025-07-13,91
2025-07-14,93
2025-07-15,87
2025-07-16,84
2025-07-17,86
2025-07-18,74
2025-07-19,72
2025-07-20,80
2025-07-21,87
2025-07-22,88
2025-07-23,94
2025-07-24,81
2025-07-25,82
2025-07-26,72
2025-07-27,100
2025-07-28,95
2025-07-29,87
2025-07-30,84
2025-07-31,91
2025-08-01,85
2025-08-02,79
2025-08-03,79
2025-08-04,82
2025-08-05,77
2025-08-06,76
2025-08-07,80
2025-08-08,75
2025-08-09,68
2025-08-10,74
2025-08-11,76
2025-08-12,76
2025-08-13,76
2025-08-14,76
2025-08-15,73
2025-08-16,61
2025-08-17,76
2025-08-18,80
2025-08-19,73
2025-08-20,74
2025-08-21,72
2025-08-22,63
2025-08-23,57
2025-08-24,62
2025-08-25,72
2025-08-26,70
2025-08-27,66
2025-08-28,71
2025-08-29,73
2025-08-30,61
2025-08-31,56
2025-09-01,69
2025-09-02,72
2025-09-03,69
2025-09-04,70
2025-09-05,65
2025-09-06,57
2025-09-07,64
2025-09-08,69
2025-09-09,71
2025-09-10,66
2025-09-11,62
2025-09-12,62
2025-09-13,56
2025-09-14,57
2025-09-15,66
2025-09-16,68
2025-09-17,64
2025-09-18,68
2025-09-19,70
2025-09-20,61
2025-09-21,56
2025-09-22,72
2025-09-23,68
2025-09-24,73
2025-09-25,68
2025-09-26,64
2025-09-27,57
2025-09-28,58
2025-09-29,73
2025-09-30,71
2025-10-01,67
2025-10-02,65
2025-10-03,63
2025-10-04,47
2025-10-05,59
2025-10-06,70
2025-10-07,66
2025-10-08,72
2025-10-09,71
2025-10-10,64
2025-10-11,60
2025-10-12,62
2025-10-13,79
2025-10-14,83
2025-10-15,75
2025-10-16,70
2025-10-17,66
2025-10-18,51
2025-10-19,60
2025-10-20,69
2025-10-21,65
2025-10-22,71
2025-10-23,63
2025-10-24,62
2025-10-25,52
2025-10-26,57
2025-10-27,66
2025-10-28,61
2025-10-29,59
2025-10-30,70
2025-10-31,66
2025-11-01,55
2025-11-02,59
2025-11-03,72
2025-11-04,70
2025-11-05,91
2025-11-06,100
2025-11-07,99
2025-11-08,80
2025-11-09,87
2025-11-10,82
2025-11-11,76
2025-11-12,70
2025-11-13,66
2025-11-14,61
2025-11-15,46
2025-11-16,56
2025-11-17,66
2025-11-18,60
2025-11-19,60
2025-11-20,67
2025-11-21,69
2025-11-22,57
2025-11-23,54
2025-11-24,66
2025-11-25,71
2025-11-26,65
2025-11-27,46
2025-11-28,61
2025-11-29,79
2025-11-30,84
2025-12-01,83
2025-12-02,93
2025-12-03,73
2025-12-04,68
2025-12-05,64
2025-12-06,54
2025-12-07,61
2025-12-08,68
2025-12-09,66
2025-12-10,62
2025-12-11,63
2025-12-12,62
2025-12-13,59
2025-12-14,70
2025-12-15,68
2025-12-16,61
2025-12-17,64
2025-12-18,66
2025-12-19,74
2025-12-20,71
2025-12-21,64
2025-12-22,72
2025-12-23,71
2025-12-24,57
2025-12-25,50
2025-12-26,73
2025-12-27,75
2025-12-28,81
2025-12-29,81
2025-12-30,87
2025-12-31,72
2026-01-01,65
2026-01-02,78
2026-01-03,79
2026-01-04,84
2026-01-05,84
2026-01-06,83
2026-01-07,81
2026-01-08,75
2026-01-09,74
