Time,wordle
2024-08-18,75
2024-08-19,72
2024-08-20,74
2024-08-21,73
2024-08-22,73
2024-08-23,79
2024-08-24,73
2024-08-25,67
2024-08-26,72
2024-08-27,72
2024-08-28,83
2024-08-29,77
2024-08-30,90
2024-08-31,68
2024-09-01,71
2024-09-02,68
2024-09-03,72
2024-09-04,77
2024-09-05,78
2024-09-06,89
2024-09-07,70
2024-09-08,64
2024-09-09,82
2024-09-10,78
2024-09-11,81
2024-09-12,82
2024-09-13,83
2024-09-14,66
2024-09-15,73
2024-09-16,78
2024-09-17,91
2024-09-18,83
2024-09-19,78
2024-09-20,76
2024-09-21,63
2024-09-22,63
2024-09-23,71
2024-09-24,77
2024-09-25,74
2024-09-26,71
2024-09-27,77
2024-09-28,63
2024-09-29,65
2024-09-30,70
2024-10-01,74
2024-10-02,71
2024-10-03,76
2024-10-04,83
2024-10-05,67
2024-10-06,67
2024-10-07,74
2024-10-08,74
2024-10-09,90
2024-10-10,78
2024-10-11,76
2024-10-12,64
2024-10-13,61
2024-10-14,78
2024-10-15,97
2024-10-16,77
2024-10-17,83
2024-10-18,83
2024-10-19,65
2024-10-20,64
2024-10-21,75
2024-10-22,71
2024-10-23,79
2024-10-24,79
2024-10-25,74
2024-10-26,66
2024-10-27,60
2024-10-28,86
2024-10-29,77
2024-10-30,85
2024-10-31,87
2024-11-01,82
2024-11-02,60
2024-11-03,60
2024-11-04,84
2024-11-05,81
2024-11-06,61
2024-11-07,82
2024-11-08,73
2024-11-09,57
2024-11-10,61
2024-11-11,69
2024-11-12,75
2024-11-13,80
2024-11-14,100
2024-11-15,79
2024-11-16,59
2024-11-17,61
2024-11-18,73
2024-11-19,79
2024-11-20,79
2024-11-21,74
2024-11-22,71
2024-11-23,59
2024-11-24,60
2024-11-25,65
2024-11-26,70
2024-11-27,60
2024-11-28,67
2024-11-29,66
2024-11-30,74
2024-12-01,70
2024-12-02,76
2024-12-03,75
2024-12-04,76
2024-12-05,81
2024-12-06,77
2024-12-07,57
2024-12-08,72
2024-12-09,73
2024-12-10,72
2024-12-11,72
2024-12-12,87
2024-12-13,86
2024-12-14,60
2024-12-15,57
2024-12-16,71
2024-12-17,75
2024-12-18,80
2024-12-19,76
2024-12-20,69
2024-12-21,56
2024-12-22,58
2024-12-23,62
2024-12-24,79
2024-12-25,71
2024-12-26,85
2024-12-27,69
2024-12-28,69
2024-12-29,81
2024-12-30,66
2024-12-31,67
2025-01-01,64
2025-01-02,57
2025-01-03,56
2025-01-04,60
2025-01-05,66
2025-01-06,67
2025-01-07,74
2025-01-08,70
2025-01-09,77
2025-01-10,71
2025-01-11,57
2025-01-12,58
2025-01-13,69
2025-01-14,71
2025-01-15,74
2025-01-16,72
2025-01-17,75
2025-01-18,54
2025-01-19,65
2025-01-20,62
2025-01-21,75
2025-01-22,68
2025-01-23,70
2025-01-24,75
2025-01-25,54
2025-01-26,58
2025-01-27,70
2025-01-28,77
2025-01-29,77
2025-01-30,75
2025-01-31,74
2025-02-01,58
2025-02-02,56
2025-02-03,78
2025-02-04,78
2025-02-05,79
2025-02-06,74
2025-02-07,78
2025-02-08,53
2025-02-09,57
2025-02-10,70
2025-02-11,68
2025-02-12,67
2025-02-13,84
2025-02-14,80
2025-02-15,58
2025-02-16,66
2025-02-17,58
2025-02-18,79
2025-02-19,74
2025-02-20,68
2025-02-21,71
2025-02-22,58
2025-02-23,59
2025-02-24,71
2025-02-25,77
2025-02-26,83
2025-02-27,81
2025-02-28,83
2025-03-01,61
2025-03-02,61
2025-03-03,68
2025-03-04,76
2025-03-05,72
2025-03-06,76
2025-03-07,72
2025-03-08,59
2025-03-09,58
2025-03-10,70
2025-03-11,71
2025-03-12,79
2025-03-13,72
2025-03-14,73
2025-03-15,67
2025-03-16,60
2025-03-17,65
2025-03-18,70
2025-03-19,70
2025-03-20,74
2025-03-21,80
2025-03-22,66
2025-03-23,63
2025-03-24,69
2025-03-25,70
2025-03-26,79
2025-03-27,74
2025-03-28,77
2025-03-29,55
2025-03-30,70
2025-03-31,76
2025-04-01,81
2025-04-02,70
2025-04-03,72
2025-04-04,78
2025-04-05,63
2025-04-06,65
2025-04-07,87
2025-04-08,73
2025-04-09,74
2025-04-10,77
2025-04-11,83
2025-04-12,56
2025-04-13,59
2025-04-14,65
2025-04-15,76
2025-04-16,72
2025-04-17,76
2025-04-18,70
2025-04-19,77
2025-04-20,68
2025-04-21,69
2025-04-22,75
2025-04-23,86
2025-04-24,83
2025-04-25,85
2025-04-26,55
2025-04-27,56
2025-04-28,74
2025-04-29,74
2025-04-30,77
2025-05-01,80
2025-05-02,72
2025-05-03,52
2025-05-04,57
2025-05-05,70
2025-05-06,77
2025-05-07,78
2025-05-08,76
2025-05-09,76
2025-05-10,57
2025-05-11,61
2025-05-12,83
2025-05-13,80
2025-05-14,83
