Time,amber rose
2022-01-01,37
2022-01-02,18
2022-01-03,16
2022-01-04,21
2022-01-05,20
2022-01-06,15
2022-01-07,20
2022-01-08,25
2022-01-09,19
2022-01-10,14
2022-01-11,17
2022-01-12,13
2022-01-13,22
2022-01-14,13
2022-01-15,20
2022-01-16,30
2022-01-17,56
2022-01-18,37
2022-01-19,24
2022-01-20,15
2022-01-21,17
2022-01-22,21
2022-01-23,20
2022-01-24,15
2022-01-25,16
2022-01-26,19
2022-01-27,20
2022-01-28,15
2022-01-29,24
2022-01-30,20
2022-01-31,16
2022-02-01,15
2022-02-02,16
2022-02-03,17
2022-02-04,15
2022-02-05,20
2022-02-06,20
2022-02-07,15
2022-02-08,15
2022-02-09,18
2022-02-10,15
2022-02-11,21
2022-02-12,17
2022-02-13,19
2022-02-14,19
2022-02-15,28
2022-02-16,18
2022-02-17,21
2022-02-18,18
2022-02-19,24
2022-02-20,35
2022-02-21,22
2022-02-22,17
2022-02-23,22
2022-02-24,18
2022-02-25,16
2022-02-26,19
2022-02-27,21
2022-02-28,17
2022-03-01,12
2022-03-02,20
2022-03-03,26
2022-03-04,28
2022-03-05,24
2022-03-06,20
2022-03-07,23
2022-03-08,36
2022-03-09,57
2022-03-10,38
2022-03-11,28
2022-03-12,26
2022-03-13,24
2022-03-14,21
2022-03-15,19
2022-03-16,21
2022-03-17,21
2022-03-18,20
2022-03-19,22
2022-03-20,24
2022-03-21,19
2022-03-22,20
2022-03-23,18
2022-03-24,19
2022-03-25,14
2022-03-26,15
2022-03-27,18
2022-03-28,18
2022-03-29,20
2022-03-30,21
2022-03-31,17
2022-04-01,12
2022-04-02,19
2022-04-03,18
2022-04-04,17
2022-04-05,15
2022-04-06,17
2022-04-07,13
2022-04-08,17
2022-04-09,23
2022-04-10,18
2022-04-11,18
2022-04-12,18
2022-04-13,22
2022-04-14,21
2022-04-15,22
2022-04-16,25
2022-04-17,23
2022-04-18,22
2022-04-19,28
2022-04-20,41
2022-04-21,53
2022-04-22,49
2022-04-23,42
2022-04-24,37
2022-04-25,33
2022-04-26,37
2022-04-27,33
2022-04-28,32
2022-04-29,33
2022-04-30,32
2022-05-01,30
2022-05-02,27
2022-05-03,33
2022-05-04,44
2022-05-05,69
2022-05-06,50
2022-05-07,47
2022-05-08,44
2022-05-09,39
2022-05-10,31
2022-05-11,30
2022-05-12,24
2022-05-13,22
2022-05-14,25
2022-05-15,27
2022-05-16,25
2022-05-17,34
2022-05-18,33
2022-05-19,28
2022-05-20,29
2022-05-21,28
2022-05-22,29
2022-05-23,20
2022-05-24,27
2022-05-25,27
2022-05-26,24
2022-05-27,33
2022-05-28,26
2022-05-29,30
2022-05-30,29
2022-05-31,27
2022-06-01,34
2022-06-02,34
2022-06-03,25
2022-06-04,30
2022-06-05,31
2022-06-06,19
2022-06-07,17
2022-06-08,21
2022-06-09,19
2022-06-10,17
2022-06-11,18
2022-06-12,20
2022-06-13,14
2022-06-14,16
2022-06-15,16
2022-06-16,16
2022-06-17,16
2022-06-18,20
2022-06-19,18
2022-06-20,18
2022-06-21,18
2022-06-22,18
2022-06-23,21
2022-06-24,35
2022-06-25,34
2022-06-26,27
2022-06-27,20
2022-06-28,23
2022-06-29,30
2022-06-30,23
2022-07-01,21
2022-07-02,19
2022-07-03,18
2022-07-04,20
2022-07-05,16
2022-07-06,15
2022-07-07,17
2022-07-08,19
2022-07-09,19
2022-07-10,20
2022-07-11,15
2022-07-12,18
2022-07-13,17
2022-07-14,23
2022-07-15,19
2022-07-16,25
2022-07-17,39
2022-07-18,38
2022-07-19,37
2022-07-20,31
2022-07-21,22
2022-07-22,19
2022-07-23,19
2022-07-24,22
2022-07-25,16
2022-07-26,100
2022-07-27,35
2022-07-28,28
2022-07-29,28
2022-07-30,27
2022-07-31,23
2022-08-01,19
2022-08-02,21
2022-08-03,25
2022-08-04,21
2022-08-05,20
2022-08-06,21
2022-08-07,19
2022-08-08,19
2022-08-09,25
2022-08-10,19
2022-08-11,22
2022-08-12,17
2022-08-13,24
2022-08-14,27
2022-08-15,16
2022-08-16,19
2022-08-17,21
2022-08-18,17
2022-08-19,15
2022-08-20,18
2022-08-21,22
2022-08-22,18
2022-08-23,18
2022-08-24,12
2022-08-25,16
2022-08-26,13
2022-08-27,18
2022-08-28,20
2022-08-29,17
2022-08-30,16
2022-08-31,21
2022-09-01,17
2022-09-02,19
2022-09-03,17
2022-09-04,19
2022-09-05,16
2022-09-06,15
2022-09-07,11
2022-09-08,11
2022-09-09,13
2022-09-10,15
2022-09-11,13
2022-09-12,12
2022-09-13,13
2022-09-14,13
2022-09-15,13
2022-09-16,15
2022-09-17,18
2022-09-18,10
2022-09-19,14
2022-09-20,10
2022-09-21,13
2022-09-22,12
2022-09-23,15
2022-09-24,14
2022-09-25,39
2022-09-26,43
2022-09-27,67
