Time,big lots
2023-04-26,22
2023-04-27,23
2023-04-28,33
2023-04-29,34
2023-04-30,33
2023-05-01,24
2023-05-02,23
2023-05-03,24
2023-05-04,22
2023-05-05,24
2023-05-06,33
2023-05-07,39
2023-05-08,24
2023-05-09,24
2023-05-10,25
2023-05-11,24
2023-05-12,27
2023-05-13,38
2023-05-14,33
2023-05-15,27
2023-05-16,24
2023-05-17,27
2023-05-18,24
2023-05-19,26
2023-05-20,33
2023-05-21,40
2023-05-22,26
2023-05-23,26
2023-05-24,26
2023-05-25,27
2023-05-26,31
2023-05-27,41
2023-05-28,42
2023-05-29,42
2023-05-30,26
2023-05-31,26
2023-06-01,26
2023-06-02,29
2023-06-03,35
2023-06-04,36
2023-06-05,24
2023-06-06,24
2023-06-07,22
2023-06-08,22
2023-06-09,27
2023-06-10,33
2023-06-11,33
2023-06-12,23
2023-06-13,24
2023-06-14,24
2023-06-15,24
2023-06-16,30
2023-06-17,40
2023-06-18,37
2023-06-19,29
2023-06-20,24
2023-06-21,24
2023-06-22,24
2023-06-23,28
2023-06-24,34
2023-06-25,36
2023-06-26,26
2023-06-27,27
2023-06-28,25
2023-06-29,28
2023-06-30,32
2023-07-01,35
2023-07-02,40
2023-07-03,32
2023-07-04,36
2023-07-05,25
2023-07-06,26
2023-07-07,28
2023-07-08,34
2023-07-09,37
2023-07-10,25
2023-07-11,25
2023-07-12,23
2023-07-13,25
2023-07-14,26
2023-07-15,32
2023-07-16,36
2023-07-17,27
2023-07-18,25
2023-07-19,23
2023-07-20,23
2023-07-21,26
2023-07-22,34
2023-07-23,35
2023-07-24,25
2023-07-25,24
2023-07-26,22
2023-07-27,23
2023-07-28,26
2023-07-29,31
2023-07-30,31
2023-07-31,23
2023-08-01,22
2023-08-02,22
2023-08-03,21
2023-08-04,24
2023-08-05,31
2023-08-06,33
2023-08-07,25
2023-08-08,22
2023-08-09,22
2023-08-10,22
2023-08-11,26
2023-08-12,31
2023-08-13,34
2023-08-14,22
2023-08-15,21
2023-08-16,22
2023-08-17,25
2023-08-18,25
2023-08-19,32
2023-08-20,32
2023-08-21,22
2023-08-22,24
2023-08-23,23
2023-08-24,22
2023-08-25,23
2023-08-26,32
2023-08-27,32
2023-08-28,23
2023-08-29,22
2023-08-30,21
2023-08-31,22
2023-09-01,25
2023-09-02,33
2023-09-03,35
2023-09-04,42
2023-09-05,22
2023-09-06,22
2023-09-07,20
2023-09-08,20
2023-09-09,28
2023-09-10,29
2023-09-11,21
2023-09-12,20
2023-09-13,19
2023-09-14,19
2023-09-15,21
2023-09-16,29
2023-09-17,31
2023-09-18,21
2023-09-19,20
2023-09-20,19
2023-09-21,20
2023-09-22,21
2023-09-23,34
2023-09-24,36
2023-09-25,22
2023-09-26,19
2023-09-27,23
2023-09-28,19
2023-09-29,21
2023-09-30,27
2023-10-01,29
2023-10-02,20
2023-10-03,20
2023-10-04,19
2023-10-05,21
2023-10-06,28
2023-10-07,31
2023-10-08,31
2023-10-09,23
2023-10-10,19
2023-10-11,19
2023-10-12,21
2023-10-13,25
2023-10-14,28
2023-10-15,29
2023-10-16,22
2023-10-17,22
2023-10-18,21
2023-10-19,22
2023-10-20,24
2023-10-21,29
2023-10-22,30
2023-10-23,20
2023-10-24,18
2023-10-25,19
2023-10-26,20
2023-10-27,24
2023-10-28,27
2023-10-29,29
2023-10-30,22
2023-10-31,22
2023-11-01,23
2023-11-02,24
2023-11-03,27
2023-11-04,34
2023-11-05,38
2023-11-06,27
2023-11-07,27
2023-11-08,30
2023-11-09,32
2023-11-10,38
2023-11-11,46
2023-11-12,45
2023-11-13,33
2023-11-14,29
2023-11-15,30
2023-11-16,31
2023-11-17,35
2023-11-18,45
2023-11-19,51
2023-11-20,36
2023-11-21,36
2023-11-22,39
2023-11-23,88
2023-11-24,100
2023-11-25,68
2023-11-26,62
2023-11-27,38
2023-11-28,35
2023-11-29,32
2023-11-30,30
2023-12-01,35
2023-12-02,44
2023-12-03,43
2023-12-04,30
2023-12-05,30
2023-12-06,30
2023-12-07,29
2023-12-08,29
2023-12-09,40
2023-12-10,35
2023-12-11,27
2023-12-12,26
2023-12-13,26
2023-12-14,25
2023-12-15,30
2023-12-16,38
2023-12-17,41
2023-12-18,29
2023-12-19,30
2023-12-20,31
2023-12-21,32
2023-12-22,36
2023-12-23,44
2023-12-24,46
2023-12-25,24
2023-12-26,33
2023-12-27,29
2023-12-28,28
2023-12-29,28
2023-12-30,31
2023-12-31,29
2024-01-01,28
2024-01-02,21
2024-01-03,21
2024-01-04,20
2024-01-05,20
2024-01-06,27
2024-01-07,26
2024-01-08,18
2024-01-09,15
2024-01-10,16
2024-01-11,18
2024-01-12,19
2024-01-13,25
2024-01-14,25
2024-01-15,19
2024-01-16,15
2024-01-17,17
2024-01-18,17
2024-01-19,18
2024-01-20,29
