Time,obi wan kenobi
2022-08-29,47
2022-08-30,41
2022-08-31,40
2022-09-01,49
2022-09-02,48
2022-09-03,44
2022-09-04,63
2022-09-05,69
2022-09-06,45
2022-09-07,45
2022-09-08,62
2022-09-09,68
2022-09-10,70
2022-09-11,69
2022-09-12,49
2022-09-13,38
2022-09-14,43
2022-09-15,35
2022-09-16,42
2022-09-17,46
2022-09-18,47
2022-09-19,47
2022-09-20,36
2022-09-21,47
2022-09-22,44
2022-09-23,42
2022-09-24,52
2022-09-25,58
2022-09-26,41
2022-09-27,38
2022-09-28,42
2022-09-29,46
2022-09-30,34
2022-10-01,44
2022-10-02,45
2022-10-03,39
2022-10-04,34
2022-10-05,39
2022-10-06,41
2022-10-07,36
2022-10-08,47
2022-10-09,37
2022-10-10,32
2022-10-11,34
2022-10-12,47
2022-10-13,44
2022-10-14,34
2022-10-15,40
2022-10-16,43
2022-10-17,35
2022-10-18,37
2022-10-19,30
2022-10-20,33
2022-10-21,32
2022-10-22,39
2022-10-23,39
2022-10-24,29
2022-10-25,38
2022-10-26,36
2022-10-27,36
2022-10-28,43
2022-10-29,48
2022-10-30,38
2022-10-31,53
2022-11-01,27
2022-11-02,31
2022-11-03,30
2022-11-04,31
2022-11-05,40
2022-11-06,35
2022-11-07,28
2022-11-08,23
2022-11-09,27
2022-11-10,25
2022-11-11,32
2022-11-12,32
2022-11-13,32
2022-11-14,26
2022-11-15,24
2022-11-16,23
2022-11-17,28
2022-11-18,24
2022-11-19,29
2022-11-20,26
2022-11-21,26
2022-11-22,27
2022-11-23,27
2022-11-24,43
2022-11-25,31
2022-11-26,37
2022-11-27,37
2022-11-28,24
2022-11-29,22
2022-11-30,24
2022-12-01,31
2022-12-02,25
2022-12-03,32
2022-12-04,31
2022-12-05,27
2022-12-06,20
2022-12-07,27
2022-12-08,29
2022-12-09,22
2022-12-10,32
2022-12-11,32
2022-12-12,33
2022-12-13,26
2022-12-14,26
2022-12-15,26
2022-12-16,25
2022-12-17,35
2022-12-18,30
2022-12-19,27
2022-12-20,29
2022-12-21,26
2022-12-22,31
2022-12-23,24
2022-12-24,35
2022-12-25,40
2022-12-26,31
2022-12-27,36
2022-12-28,36
2022-12-29,31
2022-12-30,33
2022-12-31,37
2023-01-01,29
2023-01-02,37
2023-01-03,25
2023-01-04,28
2023-01-05,31
2023-01-06,34
2023-01-07,31
2023-01-08,31
2023-01-09,29
2023-01-10,29
2023-01-11,27
2023-01-12,31
2023-01-13,29
2023-01-14,28
2023-01-15,35
2023-01-16,27
2023-01-17,32
2023-01-18,29
2023-01-19,33
2023-01-20,57
2023-01-21,49
2023-01-22,35
2023-01-23,37
2023-01-24,29
2023-01-25,24
2023-01-26,24
2023-01-27,29
2023-01-28,32
2023-01-29,29
2023-01-30,25
2023-01-31,25
2023-02-01,24
2023-02-02,31
2023-02-03,26
2023-02-04,33
2023-02-05,40
2023-02-06,26
2023-02-07,23
2023-02-08,22
2023-02-09,28
2023-02-10,26
2023-02-11,24
2023-02-12,32
2023-02-13,23
2023-02-14,18
2023-02-15,22
2023-02-16,22
2023-02-17,21
2023-02-18,27
2023-02-19,31
2023-02-20,24
2023-02-21,24
2023-02-22,23
2023-02-23,23
2023-02-24,25
2023-02-25,23
2023-02-26,29
2023-02-27,22
2023-02-28,22
2023-03-01,20
2023-03-02,23
2023-03-03,23
2023-03-04,35
2023-03-05,36
2023-03-06,24
2023-03-07,27
2023-03-08,26
2023-03-09,32
2023-03-10,27
2023-03-11,28
2023-03-12,35
2023-03-13,24
2023-03-14,25
2023-03-15,25
2023-03-16,25
2023-03-17,24
2023-03-18,27
2023-03-19,32
2023-03-20,26
2023-03-21,27
2023-03-22,25
2023-03-23,26
2023-03-24,29
2023-03-25,32
2023-03-26,32
2023-03-27,30
2023-03-28,25
2023-03-29,25
2023-03-30,27
2023-03-31,28
2023-04-01,30
2023-04-02,38
2023-04-03,27
2023-04-04,27
2023-04-05,30
2023-04-06,30
2023-04-07,36
2023-04-08,40
2023-04-09,56
2023-04-10,40
2023-04-11,35
2023-04-12,28
2023-04-13,30
2023-04-14,27
2023-04-15,36
2023-04-16,34
2023-04-17,23
2023-04-18,24
2023-04-19,26
2023-04-20,34
2023-04-21,22
2023-04-22,36
2023-04-23,35
2023-04-24,31
2023-04-25,30
2023-04-26,27
2023-04-27,24
2023-04-28,31
2023-04-29,36
2023-04-30,41
2023-05-01,34
2023-05-02,37
2023-05-03,39
2023-05-04,100
2023-05-05,71
2023-05-06,56
2023-05-07,56
2023-05-08,44
2023-05-09,41
2023-05-10,37
2023-05-11,36
2023-05-12,35
2023-05-13,45
2023-05-14,48
2023-05-15,37
2023-05-16,37
2023-05-17,29
2023-05-18,33
2023-05-19,35
2023-05-20,37
2023-05-21,32
2023-05-22,30
2023-05-23,28
2023-05-24,29
2023-05-25,35
