Time,doctor strange 2
2022-08-29,72
2022-08-30,66
2022-08-31,68
2022-09-01,44
2022-09-02,47
2022-09-03,71
2022-09-04,77
2022-09-05,96
2022-09-06,69
2022-09-07,37
2022-09-08,68
2022-09-09,53
2022-09-10,100
2022-09-11,93
2022-09-12,56
2022-09-13,45
2022-09-14,58
2022-09-15,44
2022-09-16,46
2022-09-17,86
2022-09-18,94
2022-09-19,54
2022-09-20,56
2022-09-21,49
2022-09-22,37
2022-09-23,42
2022-09-24,52
2022-09-25,97
2022-09-26,57
2022-09-27,43
2022-09-28,66
2022-09-29,56
2022-09-30,49
2022-10-01,71
2022-10-02,70
2022-10-03,52
2022-10-04,39
2022-10-05,44
2022-10-06,55
2022-10-07,50
2022-10-08,58
2022-10-09,52
2022-10-10,56
2022-10-11,31
2022-10-12,30
2022-10-13,31
2022-10-14,44
2022-10-15,47
2022-10-16,42
2022-10-17,39
2022-10-18,42
2022-10-19,50
2022-10-20,34
2022-10-21,34
2022-10-22,49
2022-10-23,59
2022-10-24,28
2022-10-25,25
2022-10-26,33
2022-10-27,44
2022-10-28,35
2022-10-29,39
2022-10-30,42
2022-10-31,28
2022-11-01,35
2022-11-02,39
2022-11-03,35
2022-11-04,31
2022-11-05,43
2022-11-06,36
2022-11-07,29
2022-11-08,23
2022-11-09,39
2022-11-10,36
2022-11-11,61
2022-11-12,61
2022-11-13,59
2022-11-14,49
2022-11-15,53
2022-11-16,48
2022-11-17,31
2022-11-18,34
2022-11-19,27
2022-11-20,49
2022-11-21,27
2022-11-22,41
2022-11-23,45
2022-11-24,52
2022-11-25,51
2022-11-26,51
2022-11-27,41
2022-11-28,37
2022-11-29,34
2022-11-30,27
2022-12-01,34
2022-12-02,36
2022-12-03,38
2022-12-04,30
2022-12-05,37
2022-12-06,23
2022-12-07,28
2022-12-08,34
2022-12-09,29
2022-12-10,35
2022-12-11,48
2022-12-12,46
2022-12-13,28
2022-12-14,29
2022-12-15,27
2022-12-16,40
2022-12-17,39
2022-12-18,57
2022-12-19,49
2022-12-20,30
2022-12-21,35
2022-12-22,45
2022-12-23,45
2022-12-24,41
2022-12-25,45
2022-12-26,42
2022-12-27,54
2022-12-28,46
2022-12-29,39
2022-12-30,79
2022-12-31,59
2023-01-01,39
2023-01-02,32
2023-01-03,40
2023-01-04,30
2023-01-05,28
2023-01-06,39
2023-01-07,50
2023-01-08,42
2023-01-09,36
2023-01-10,41
2023-01-11,26
2023-01-12,29
2023-01-13,29
2023-01-14,38
2023-01-15,41
2023-01-16,37
2023-01-17,23
2023-01-18,29
2023-01-19,24
2023-01-20,22
2023-01-21,30
2023-01-22,35
2023-01-23,36
2023-01-24,39
2023-01-25,28
2023-01-26,37
2023-01-27,21
2023-01-28,23
2023-01-29,43
2023-01-30,43
2023-01-31,20
2023-02-01,0
2023-02-02,22
2023-02-03,29
2023-02-04,0
2023-02-05,32
2023-02-06,33
2023-02-07,30
2023-02-08,35
2023-02-09,21
2023-02-10,39
2023-02-11,28
2023-02-12,37
2023-02-13,32
2023-02-14,47
2023-02-15,26
2023-02-16,35
2023-02-17,46
2023-02-18,68
2023-02-19,47
2023-02-20,37
2023-02-21,38
2023-02-22,18
2023-02-23,35
2023-02-24,0
2023-02-25,37
2023-02-26,52
2023-02-27,36
2023-02-28,42
2023-03-01,42
2023-03-02,29
2023-03-03,34
2023-03-04,46
2023-03-05,28
2023-03-06,26
2023-03-07,22
2023-03-08,22
2023-03-09,0
2023-03-10,26
2023-03-11,0
2023-03-12,24
2023-03-13,18
2023-03-14,20
2023-03-15,23
2023-03-16,22
2023-03-17,30
2023-03-18,35
2023-03-19,32
2023-03-20,27
2023-03-21,21
2023-03-22,21
2023-03-23,0
2023-03-24,22
2023-03-25,22
2023-03-26,34
2023-03-27,23
2023-03-28,25
2023-03-29,0
2023-03-30,23
2023-03-31,39
2023-04-01,0
2023-04-02,0
2023-04-03,20
2023-04-04,0
2023-04-05,0
2023-04-06,0
2023-04-07,21
2023-04-08,27
2023-04-09,0
2023-04-10,32
2023-04-11,33
2023-04-12,26
2023-04-13,30
2023-04-14,32
2023-04-15,23
2023-04-16,28
2023-04-17,24
2023-04-18,27
2023-04-19,0
2023-04-20,0
2023-04-21,21
2023-04-22,0
2023-04-23,24
2023-04-24,0
2023-04-25,18
2023-04-26,0
2023-04-27,20
2023-04-28,20
2023-04-29,31
2023-04-30,43
2023-05-01,24
2023-05-02,25
2023-05-03,18
2023-05-04,25
2023-05-05,25
2023-05-06,47
2023-05-07,44
2023-05-08,59
2023-05-09,21
2023-05-10,32
2023-05-11,32
2023-05-12,29
2023-05-13,0
2023-05-14,47
2023-05-15,41
2023-05-16,31
2023-05-17,35
2023-05-18,0
2023-05-19,20
2023-05-20,42
2023-05-21,54
2023-05-22,33
2023-05-23,27
2023-05-24,34
2023-05-25,0
