Time,texas
2025-12-11,48
2025-12-12,49
2025-12-13,52
2025-12-14,49
2025-12-15,49
2025-12-16,46
2025-12-17,48
2025-12-18,50
2025-12-19,49
2025-12-20,79
2025-12-21,53
2025-12-22,50
2025-12-23,47
2025-12-24,46
2025-12-25,39
2025-12-26,46
2025-12-27,51
2025-12-28,50
2025-12-29,53
2025-12-30,53
2025-12-31,75
2026-01-01,88
2026-01-02,56
2026-01-03,51
2026-01-04,45
2026-01-05,47
2026-01-06,50
2026-01-07,53
2026-01-08,50
2026-01-09,52
2026-01-10,48
2026-01-11,47
2026-01-12,50
2026-01-13,51
2026-01-14,49
2026-01-15,52
2026-01-16,51
2026-01-17,50
2026-01-18,50
2026-01-19,48
2026-01-20,52
2026-01-21,55
2026-01-22,53
2026-01-23,53
2026-01-24,54
2026-01-25,52
2026-01-26,52
2026-01-27,52
2026-01-28,52
2026-01-29,52
2026-01-30,55
2026-01-31,52
2026-02-01,55
2026-02-02,54
2026-02-03,55
2026-02-04,53
2026-02-05,53
2026-02-06,53
2026-02-07,52
2026-02-08,47
2026-02-09,45
2026-02-10,51
2026-02-11,54
2026-02-12,53
2026-02-13,54
2026-02-14,56
2026-02-15,57
2026-02-16,56
2026-02-17,56
2026-02-18,57
2026-02-19,56
2026-02-20,56
2026-02-21,57
2026-02-22,50
2026-02-23,56
2026-02-24,57
2026-02-25,55
2026-02-26,60
2026-02-27,61
2026-02-28,54
2026-03-01,60
2026-03-02,63
2026-03-03,73
2026-03-04,100
2026-03-05,62
2026-03-06,57
2026-03-07,58
2026-03-08,57
2026-03-09,54
2026-03-10,55
2026-03-11,53
2026-03-12,55
2026-03-13,54
2026-03-14,54
2026-03-15,52
2026-03-16,53
2026-03-17,55
2026-03-18,60
2026-03-19,58
2026-03-20,64
2026-03-21,62
2026-03-22,60
2026-03-23,60
2026-03-24,58
2026-03-25,56
2026-03-26,60
2026-03-27,62
2026-03-28,53
2026-03-29,53
2026-03-30,55
2026-03-31,55
2026-04-01,56
2026-04-02,57
2026-04-03,58
2026-04-04,61
2026-04-05,53
2026-04-06,54
2026-04-07,52
2026-04-08,55
2026-04-09,55
2026-04-10,53
2026-04-11,55
2026-04-12,55
2026-04-13,54
2026-04-14,54
2026-04-15,53
2026-04-16,51
2026-04-17,55
2026-04-18,54
2026-04-19,50
2026-04-20,55
2026-04-21,53
2026-04-22,52
2026-04-23,55
2026-04-24,55
2026-04-25,53
2026-04-26,57
2026-04-27,53
2026-04-28,53
2026-04-29,55
2026-04-30,53
2026-05-01,54
2026-05-02,53
2026-05-03,54
2026-05-04,53
2026-05-05,51
2026-05-06,53
2026-05-07,53
2026-05-08,55
2026-05-09,54
2026-05-10,55
2026-05-11,53
2026-05-12,52
2026-05-13,53
2026-05-14,50
2026-05-15,54
2026-05-16,53
2026-05-17,54
2026-05-18,64
2026-05-19,56
2026-05-20,54
2026-05-21,53
2026-05-22,57
2026-05-23,55
2026-05-24,56
2026-05-25,52
2026-05-26,57
2026-05-27,66
2026-05-28,60
2026-05-29,56
2026-05-30,60
2026-05-31,58
